rank,operator_id,operator_type,kernel_id,kernel_name,fusion_family,fusion_pattern,input_shapes,output_shapes,weight_shapes,call_count,total_exclusive_ms,mean_ms,p50_ms,p95_ms,end_to_end_share_pct,cumulative_end_to_end_share_pct,operator_exclusive_share_pct,cumulative_operator_exclusive_share_pct,in_top_bottleneck_set
1,0,QLINEAR_CONV,3,fused_quant_qlinear_conv_o4i4_combined_fixed,FUSION_CONV_BIAS_ACT,QuantizeLinear-QLinearConvInputPack,"[[1,1,80,98],[],[],[32,1,3,3],[32],[32],[],[],[32]]","[[1,32,80,98]]","[[],[],[32,1,3,3],[32],[32],[],[],[32]]",60,4370.995468,72.84992446666666,72.7528905,73.42063294999998,13.947314964838029,13.947314964838029,14.042898815779733,14.042898815779733,True
2,1,DEQUANTIZE_LINEAR,4,fused_dequant_relu_quant,FUSION_CONV_BIAS_ACT,DequantizeLinear-Relu-QuantizeLinear,"[[1,32,80,98],[],[],[],[]]","[[1,32,80,98]]","[[],[],[],[]]",60,2111.07343,35.184557166666664,35.0996095,35.898444899999994,6.736178579380522,20.68349354421855,6.7823430125256445,20.825241828305376,True
3,10,QLINEAR_CONV,3,fused_quant_qlinear_conv_o4i4_combined_fixed,FUSION_CONV_BIAS_ACT,QuantizeLinear-QLinearConvInputPack,"[[1,32,40,98],[],[],[32,32,3,3],[32],[32],[],[],[32]]","[[1,32,40,98]]","[[],[],[32,32,3,3],[32],[32],[],[],[32]]",60,1371.008855,22.850147583333335,22.8586455,23.139076,4.374722522651435,25.058216066869985,4.404703406181392,25.22994523448677,True
4,2,QLINEAR_CONV,1,qlinear_conv_o4i4_mac_fixed,,,"[[1,32,80,98],[],[],[32,32,3,3],[32],[32],[],[],[32]]","[[1,32,40,98]]","[[],[],[32,32,3,3],[32],[32],[],[],[32]]",60,1312.476926,21.874615433333336,21.7795575,22.49713525,4.187954255505169,29.246170322375153,4.2166551772466,29.44660041173337,True
5,6,QLINEAR_CONV,1,qlinear_conv_o4i4_mac_fixed,,,"[[1,32,40,98],[],[],[32,32,3,3],[32],[32],[],[],[32]]","[[1,32,40,98]]","[[],[],[32,32,3,3],[32],[32],[],[],[32]]",60,1306.782392,21.779706533333336,21.702916000000002,22.279957700000004,4.169783690045326,33.41595401242048,4.1983600851216,33.64496049685497,True
6,12,QLINEAR_CONV,1,qlinear_conv_o4i4_mac_fixed,,,"[[1,32,40,98],[],[],[32,32,3,3],[32],[32],[],[],[32]]","[[1,32,40,98]]","[[],[],[32,32,3,3],[32],[32],[],[],[32]]",60,1305.9614080000001,21.76602346666667,21.7109115,22.13788275,4.1671640299443435,37.58311804236482,4.195722471944972,37.84068296879994,True
7,4,DEQUANTIZE_LINEAR,4,fused_dequant_relu_quant,FUSION_CONV_BIAS_ACT,DequantizeLinear-Relu-QuantizeLinear,"[[1,32,40,98],[],[],[],[]]","[[1,32,40,98]]","[[],[],[],[]]",60,1037.829633,17.29716055,17.2595055,17.490067850000003,3.3115881444545248,40.89470618681935,3.3342831469247396,41.17496611572468,True
8,11,DEQUANTIZE_LINEAR,4,fused_dequant_relu_quant,FUSION_CONV_BIAS_ACT,DequantizeLinear-Relu-QuantizeLinear,"[[1,32,40,98],[],[],[],[]]","[[1,32,40,98]]","[[],[],[],[]]",60,1037.504013,17.29173355,17.201667,17.74466445,3.310549130634424,44.205255317453776,3.333237012526782,44.50820312825146,True
9,25,QLINEAR_CONV,3,fused_quant_qlinear_conv_o4i4_combined_fixed,FUSION_CONV_BIAS_ACT,QuantizeLinear-QLinearConvInputPack,"[[1,32,20,98],[],[],[32,32,3,3],[32],[32],[],[],[32]]","[[1,32,20,98]]","[[],[],[32,32,3,3],[32],[32],[],[],[32]]",60,699.921514,11.665358566666667,11.635235,11.92615625,2.2333644310299454,46.438619748483724,2.248670142087038,46.756873270338495,True
10,27,QLINEAR_CONV,1,qlinear_conv_o4i4_mac_fixed,,,"[[1,32,20,98],[],[],[32,32,3,3],[32],[32],[],[],[32]]","[[1,32,20,98]]","[[],[],[32,32,3,3],[32],[32],[],[],[32]]",60,674.250776,11.237512933333333,11.279505,11.35764795,2.151452227989007,48.59007197647273,2.1661965776783014,48.923069848016794,True
