rank,operator_id,operator_type,kernel_id,kernel_name,fusion_family,fusion_pattern,input_shapes,output_shapes,weight_shapes,call_count,total_exclusive_ms,mean_ms,p50_ms,p95_ms,end_to_end_share_pct,cumulative_end_to_end_share_pct,operator_exclusive_share_pct,cumulative_operator_exclusive_share_pct,in_top_bottleneck_set
1,0,QLINEAR_CONV,3,fused_quant_qlinear_conv_o4i4_combined_hybrid,FUSION_CONV_BIAS_ACT,QuantizeLinear-QLinearConvInputPack,"[[1,1,80,98],[],[],[32,1,3,3],[32],[32],[],[],[32]]","[[1,32,80,98]]","[[],[],[32,1,3,3],[32],[32],[],[],[32]]",300,23848.217382,79.49405793999999,79.41799499999999,80.3149528,23.007640854109283,23.007640854109283,23.240499094439514,23.240499094439514,True
2,10,QLINEAR_CONV,3,fused_quant_qlinear_conv_o4i4_combined_hybrid,FUSION_CONV_BIAS_ACT,QuantizeLinear-QLinearConvInputPack,"[[1,32,40,98],[],[],[32,32,3,3],[32],[32],[],[],[32]]","[[1,32,40,98]]","[[],[],[32,32,3,3],[32],[32],[],[],[32]]",300,5054.29151,16.84763836666667,16.868281,17.19703965,4.876143234161572,27.883784088270854,4.925494236304941,28.165993330744456,True
3,2,QLINEAR_CONV,1,qlinear_conv_o4i4_v4,,,"[[1,32,80,98],[],[],[32,32,3,3],[32],[32],[],[],[32]]","[[1,32,40,98]]","[[],[],[32,32,3,3],[32],[32],[],[],[32]]",300,4745.005844,15.816686146666667,15.741171999999999,16.2165884,4.57775893940825,32.461543027679106,4.624090021245186,32.790083351989644,True
4,6,QLINEAR_CONV,1,qlinear_conv_o4i4_v4,,,"[[1,32,40,98],[],[],[32,32,3,3],[32],[32],[],[],[32]]","[[1,32,40,98]]","[[],[],[32,32,3,3],[32],[32],[],[],[32]]",300,4708.165884,15.69388628,15.6452345,15.97527595,4.542217475021921,37.00376050270103,4.588188844930624,37.378272196920264,True
5,12,QLINEAR_CONV,1,qlinear_conv_o4i4_v4,,,"[[1,32,40,98],[],[],[32,32,3,3],[32],[32],[],[],[32]]","[[1,32,40,98]]","[[],[],[32,32,3,3],[32],[32],[],[],[32]]",300,4704.095683,15.680318943333331,15.6286195,15.9240963,4.538290736125172,41.5420512388262,4.584222363866673,41.962494560786936,True
6,25,QLINEAR_CONV,3,fused_quant_qlinear_conv_o4i4_combined_hybrid,FUSION_CONV_BIAS_ACT,QuantizeLinear-QLinearConvInputPack,"[[1,32,20,98],[],[],[32,32,3,3],[32],[32],[],[],[32]]","[[1,32,20,98]]","[[],[],[32,32,3,3],[32],[32],[],[],[32]]",300,2609.098916,8.696996386666667,8.672656499999999,8.816229349999999,2.5171361804795644,44.05918741930576,2.542611886805767,44.5051064475927,True
7,825,QLINEAR_CONV,1,qlinear_conv_o4i4_v4,,,"[[1,1024,49],[],[],[512,1024,1],[512],[512],[],[],[512]]","[[1,512,49]]","[[],[],[512,1024,1],[512],[512],[],[],[512]]",300,2553.1147339999998,8.510382446666666,8.487448,8.716927,2.4631252692095558,46.52231268851531,2.488054336015578,46.99316078360828,True
8,582,QLINEAR_CONV,1,qlinear_conv_o4i4_v4,,,"[[1,1024,49],[],[],[512,1024,1],[512],[512],[],[]]","[[1,512,49]]","[[],[],[512,1024,1],[512],[512],[],[]]",300,2540.273801,8.467579336666667,8.4565105,8.627222199999999,2.4507369397187873,48.9730496282341,2.475540625368865,49.46870140897715,True
9,27,QLINEAR_CONV,1,qlinear_conv_o4i4_v4,,,"[[1,32,20,98],[],[],[32,32,3,3],[32],[32],[],[],[32]]","[[1,32,20,98]]","[[],[],[32,32,3,3],[32],[32],[],[],[32]]",300,2459.363274,8.19787758,8.1391145,8.3860578,2.3726782606689327,51.345727888903035,2.396691921528493,51.86539333050564,True
10,21,QLINEAR_CONV,1,qlinear_conv_o4i4_v4,,,"[[1,32,20,98],[],[],[32,32,3,3],[32],[32],[],[],[32]]","[[1,32,20,98]]","[[],[],[32,32,3,3],[32],[32],[],[],[32]]",300,2439.370353,8.131234509999999,8.1063285,8.26173445,2.3533900288223135,53.699117917725346,2.377208475241795,54.242601805747434,True
11,17,QLINEAR_CONV,1,qlinear_conv_o4i4_v4,,,"[[1,32,40,98],[],[],[32,32,3,3],[32],[32],[],[],[32]]","[[1,32,20,98]]","[[],[],[32,32,3,3],[32],[32],[],[],[32]]",300,2403.734476,8.012448253333334,7.949661,8.27071375,2.3190102072027723,56.01812812492812,2.3424806985747995,56.58508250432223,True
12,3,QLINEAR_CONV,1,qlinear_conv_o4i4_v4,,,"[[1,32,80,98],[],[],[32,32,1,1],[32],[32],[],[],[32]]","[[1,32,40,98]]","[[],[],[32,32,1,1],[32],[32],[],[],[32]]",300,1697.378964,5.65792988,5.6208855,5.86151615,1.6375515608352356,57.65567968576335,1.6541250712322393,58.23920757555447,True
13,31,QLINEAR_CONV,3,fused_quant_qlinear_conv_o4i4_combined_hybrid,FUSION_CONV_BIAS_ACT,QuantizeLinear-QLinearConvInputPack,"[[1,32,20,98],[],[],[32,32,3,3],[32],[32],[],[],[32]]","[[1,32,10,98]]","[[],[],[32,32,3,3],[32],[32],[],[],[32]]",300,1398.173493,4.66057831,4.640026,4.78490925,1.348892165120884,59.00457185088424,1.3625441800300608,59.60175175558453,True
14,35,QLINEAR_CONV,3,fused_quant_qlinear_conv_o4i4_combined_hybrid,FUSION_CONV_BIAS_ACT,QuantizeLinear-QLinearConvInputPack,"[[1,320,98],[],[],[128,320,5],[128],[128],[],[],[128]]","[[1,128,49]]","[[],[],[128,320,5],[128],[128],[],[],[128]]",300,1356.453382,4.521511273333333,4.5090105000000005,4.62787815,1.3086425600914502,60.31321441097569,1.3218872124091918,60.923638967993725,True
15,18,QLINEAR_CONV,1,qlinear_conv_o4i4_v4,,,"[[1,32,40,98],[],[],[32,32,1,1],[32],[32],[],[],[32]]","[[1,32,20,98]]","[[],[],[32,32,1,1],[32],[32],[],[],[32]]",300,838.859525,2.7961984166666665,2.783515,2.8920102500000002,0.8092922992565461,61.12250671023224,0.8174830730048257,61.74112204099855,True
16,219,QLINEAR_CONV,1,qlinear_conv_o4i4_v4,,,"[[1,512,49],[],[],[256,512,1],[256],[256],[],[]]","[[1,256,49]]","[[],[],[256,512,1],[256],[256],[],[]]",300,663.43536,2.2114512,2.209974,2.24144005,0.6400512981032127,61.762558008335446,0.6465291990728279,62.38765124007138,True
17,810,QLINEAR_CONV,1,qlinear_conv_o4i4_v4,,,"[[1,992,49],[],[],[128,992,1],[128],[128],[],[],[128]]","[[1,128,49]]","[[],[],[128,992,1],[128],[128],[],[],[128]]",300,622.080248,2.0736008266666666,2.077656,2.111101,0.6001538269783637,62.36271183531381,0.6062279292717623,62.99387916934314,True
18,567,QLINEAR_CONV,1,qlinear_conv_o4i4_v4,,,"[[1,992,49],[],[],[128,992,1],[128],[128],[],[],[128]]","[[1,128,49]]","[[],[],[128,992,1],[128],[128],[],[],[128]]",300,619.931979,2.06643993,2.0628905,2.1103227,0.5980812778725625,62.96079311318637,0.6041344040849784,63.59801357342812,True
19,552,QLINEAR_CONV,1,qlinear_conv_o4i4_v4,,,"[[1,960,49],[],[],[128,960,1],[128],[128],[],[],[128]]","[[1,128,49]]","[[],[],[128,960,1],[128],[128],[],[],[128]]",300,601.410044,2.0047001466666665,2.011198,2.04207305,0.5802121842804855,63.54100529746685,0.5860844590220126,64.18409803245014,True
20,795,QLINEAR_CONV,1,qlinear_conv_o4i4_v4,,,"[[1,960,49],[],[],[128,960,1],[128],[128],[],[],[128]]","[[1,128,49]]","[[],[],[128,960,1],[128],[128],[],[],[128]]",300,601.32089,2.0044029666666665,2.0003385,2.0494956,0.5801261726855789,64.12113147015243,0.5859975769115774,64.77009560936172,True
21,780,QLINEAR_CONV,1,qlinear_conv_o4i4_v4,,,"[[1,928,49],[],[],[128,928,1],[128],[128],[],[],[128]]","[[1,128,49]]","[[],[],[128,928,1],[128],[128],[],[],[128]]",300,585.658911,1.95219637,1.950339,1.99436215,0.5650162304150685,64.6861477005675,0.5707347082897339,65.34083031765145,True
22,537,QLINEAR_CONV,1,qlinear_conv_o4i4_v4,,,"[[1,928,49],[],[],[128,928,1],[128],[128],[],[],[128]]","[[1,128,49]]","[[],[],[128,928,1],[128],[128],[],[],[128]]",300,584.556304,1.9485210133333333,1.9469275000000001,1.99102545,0.5639524869304768,65.25010018749798,0.5696601987540919,65.91049051640555,True
23,765,QLINEAR_CONV,1,qlinear_conv_o4i4_v4,,,"[[1,896,49],[],[],[128,896,1],[128],[128],[],[],[128]]","[[1,128,49]]","[[],[],[128,896,1],[128],[128],[],[],[128]]",300,562.938006,1.87646002,1.857161,1.9226223,0.5430961676385988,65.79319635513657,0.5485927945517327,66.45908331095728,True
24,522,QLINEAR_CONV,1,qlinear_conv_o4i4_v4,,,"[[1,896,49],[],[],[128,896,1],[128],[128],[],[],[128]]","[[1,128,49]]","[[],[],[128,896,1],[128],[128],[],[],[128]]",300,562.751352,1.87583784,1.8707815,1.9217947000000002,0.5429160926196909,66.33611244775626,0.5484108970099378,67.00749420796723,True
25,750,QLINEAR_CONV,1,qlinear_conv_o4i4_v4,,,"[[1,864,49],[],[],[128,864,1],[128],[128],[],[],[128]]","[[1,128,49]]","[[],[],[128,864,1],[128],[128],[],[],[128]]",300,546.918335,1.8230611166666666,1.8047395000000002,1.8647184,0.5276411409141619,66.86375358867042,0.532981348907593,67.54047555687482,True
26,507,QLINEAR_CONV,1,qlinear_conv_o4i4_v4,,,"[[1,864,49],[],[],[128,864,1],[128],[128],[],[],[128]]","[[1,128,49]]","[[],[],[128,864,1],[128],[128],[],[],[128]]",300,545.244739,1.8174824633333333,1.7995830000000002,1.8637006,0.5260265340407804,67.3897801227112,0.5313504007449091,68.07182595761974,True
27,735,QLINEAR_CONV,1,qlinear_conv_o4i4_v4,,,"[[1,832,49],[],[],[128,832,1],[128],[128],[],[],[128]]","[[1,128,49]]","[[],[],[128,832,1],[128],[128],[],[],[128]]",300,524.761977,1.74920659,1.7318225,1.79127605,0.5062657265872266,67.89604584929843,0.5113895959565431,68.58321555357628,True
