rank,operator_id,operator_type,kernel_id,kernel_name,fusion_family,fusion_pattern,input_shapes,output_shapes,weight_shapes,call_count,total_exclusive_ms,mean_ms,p50_ms,p95_ms,end_to_end_share_pct,cumulative_end_to_end_share_pct,operator_exclusive_share_pct,cumulative_operator_exclusive_share_pct,in_top_bottleneck_set
1,0,QLINEAR_CONV,3,fused_quant_qlinear_conv_o4i4_layer_hybrid_v3,FUSION_CONV_BIAS_ACT,QuantizeLinear-QLinearConvInputPack,"[[1,1,80,98],[],[],[32,1,3,3],[32],[32],[],[],[32]]","[[1,32,80,98]]","[[],[],[32,1,3,3],[32],[32],[],[],[32]]",300,23760.877541,79.20292513666668,79.1272655,79.74059374999999,24.528922428956943,24.528922428956943,24.793922638531544,24.793922638531544,True
2,10,QLINEAR_CONV,3,fused_quant_qlinear_conv_o4i4_layer_hybrid_v3,FUSION_CONV_BIAS_ACT,QuantizeLinear-QLinearConvInputPack,"[[1,32,40,98],[],[],[32,32,3,3],[32],[32],[],[],[32]]","[[1,32,40,98]]","[[],[],[32,32,3,3],[32],[32],[],[],[32]]",300,4593.71702,15.312390066666667,15.341458,15.66109935,4.742203996873806,29.271126425830747,4.793436783664861,29.587359422196407,True
3,2,QLINEAR_CONV,1,qlinear_conv_o4i4_layer_hybrid_v3,,,"[[1,32,80,98],[],[],[32,32,3,3],[32],[32],[],[],[32]]","[[1,32,40,98]]","[[],[],[32,32,3,3],[32],[32],[],[],[32]]",300,4338.922022,14.463073406666666,14.411796500000001,14.954492100000001,4.479173023777632,33.75029944960838,4.527564134045922,34.11492355624233,True
4,6,QLINEAR_CONV,1,qlinear_conv_o4i4_layer_hybrid_v3,,,"[[1,32,40,98],[],[],[32,32,3,3],[32],[32],[],[],[32]]","[[1,32,40,98]]","[[],[],[32,32,3,3],[32],[32],[],[],[32]]",300,4261.629066,14.205430220000002,14.14573,14.5191832,4.399381655855411,38.149681105463785,4.446910733587096,38.56183428982943,True
5,12,QLINEAR_CONV,1,qlinear_conv_o4i4_layer_hybrid_v3,,,"[[1,32,40,98],[],[],[32,32,3,3],[32],[32],[],[],[32]]","[[1,32,40,98]]","[[],[],[32,32,3,3],[32],[32],[],[],[32]]",300,4249.104637,14.163682123333334,14.107266,14.41429395,4.386452388117808,42.536133493581595,4.433841783453333,42.99567607328276,True
6,25,QLINEAR_CONV,3,fused_quant_qlinear_conv_o4i4_layer_hybrid_v3,FUSION_CONV_BIAS_ACT,QuantizeLinear-QLinearConvInputPack,"[[1,32,20,98],[],[],[32,32,3,3],[32],[32],[],[],[32]]","[[1,32,20,98]]","[[],[],[32,32,3,3],[32],[32],[],[],[32]]",300,2392.706563,7.975688543333334,7.952552000000001,8.121146049999998,2.470048236973201,45.00618173055479,2.4967336041087975,45.49240967739156,True
7,27,QLINEAR_CONV,1,qlinear_conv_o4i4_layer_hybrid_v3,,,"[[1,32,20,98],[],[],[32,32,3,3],[32],[32],[],[],[32]]","[[1,32,20,98]]","[[],[],[32,32,3,3],[32],[32],[],[],[32]]",300,2227.442505,7.42480835,7.401823,7.59933245,2.299442195509379,47.30562392606417,2.3242844063924513,47.81669408378401,True
8,21,QLINEAR_CONV,1,qlinear_conv_o4i4_layer_hybrid_v3,,,"[[1,32,20,98],[],[],[32,32,3,3],[32],[32],[],[],[32]]","[[1,32,20,98]]","[[],[],[32,32,3,3],[32],[32],[],[],[32]]",300,2226.681103,7.422270343333333,7.393463000000001,7.6024766999999995,2.298656182006173,49.60428010807034,2.3234899011283994,50.140183984912404,True
9,825,QLINEAR_CONV,1,qlinear_conv_o4i4_layer_hybrid_v3,,,"[[1,1024,49],[],[],[512,1024,1],[512],[512],[],[],[512]]","[[1,512,49]]","[[],[],[512,1024,1],[512],[512],[],[],[512]]",300,2211.482197,7.371607323333333,7.339323,7.577116999999999,2.2829659876673607,51.8872460957377,2.307630196498212,52.447814181410614,True
10,582,QLINEAR_CONV,1,qlinear_conv_o4i4_layer_hybrid_v3,,,"[[1,1024,49],[],[],[512,1024,1],[512],[512],[],[]]","[[1,512,49]]","[[],[],[512,1024,1],[512],[512],[],[]]",300,2191.207288,7.304024293333334,7.288672,7.45336245,2.2620357139745217,54.14928180971222,2.2864738008902696,54.734287982300884,True
11,17,QLINEAR_CONV,1,qlinear_conv_o4i4_layer_hybrid_v3,,,"[[1,32,40,98],[],[],[32,32,3,3],[32],[32],[],[],[32]]","[[1,32,20,98]]","[[],[],[32,32,3,3],[32],[32],[],[],[32]]",300,2169.641099,7.232136996666666,7.168099,7.540576000000001,2.2397724210403096,56.38905423075253,2.2639699846591017,56.99825796695998,True
12,3,QLINEAR_CONV,1,qlinear_conv_o4i4_layer_hybrid_v3,,,"[[1,32,80,98],[],[],[32,32,1,1],[32],[32],[],[],[32]]","[[1,32,40,98]]","[[],[],[32,32,1,1],[32],[32],[],[],[32]]",300,1607.626857,5.35875619,5.328437,5.55142215,1.6595916713100178,58.048645902062546,1.6775212049851798,58.675779171945166,True
13,35,QLINEAR_CONV,3,fused_quant_qlinear_conv_o4i4_layer_hybrid_v3,FUSION_CONV_BIAS_ACT,QuantizeLinear-QLinearConvInputPack,"[[1,320,98],[],[],[128,320,5],[128],[128],[],[],[128]]","[[1,128,49]]","[[],[],[128,320,5],[128],[128],[],[],[128]]",300,1359.937924,4.533126413333334,4.5245055,4.5964659,1.4038964591452057,59.452542361207755,1.4190635687877935,60.09484274073296,True
14,31,QLINEAR_CONV,3,fused_quant_qlinear_conv_o4i4_layer_hybrid_v3,FUSION_CONV_BIAS_ACT,QuantizeLinear-QLinearConvInputPack,"[[1,32,20,98],[],[],[32,32,3,3],[32],[32],[],[],[32]]","[[1,32,10,98]]","[[],[],[32,32,3,3],[32],[32],[],[],[32]]",300,1292.381621,4.307938736666666,4.2872395,4.4627081,1.3341564710906915,60.78669883229845,1.3485701390970355,61.44341287982999,True
15,18,QLINEAR_CONV,1,qlinear_conv_o4i4_layer_hybrid_v3,,,"[[1,32,40,98],[],[],[32,32,1,1],[32],[32],[],[],[32]]","[[1,32,20,98]]","[[],[],[32,32,1,1],[32],[32],[],[],[32]]",300,797.758029,2.6591934299999997,2.64961,2.7348648499999997,0.8235447018593168,61.61024353415777,0.8324419340642317,62.27585481389423,True
16,219,QLINEAR_CONV,1,qlinear_conv_o4i4_layer_hybrid_v3,,,"[[1,512,49],[],[],[256,512,1],[256],[256],[],[]]","[[1,256,49]]","[[],[],[256,512,1],[256],[256],[],[]]",300,582.855571,1.9428519033333336,1.914896,2.1469661,0.6016957523422642,62.211939286500034,0.6081962213674594,62.884051035261685,True
17,810,QLINEAR_CONV,1,qlinear_conv_o4i4_layer_hybrid_v3,,,"[[1,992,49],[],[],[128,992,1],[128],[128],[],[],[128]]","[[1,128,49]]","[[],[],[128,992,1],[128],[128],[],[],[128]]",300,536.336831,1.7877894366666665,1.764323,1.83215085,0.5536733439533528,62.76561263045339,0.5596549989815534,63.443706034243235,True
18,567,QLINEAR_CONV,1,qlinear_conv_o4i4_layer_hybrid_v3,,,"[[1,992,49],[],[],[128,992,1],[128],[128],[],[],[128]]","[[1,128,49]]","[[],[],[128,992,1],[128],[128],[],[],[128]]",300,535.345998,1.78448666,1.760859,1.82839835,0.5526504833390883,63.318263113792476,0.5586210878094043,64.00232712205263,True
19,795,QLINEAR_CONV,1,qlinear_conv_o4i4_layer_hybrid_v3,,,"[[1,960,49],[],[],[128,960,1],[128],[128],[],[],[128]]","[[1,128,49]]","[[],[],[128,960,1],[128],[128],[],[],[128]]",300,520.097596,1.7336586533333331,1.7239325,1.7809890499999999,0.5369091930951502,63.855172306887624,0.5427097352553218,64.54503685730796,True
20,552,QLINEAR_CONV,1,qlinear_conv_o4i4_layer_hybrid_v3,,,"[[1,960,49],[],[],[128,960,1],[128],[128],[],[],[128]]","[[1,128,49]]","[[],[],[128,960,1],[128],[128],[],[],[128]]",300,517.712027,1.7257067566666668,1.699922,1.7707108500000002,0.5344465131352475,64.38961882002287,0.5402204495320645,65.08525730684002,True
21,780,QLINEAR_CONV,1,qlinear_conv_o4i4_layer_hybrid_v3,,,"[[1,928,49],[],[],[128,928,1],[128],[128],[],[],[128]]","[[1,128,49]]","[[],[],[128,928,1],[128],[128],[],[],[128]]",300,505.028077,1.6834269233333332,1.6597140000000001,1.73182565,0.5213525680523726,64.91097138807525,0.5269850429479284,65.61224234978795,True
22,537,QLINEAR_CONV,1,qlinear_conv_o4i4_layer_hybrid_v3,,,"[[1,928,49],[],[],[128,928,1],[128],[128],[],[],[128]]","[[1,128,49]]","[[],[],[128,928,1],[128],[128],[],[],[128]]",300,503.250731,1.6775024366666667,1.655338,1.71874225,0.5195177712487532,65.43048915932401,0.5251304237677292,66.13737277355568,True
23,765,QLINEAR_CONV,1,qlinear_conv_o4i4_layer_hybrid_v3,,,"[[1,896,49],[],[],[128,896,1],[128],[128],[],[],[128]]","[[1,128,49]]","[[],[],[128,896,1],[128],[128],[],[],[128]]",300,485.600729,1.6186690966666666,1.595755,1.6617986999999999,0.5012972518600273,65.93178641118404,0.5067130575150386,66.64408583107073,True
24,522,QLINEAR_CONV,1,qlinear_conv_o4i4_layer_hybrid_v3,,,"[[1,896,49],[],[],[128,896,1],[128],[128],[],[],[128]]","[[1,128,49]]","[[],[],[128,896,1],[128],[128],[],[],[128]]",300,484.447772,1.6148259066666666,1.5903385,1.65808355,0.5001070267613067,66.43189343794535,0.505509973722606,67.14959580479334,True
25,750,QLINEAR_CONV,1,qlinear_conv_o4i4_layer_hybrid_v3,,,"[[1,864,49],[],[],[128,864,1],[128],[128],[],[],[128]]","[[1,128,49]]","[[],[],[128,864,1],[128],[128],[],[],[128]]",300,470.852599,1.5695086633333333,1.55125,1.6151587,0.4860724043720523,66.9179658423174,0.49132372714826056,67.64091953194159,True
26,507,QLINEAR_CONV,1,qlinear_conv_o4i4_layer_hybrid_v3,,,"[[1,864,49],[],[],[128,864,1],[128],[128],[],[],[128]]","[[1,128,49]]","[[],[],[128,864,1],[128],[128],[],[],[128]]",300,469.643587,1.5654786233333333,1.5413545,1.6130262,0.4848243123555641,67.40279015467297,0.49006215126810493,68.1309816832097,True
27,735,QLINEAR_CONV,1,qlinear_conv_o4i4_layer_hybrid_v3,,,"[[1,832,49],[],[],[128,832,1],[128],[128],[],[],[128]]","[[1,128,49]]","[[],[],[128,832,1],[128],[128],[],[],[128]]",300,454.5263,1.5150876666666666,1.4952605,1.5678409,0.4692183752634076,67.87200852993638,0.47428761416459425,68.60526929737429,True
28,492,QLINEAR_CONV,1,qlinear_conv_o4i4_layer_hybrid_v3,,,"[[1,832,49],[],[],[128,832,1],[128],[128],[],[],[128]]","[[1,128,49]]","[[],[],[128,832,1],[128],[128],[],[],[128]]",300,452.54979,1.5084993,1.48414,1.5473903,0.46717797669704986,68.33918650663342,0.47222517198628144,69.07749446936057,True
29,720,QLINEAR_CONV,1,qlinear_conv_o4i4_layer_hybrid_v3,,,"[[1,800,49],[],[],[128,800,1],[128],[128],[],[],[128]]","[[1,128,49]]","[[],[],[128,800,1],[128],[128],[],[],[128]]",300,437.489472,1.45829824,1.4334635,1.51028355,0.45163085006673115,68.79081735670016,0.45651008070821875,69.53400455006879,True
30,477,QLINEAR_CONV,1,qlinear_conv_o4i4_layer_hybrid_v3,,,"[[1,800,49],[],[],[128,800,1],[128],[128],[],[],[128]]","[[1,128,49]]","[[],[],[128,800,1],[128],[128],[],[],[128]]",300,435.856935,1.45285645,1.4336455,1.4949559,0.44994554305875956,69.24076289975892,0.45480656634883976,69.98881111641762,True
31,462,QLINEAR_CONV,1,qlinear_conv_o4i4_layer_hybrid_v3,,,"[[1,768,49],[],[],[128,768,1],[128],[128],[],[],[128]]","[[1,128,49]]","[[],[],[128,768,1],[128],[128],[],[],[128]]",300,419.397094,1.3979903133333333,1.373802,1.4461044500000002,0.43295365534816055,69.67371655510708,0.43763110539659433,70.42644222181421,True
32,705,QLINEAR_CONV,1,qlinear_conv_o4i4_layer_hybrid_v3,,,"[[1,768,49],[],[],[128,768,1],[128],[128],[],[],[128]]","[[1,128,49]]","[[],[],[128,768,1],[128],[128],[],[],[128]]",300,417.701251,1.3923375033333334,1.3708075000000002,1.4320336999999999,0.4312029960416214,70.1049195511487,0.43586153269977196,70.86230375451399,True
33,690,QLINEAR_CONV,1,qlinear_conv_o4i4_layer_hybrid_v3,,,"[[1,736,49],[],[],[128,736,1],[128],[128],[],[],[128]]","[[1,128,49]]","[[],[],[128,736,1],[128],[128],[],[],[128]]",300,403.403695,1.3446789833333335,1.3227605,1.3858782,0.4164432868750504,70.52136283802375,0.42094236581410505,71.28324612032809,True
