rank,operator_id,operator_type,kernel_id,kernel_name,fusion_family,fusion_pattern,input_shapes,output_shapes,weight_shapes,call_count,total_exclusive_ms,mean_ms,p50_ms,p95_ms,end_to_end_share_pct,cumulative_end_to_end_share_pct,operator_exclusive_share_pct,cumulative_operator_exclusive_share_pct,in_top_bottleneck_set
1,10,QLINEAR_CONV,3,fused_quant_qlinear_conv_o4i4,FUSION_CONV_BIAS_ACT,QuantizeLinear-QLinearConvInputPack,"[[1,32,40,98],[],[],[32,32,3,3],[32],[32],[],[],[32]]","[[1,32,40,98]]","[[],[],[32,32,3,3],[32],[32],[],[],[32]]",60,32341.319414,539.0219902333333,538.940833,539.8059348,6.361975090420366,6.361975090420366,6.365595497543921,6.365595497543921,True
2,2,QLINEAR_CONV,1,qlinear_conv_o4i4_neon,,,"[[1,32,80,98],[],[],[32,32,3,3],[32],[32],[],[],[32]]","[[1,32,40,98]]","[[],[],[32,32,3,3],[32],[32],[],[],[32]]",60,31538.22093,525.6370155,525.535209,526.9618196,6.203994753101456,12.56596984352182,6.207525258405138,12.57312075594906,True
3,6,QLINEAR_CONV,1,qlinear_conv_o4i4_neon,,,"[[1,32,40,98],[],[],[32,32,3,3],[32],[32],[],[],[32]]","[[1,32,40,98]]","[[],[],[32,32,3,3],[32],[32],[],[],[32]]",60,31245.186711,520.75311185,520.6586195,521.73379145,6.146350957619451,18.71232080114127,6.149848659586933,18.722969415535992,True
4,12,QLINEAR_CONV,1,qlinear_conv_o4i4_neon,,,"[[1,32,40,98],[],[],[32,32,3,3],[32],[32],[],[],[32]]","[[1,32,40,98]]","[[],[],[32,32,3,3],[32],[32],[],[],[32]]",60,31234.397801,520.5732966833333,520.518958,521.2439589,6.144228633053959,24.85654943419523,6.14772512727088,24.870694542806874,True
5,825,QLINEAR_CONV,1,qlinear_conv_o4i4_neon,,,"[[1,1024,49],[],[],[512,1024,1],[512],[512],[],[],[512]]","[[1,512,49]]","[[],[],[512,1024,1],[512],[512],[],[],[512]]",60,19206.95931,320.11598849999996,320.0233855,321.4514795,3.7782687567175066,28.634818190912736,3.7804188549066873,28.651113397713562,True
6,582,QLINEAR_CONV,1,qlinear_conv_o4i4_neon,,,"[[1,1024,49],[],[],[512,1024,1],[512],[512],[],[]]","[[1,512,49]]","[[],[],[512,1024,1],[512],[512],[],[]]",60,19170.151444,319.50252406666664,319.515364,321.3803016,3.7710281514835056,32.40584634239624,3.7731741292637877,32.42428752697735,True
7,25,QLINEAR_CONV,3,fused_quant_qlinear_conv_o4i4,FUSION_CONV_BIAS_ACT,QuantizeLinear-QLinearConvInputPack,"[[1,32,20,98],[],[],[32,32,3,3],[32],[32],[],[],[32]]","[[1,32,20,98]]","[[],[],[32,32,3,3],[32],[32],[],[],[32]]",60,15955.858539,265.93097565,265.871979,266.58820305,3.1387332493134723,35.54457959170971,3.1405194072366402,35.56480693421399,True
8,17,QLINEAR_CONV,1,qlinear_conv_o4i4_neon,,,"[[1,32,40,98],[],[],[32,32,3,3],[32],[32],[],[],[32]]","[[1,32,20,98]]","[[],[],[32,32,3,3],[32],[32],[],[],[32]]",60,15656.841242,260.94735403333334,260.90950499999997,261.75203930000004,3.0799125014408504,38.624492093150565,3.0816651862598983,38.64647212047389,True
9,21,QLINEAR_CONV,1,qlinear_conv_o4i4_neon,,,"[[1,32,20,98],[],[],[32,32,3,3],[32],[32],[],[],[32]]","[[1,32,20,98]]","[[],[],[32,32,3,3],[32],[32],[],[],[32]]",60,15449.611086,257.4935181,257.4693755,258.367651,3.0391475260365004,41.663639619187066,3.040877012744074,41.687349133217964,True
10,27,QLINEAR_CONV,1,qlinear_conv_o4i4_neon,,,"[[1,32,20,98],[],[],[32,32,3,3],[32],[32],[],[],[32]]","[[1,32,20,98]]","[[],[],[32,32,3,3],[32],[32],[],[],[32]]",60,15437.623796,257.29372993333334,257.379375,257.99939035,3.0367894639115325,44.7004290830986,3.038517608717449,44.72586674193541,True
