case_name,operator_id,operator_type,kernel_name,baseline_mean_ms,optimized_mean_ms,speedup_ratio,latency_reduction_pct,baseline_p50_ms,optimized_p50_ms,baseline_p95_ms,optimized_p95_ms,bitwise_output_hashes
add_stride,14,ADD,add_stride,23.25945138333333,0.6922144833333332,33.60150927690548,97.02394320517232,23.175442,0.682943,23.719541449999998,0.74098885,True
relu_stride,9,RELU,relu_stride,12.9182899,0.47721446666666667,27.070197578531076,96.30590062337379,12.7939585,0.4361715,13.65776035,0.7883544,True
expand_stride,622,EXPAND,expand_stride,0.7995034666666667,0.007125866666666667,112.19736546665669,99.10871347483004,0.793984,0.006875,0.82910655,0.00944525,True
slice_stride,182,SLICE,slice_stride,0.4967995333333333,0.004554733333333333,109.07324248766851,99.08318486074799,0.494219,0.003906,0.51226775,0.005953049999999984,True
quantize_linear_stride,16,QUANTIZE_LINEAR,quantize_linear_stride,19.82794541666667,1.5028741333333333,13.193350645199297,92.42042429635664,19.7664325,1.495469,20.18316925,1.57190375,True
reduce_mean_stride,43,REDUCE_MEAN,reduce_mean_stride,0.36358756666666664,0.009746516666666667,37.30436001922054,97.31934819553328,0.3615885,0.0085935,0.37633325,0.01021864999999999,True
fused_dequant_sigmoid_mul,340,MUL,fused_dequant_sigmoid_mul,0.250835,0.0172917,14.506092518375867,93.10634480834014,0.2467445,0.017084,0.2646542,0.018009749999999998,True
average_pool_stride,44,AVERAGE_POOL,average_pool_stride,0.1815123,0.01029515,17.630855305653633,94.32812542180336,0.177448,0.009427,0.19340330000000003,0.012145599999999993,True
reshape_stride,34,RESHAPE,reshape_stride,2.2215235,0.6973438166666667,3.185693264792936,68.60965834182413,2.215052,0.680495,2.25129435,0.7437897999999998,True
fused_statistics_pooling,828,CONCAT,fused_statistics_pooling,0.8660607666666668,0.5379505333333333,1.6099264021549444,37.88535931447152,0.867943,0.530026,0.8919818999999999,0.57401555,True
