case_name,shape,operator_id,input,execution_path,fixed_microkernel_sample_count,mean_ms,p50_ms,p95_ms,cv_pct,v2_input_address_pct,v2_weight_transform_pct,v2_mac_smlal_pct,v2_requant_pct,v2_output_store_pct,setup_other_pct,foreign_symbol_pct,unclassified_pct,classified_core_share_pct,area_address_pct,area_mac_pct,area_requant_pct,area_setup_pct,area_foreign_pct,area_unclassified_pct,area_address_pct_of_classified,area_mac_pct_of_classified,area_requant_pct_of_classified,detail_address_output_coordinates_pct,detail_address_kernel_coordinates_pct,detail_address_padding_bounds_pct,detail_address_offset_pct,detail_address_point_table_pct,detail_address_input_load_transform_pct,detail_mac_dispatch_guard_pct,detail_mac_weight_load_transform_pct,detail_mac_accumulate_pct,detail_mac_accumulator_store_pct,detail_mac_bias_tail_pct,detail_requant_parameter_load_pct,detail_requant_dispatch_pct,detail_requant_scale_multiply_pct,detail_requant_round_clamp_narrow_pct,detail_requant_output_address_pct,detail_requant_tail_control_pct,detail_requant_output_store_pct,detail_requant_scalar_fallback_pct,detail_setup_other_pct,detail_foreign_symbol_pct,detail_unclassified_pct,stack_spill_share_of_annotated_pct,winner,area_winner,detail_winner
qconv_3x3_op_2,3x3,2,benchmarks/campplus/features/multi__speaker_0000__98.f32,v4_fixed_4x8_intrinsics,3982,17.441555,17.451146,18.158544,2.040238,15.387198,3.278872,47.560430,2.887198,1.286929,7.878245,0.000000,21.721128,70.400627,15.387198,58.661594,4.174127,0.055953,0.000000,21.721128,19.670959,74.992847,5.336195,0.279767,0.145479,2.663384,7.419427,0.928827,3.950313,7.822292,3.278872,47.023277,0.111907,0.425246,0.000000,1.365264,0.000000,1.521934,0.816920,0.179051,0.290958,0.000000,0.055953,0.000000,21.721128,0.160000,v2_mac_smlal,mac,mac_accumulate
qconv_3x3_op_2,3x3,2,benchmarks/campplus/features/multi__speaker_0005__98.f32,v4_fixed_4x8_intrinsics,3944,17.354279,17.277500,18.066905,2.521806,15.525576,3.395166,47.948286,2.394604,1.202923,7.397414,0.000000,22.136031,70.466554,15.525576,58.594716,3.597527,0.146150,0.000000,22.136031,19.976855,75.394185,4.628960,0.281057,0.202361,2.990444,7.228780,1.090500,3.732434,7.251265,3.395166,47.734682,0.056211,0.157392,0.011242,1.124227,0.000000,1.259134,0.820686,0.202361,0.179876,0.000000,0.146150,0.000000,22.136031,0.130052,v2_mac_smlal,mac,mac_accumulate
qconv_3x3_op_2,3x3,2,benchmarks/campplus/features/multi__speaker_0006__98.f32,v4_fixed_4x8_intrinsics,3986,17.280901,17.274271,17.813328,1.677903,16.281950,3.344218,47.528431,2.612318,1.283639,7.127576,0.000000,21.821867,71.050557,16.281950,57.865105,3.895958,0.135120,0.000000,21.821867,20.862790,74.145145,4.992065,0.225200,0.236460,2.713658,7.544195,1.193559,4.368877,6.992456,3.344218,47.123072,0.090080,0.315280,0.000000,1.249859,0.000000,1.362459,0.990879,0.056300,0.236460,0.000000,0.135120,0.000000,21.821867,0.059982,v2_mac_smlal,mac,mac_accumulate
qconv_3x3_op_6,3x3,6,benchmarks/campplus/features/multi__speaker_0000__98.f32,v4_fixed_4x8_intrinsics,3712,17.325492,17.208880,17.816547,1.506164,15.969796,3.876930,48.371464,2.975318,1.284797,6.119689,0.000000,21.402006,72.478305,15.969796,58.221571,4.260115,0.146512,0.000000,21.402006,20.356271,74.213475,5.430254,0.338104,0.225403,3.121830,7.517187,1.239716,3.527556,5.973177,3.876930,47.965739,0.033810,0.371915,0.011270,1.408768,0.000000,1.555280,1.014313,0.123972,0.146512,0.000000,0.146512,0.000000,21.402006,0.089973,v2_mac_smlal,mac,mac_accumulate
qconv_3x3_op_6,3x3,6,benchmarks/campplus/features/multi__speaker_0005__98.f32,v4_fixed_4x8_intrinsics,3719,17.138654,17.101068,17.411755,1.026494,15.541690,4.276801,49.222915,2.654566,1.372660,5.456608,0.000000,21.474759,73.068633,15.541690,58.910947,4.027226,0.045377,0.000000,21.474759,19.803411,75.065048,5.131541,0.317640,0.294952,2.858763,7.861600,0.896200,3.312535,5.411231,4.276801,48.859898,0.113443,0.249575,0.045377,1.179807,0.000000,1.429382,1.066364,0.079410,0.226886,0.000000,0.045377,0.000000,21.474759,0.119940,v2_mac_smlal,mac,mac_accumulate
qconv_3x3_op_6,3x3,6,benchmarks/campplus/features/multi__speaker_0006__98.f32,v4_fixed_4x8_intrinsics,3699,17.244773,17.244791,17.516388,1.325919,15.174833,4.198257,48.760892,2.591377,1.482404,5.918298,0.000000,21.873939,72.207763,15.174833,58.764287,4.073781,0.113161,0.000000,21.873939,19.451697,75.326371,5.221932,0.339482,0.237637,2.659274,7.638339,0.905285,3.394817,5.805137,4.198257,48.353514,0.067896,0.339482,0.011316,1.256082,0.000000,1.323979,1.075025,0.203689,0.203689,0.000000,0.113161,0.000000,21.873939,0.179982,v2_mac_smlal,mac,mac_accumulate
qconv_3x3_op_12,3x3,12,benchmarks/campplus/features/multi__speaker_0000__98.f32,v4_fixed_4x8_intrinsics,3691,17.142187,17.090807,17.682834,1.376489,15.049977,3.816447,49.420718,2.567015,1.328941,5.860972,0.000000,21.955929,72.183099,15.049977,59.007269,3.895956,0.090868,0.000000,21.955929,19.306426,75.695760,4.997814,0.261245,0.204453,2.816901,7.417083,0.976829,3.373467,5.770104,3.816447,48.966379,0.102226,0.352113,0.011358,1.203998,0.000000,1.351658,0.976829,0.159019,0.193094,0.000000,0.090868,0.000000,21.955929,0.089937,v2_mac_smlal,mac,mac_accumulate
qconv_3x3_op_12,3x3,12,benchmarks/campplus/features/multi__speaker_0005__98.f32,v4_fixed_4x8_intrinsics,3695,17.258583,17.202213,17.698307,1.225219,16.019417,4.097991,48.408219,2.664258,1.253105,5.768797,0.000000,21.788214,72.442989,16.019417,58.162113,3.917363,0.112892,0.000000,21.788214,20.511709,74.472391,5.015901,0.282231,0.316098,3.070671,7.846015,1.083766,3.420637,5.655904,4.097991,47.843757,0.112892,0.451569,0.033868,1.286972,0.000000,1.343418,0.869271,0.180628,0.203206,0.000000,0.112892,0.000000,21.788214,0.059982,v2_mac_smlal,mac,mac_accumulate
qconv_3x3_op_12,3x3,12,benchmarks/campplus/features/multi__speaker_0006__98.f32,v4_fixed_4x8_intrinsics,3739,17.252104,17.222526,17.761763,1.391342,15.327230,3.571832,48.920538,2.859726,1.277269,6.182887,0.000000,21.860518,71.956595,15.327230,58.539618,4.136996,0.135639,0.000000,21.860518,19.649326,75.047095,5.303579,0.316491,0.248672,2.916243,7.256697,0.938171,3.650955,6.047248,3.571832,48.468407,0.079123,0.373008,0.011303,1.277269,0.000000,1.571154,1.085114,0.090426,0.101729,0.000000,0.135639,0.000000,21.860518,0.029979,v2_mac_smlal,mac,mac_accumulate
qconv_3x3_op_17,3x3,17,benchmarks/campplus/features/multi__speaker_0000__98.f32,v4_fixed_4x8_intrinsics,1846,8.584438,8.538698,8.826714,1.423211,15.217391,3.238225,49.298007,2.943841,1.403986,5.434783,0.000000,22.463768,72.101449,15.217391,57.948370,4.347826,0.022645,0.000000,22.463768,19.631902,74.758983,5.609115,0.249094,0.181159,2.785326,6.906703,1.154891,3.940217,5.412138,3.238225,48.731884,0.090580,0.475543,0.022645,1.471920,0.000000,1.449275,0.951087,0.317029,0.135870,0.000000,0.022645,0.000000,22.463768,0.000000,v2_mac_smlal,mac,mac_accumulate
