case_name,shape,operator_id,weight_shape,profile_mean_ms,profile_share_pct,measured_mean_ms,measured_p50_ms,measured_p95_ms,measured_cv_pct,execution_paths,address_pct_of_classified,mac_pct_of_classified,requant_pct_of_classified,area_winner,detail_winner,maximum_unclassified_share_pct,all_output_hashes_match
qconv_3x3_op_2,3x3,2,32x32x3x3,525.637015,6.203995,17.358911,17.328568,18.047638,2.143039,v4_fixed_4x8_intrinsics,20.168955,74.844005,4.987040,mac,mac_accumulate,22.136031,True
qconv_3x3_op_6,3x3,6,32x32x3x3,520.753112,6.146351,17.236306,17.168307,17.657018,1.376562,v4_fixed_4x8_intrinsics,19.871949,74.866413,5.261638,mac,mac_accumulate,21.873939,True
qconv_3x3_op_12,3x3,12,32x32x3x3,520.573297,6.144229,17.217625,17.173229,17.751687,1.368542,v4_fixed_4x8_intrinsics,19.824002,75.070109,5.105889,mac,mac_accumulate,21.955929,True
qconv_3x3_op_17,3x3,17,32x32x3x3,260.947354,3.079913,8.605311,8.581120,8.924563,1.658379,v4_fixed_4x8_intrinsics,19.552586,75.401898,5.045516,mac,mac_accumulate,22.463768,True
qconv_3x3_op_21,3x3,21,32x32x3x3,257.493518,3.039148,8.930013,8.889558,9.070023,1.218617,v4_fixed_4x8_intrinsics,19.642857,75.645101,4.712042,mac,mac_accumulate,21.587652,True
qconv_1x1_op_825,1x1,825,512x1024x1,320.115988,3.778269,9.315048,9.276848,9.606292,1.189683,v4_fixed_4x8_intrinsics,7.821123,90.066603,2.112274,mac,mac_accumulate,9.976858,True
qconv_1x1_op_582,1x1,582,512x1024x1,319.502524,3.771028,9.253043,9.209479,9.572178,1.341095,v4_fixed_4x8_intrinsics,8.073587,89.972357,1.954056,mac,mac_accumulate,10.296010,True
qconv_1x1_op_219,1x1,219,256x512x1,80.040942,0.944708,2.360375,2.330912,2.485841,3.735552,v4_fixed_4x8_intrinsics,9.335793,87.195572,3.468635,mac,mac_accumulate,16.945996,True
qconv_1x1_op_567,1x1,567,128x992x1,77.430055,0.913892,2.203129,2.172813,2.334797,3.577881,v4_fixed_4x8_intrinsics,8.336657,89.509374,2.153969,mac,mac_accumulate,10.075027,True
qconv_1x1_op_810,1x1,810,128x992x1,77.384935,0.913360,2.196583,2.178177,2.294680,2.315093,v4_fixed_4x8_intrinsics,8.226324,89.727127,2.046549,mac,mac_accumulate,10.108696,True
