case_name,shape,operator_id,input,execution_path,fixed_microkernel_sample_count,mean_ms,p50_ms,p95_ms,cv_pct,v2_input_address_pct,v2_weight_transform_pct,v2_mac_smlal_pct,v2_requant_pct,v2_output_store_pct,setup_other_pct,foreign_symbol_pct,unclassified_pct,classified_core_share_pct,area_address_pct,area_mac_pct,area_requant_pct,area_setup_pct,area_foreign_pct,area_unclassified_pct,area_address_pct_of_classified,area_mac_pct_of_classified,area_requant_pct_of_classified,detail_address_output_coordinates_pct,detail_address_kernel_coordinates_pct,detail_address_padding_bounds_pct,detail_address_offset_pct,detail_address_point_table_pct,detail_address_input_load_transform_pct,detail_mac_dispatch_guard_pct,detail_mac_weight_load_transform_pct,detail_mac_accumulate_pct,detail_mac_accumulator_store_pct,detail_mac_bias_tail_pct,detail_requant_parameter_load_pct,detail_requant_dispatch_pct,detail_requant_scale_multiply_pct,detail_requant_round_clamp_narrow_pct,detail_requant_output_address_pct,detail_requant_tail_control_pct,detail_requant_output_store_pct,detail_requant_scalar_fallback_pct,detail_setup_other_pct,detail_foreign_symbol_pct,detail_unclassified_pct,stack_spill_share_of_annotated_pct,winner,area_winner,detail_winner
qconv_3x3_op_2,3x3,2,benchmarks/campplus/features/multi__speaker_0000__98.f32,v4_fixed_4x8_intrinsics,3974,17.399716,17.595365,18.034112,3.007642,15.449344,3.410748,50.005610,2.333670,1.391226,5.419051,0.000000,21.990351,72.590598,15.449344,58.790531,3.724896,0.044878,0.000000,21.990351,19.815801,75.406533,4.777666,0.179513,0.134635,2.737574,7.303938,0.998541,4.095142,5.374173,3.410748,47.728038,0.100976,2.176596,0.000000,1.189274,0.000000,1.144396,1.222933,0.056098,0.112196,0.000000,0.044878,0.000000,21.990351,0.059952,v2_mac_smlal,mac,mac_accumulate
qconv_3x3_op_2,3x3,2,benchmarks/campplus/features/multi__speaker_0005__98.f32,v4_fixed_4x8_intrinsics,3846,17.210263,17.116484,17.758700,1.941115,15.738964,3.251665,50.073388,2.619397,1.456475,5.012984,0.000000,21.847127,73.139889,15.738964,58.213842,4.075872,0.124196,0.000000,21.847127,20.170742,74.605701,5.223557,0.169358,0.169358,3.104889,7.711415,0.869369,3.714576,4.888789,3.251665,47.792706,0.033872,2.246810,0.022581,1.140341,0.000000,1.456475,1.072598,0.203229,0.180648,0.000000,0.124196,0.000000,21.847127,0.110011,v2_mac_smlal,mac,mac_accumulate
qconv_3x3_op_2,3x3,2,benchmarks/campplus/features/multi__speaker_0006__98.f32,v4_fixed_4x8_intrinsics,3867,17.058031,17.042760,17.541308,1.679076,15.882019,3.131027,50.674986,2.586500,1.191151,4.424277,0.000000,22.110040,73.465683,15.882019,58.173568,3.777652,0.056721,0.000000,22.110040,20.405189,74.741291,4.853520,0.328985,0.272263,2.858763,7.317073,1.020987,4.083948,4.367555,3.131027,48.417470,0.090754,2.166761,0.034033,1.157119,0.000000,1.395349,0.941577,0.158820,0.090754,0.000000,0.056721,0.000000,22.110040,0.029991,v2_mac_smlal,mac,mac_accumulate
qconv_3x3_op_6,3x3,6,benchmarks/campplus/features/multi__speaker_0000__98.f32,v4_fixed_4x8_intrinsics,3640,16.920341,16.856068,17.289532,1.222824,15.558861,3.660908,51.298478,2.619838,1.304199,3.203295,0.000000,22.354422,74.442283,15.558861,58.116920,3.924036,0.045761,0.000000,22.354422,20.050125,74.893115,5.056760,0.274568,0.228807,2.928727,7.356138,1.189795,3.580826,3.157533,3.660908,48.884567,0.068642,2.345269,0.022881,1.246997,0.000000,1.349960,0.903787,0.194486,0.205926,0.000000,0.045761,0.000000,22.354422,0.119928,v2_mac_smlal,mac,mac_accumulate
qconv_3x3_op_6,3x3,6,benchmarks/campplus/features/multi__speaker_0005__98.f32,v4_fixed_4x8_intrinsics,3577,16.926422,16.805547,17.549513,1.719865,15.675924,3.970622,51.078724,2.719761,1.204958,3.098462,0.000000,22.251549,74.649989,15.675924,58.090429,3.924719,0.057379,0.000000,22.251549,20.177253,74.771049,5.051699,0.309846,0.275419,3.396833,7.252697,1.124627,3.316502,3.041083,3.970622,48.565527,0.149185,2.364012,0.000000,1.296764,0.000000,1.422997,0.952490,0.103282,0.149185,0.000000,0.057379,0.000000,22.251549,0.089991,v2_mac_smlal,mac,mac_accumulate
qconv_3x3_op_6,3x3,6,benchmarks/campplus/features/multi__speaker_0006__98.f32,v4_fixed_4x8_intrinsics,3645,16.997695,16.902995,17.522594,1.732023,15.651477,3.904282,51.144951,2.828028,1.442638,2.908175,0.000000,22.120449,74.971376,15.651477,57.820014,4.270666,0.137394,0.000000,22.120449,20.132548,74.374080,5.493373,0.377834,0.194642,3.011221,7.499428,1.053355,3.514999,2.770781,3.904282,49.015342,0.137394,1.992214,0.022899,1.259446,0.000000,1.545684,1.122052,0.160293,0.160293,0.000000,0.137394,0.000000,22.120449,0.119916,v2_mac_smlal,mac,mac_accumulate
qconv_3x3_op_12,3x3,12,benchmarks/campplus/features/multi__speaker_0000__98.f32,v4_fixed_4x8_intrinsics,3606,16.862401,16.747656,17.624836,1.978197,15.729562,4.104864,51.477521,2.529608,1.172818,2.771070,0.000000,22.214557,75.014373,15.729562,58.249971,3.702426,0.103484,0.000000,22.214557,20.248668,74.985198,4.766134,0.298954,0.218466,3.035529,7.703806,1.103829,3.368978,2.667587,4.104864,49.223870,0.080488,2.173163,0.000000,1.011843,0.000000,1.517765,0.885363,0.091986,0.195470,0.000000,0.103484,0.000000,22.214557,0.059964,v2_mac_smlal,mac,mac_accumulate
qconv_3x3_op_12,3x3,12,benchmarks/campplus/features/multi__speaker_0005__98.f32,v4_fixed_4x8_intrinsics,3620,16.916992,16.844062,17.487607,1.607847,15.426081,4.220668,51.382039,2.683794,1.204267,3.039339,0.000000,22.043812,74.916848,15.426081,58.515885,3.888061,0.126161,0.000000,22.043812,19.820218,75.184203,4.995579,0.309669,0.160569,2.981993,7.512329,1.123982,3.337539,2.913178,4.220668,49.019383,0.114692,2.247964,0.034408,1.078105,0.000000,1.571281,0.871660,0.091754,0.240853,0.000000,0.126161,0.000000,22.043812,0.119952,v2_mac_smlal,mac,mac_accumulate
qconv_3x3_op_12,3x3,12,benchmarks/campplus/features/multi__speaker_0006__98.f32,v4_fixed_4x8_intrinsics,3622,16.985576,16.875859,17.480150,1.730593,15.924442,3.915283,51.368060,2.587293,1.431025,2.896394,0.000000,21.877504,75.226102,15.924442,58.065255,4.018317,0.114482,0.000000,21.877504,20.413854,74.434987,5.151159,0.320550,0.183171,2.953635,7.464224,1.270750,3.732112,2.781912,3.915283,49.147109,0.125930,2.095020,0.022896,1.121923,0.000000,1.442473,1.041786,0.206068,0.183171,0.000000,0.114482,0.000000,21.877504,0.030006,v2_mac_smlal,mac,mac_accumulate
qconv_3x3_op_17,3x3,17,benchmarks/campplus/features/multi__speaker_0000__98.f32,v4_fixed_4x8_intrinsics,1832,8.493169,8.446848,8.710443,1.733547,16.784654,3.859329,50.719342,2.374971,1.118977,3.105732,0.000000,22.036995,74.857273,16.784654,57.615894,3.493948,0.068509,0.000000,22.036995,21.547933,73.966579,4.485488,0.296871,0.137018,3.037223,7.878511,1.324503,4.110528,3.037223,3.859329,48.549897,0.091345,2.078100,0.000000,1.118977,0.000000,1.255995,0.959123,0.068509,0.091345,0.000000,0.068509,0.000000,22.036995,0.120024,v2_mac_smlal,mac,mac_accumulate
qconv_3x3_op_17,3x3,17,benchmarks/campplus/features/multi__speaker_0005__98.f32,v4_fixed_4x8_intrinsics,1843,8.545065,8.467161,8.906094,2.503422,15.764331,3.639672,50.363967,2.775250,1.160146,3.685168,0.000000,22.611465,73.703367,15.764331,57.575068,3.935396,0.113740,0.000000,22.611465,20.400353,74.506918,5.092729,0.295723,0.136488,3.230209,7.165605,1.160146,3.776160,3.571429,3.639672,48.043676,0.090992,2.229299,0.022748,1.228389,0.000000,1.524113,0.887170,0.068244,0.204732,0.000000,0.113740,0.000000,22.611465,0.179874,v2_mac_smlal,mac,mac_accumulate
qconv_3x3_op_17,3x3,17,benchmarks/campplus/features/multi__speaker_0006__98.f32,v4_fixed_4x8_intrinsics,1832,8.505133,8.367292,8.931344,2.530816,15.458495,4.116167,51.131946,2.675509,1.349188,3.178596,0.000000,22.090098,74.731306,15.458495,58.312371,4.024697,0.114338,0.000000,22.090098,19.870664,74.955908,5.173427,0.343014,0.182941,2.972788,6.997485,1.257718,3.704551,3.064258,4.116167,48.753716,0.022868,2.355362,0.000000,1.120512,0.000000,1.554997,0.960439,0.228676,0.160073,0.000000,0.114338,0.000000,22.090098,0.169966,v2_mac_smlal,mac,mac_accumulate
qconv_3x3_op_21,3x3,21,benchmarks/campplus/features/multi__speaker_0000__98.f32,v4_fixed_4x8_intrinsics,1703,8.821047,8.765911,8.971122,1.537010,14.992203,4.700379,52.216529,2.784585,1.269771,2.227668,0.000000,21.808866,75.963466,14.992203,59.010916,4.054355,0.133660,0.000000,21.808866,19.206621,75.599315,5.194064,0.311873,0.311873,3.207841,6.749833,0.980174,3.430608,2.094008,4.700379,50.167075,0.111383,1.938071,0.000000,1.336601,0.000000,1.447984,1.091557,0.044553,0.133660,0.000000,0.133660,0.000000,21.808866,0.060000,v2_mac_smlal,mac,mac_accumulate
qconv_3x3_op_21,3x3,21,benchmarks/campplus/features/multi__speaker_0005__98.f32,v4_fixed_4x8_intrinsics,1705,8.896867,8.795130,9.257217,2.736755,15.220768,5.458176,51.142667,2.551586,1.264699,2.862214,0.000000,21.499889,75.637897,15.220768,59.418682,3.816286,0.044375,0.000000,21.499889,19.400452,75.735294,4.864253,0.355003,0.399379,3.106279,7.233193,0.998447,3.128467,2.817839,5.458176,48.946084,0.044375,2.152208,0.000000,1.242512,0.000000,1.309075,0.954071,0.177502,0.133126,0.000000,0.044375,0.000000,21.499889,0.180162,v2_mac_smlal,mac,mac_accumulate
qconv_3x3_op_21,3x3,21,benchmarks/campplus/features/multi__speaker_0006__98.f32,v4_fixed_4x8_intrinsics,1683,8.774242,8.746250,8.859992,0.589551,15.680143,4.846996,51.217333,2.613357,1.228501,2.322984,0.000000,22.090686,75.586330,15.680143,58.342640,3.841858,0.044673,0.000000,22.090686,20.137694,74.928285,4.934022,0.379719,0.335046,3.506813,6.723252,1.139156,3.596158,2.278311,4.846996,48.961358,0.044673,2.211302,0.022336,1.273174,0.000000,1.317847,1.027474,0.134018,0.067009,0.000000,0.044673,0.000000,22.090686,0.130000,v2_mac_smlal,mac,mac_accumulate
qconv_1x1_op_825,1x1,825,benchmarks/campplus/features/multi__speaker_0000__98.f32,v4_fixed_4x8_intrinsics,2919,9.254466,9.244089,9.343703,0.398053,7.543769,3.733265,70.262616,1.184346,0.411946,7.337796,0.000000,9.526262,83.135942,7.543769,81.230690,1.596292,0.102987,0.000000,9.526262,8.347578,89.886040,1.766382,0.051493,0.025747,0.180227,2.780639,0.077240,4.428424,7.234809,3.733265,69.515963,0.025747,0.720906,0.205973,0.411946,0.000000,0.566426,0.205973,0.077240,0.128733,0.000000,0.102987,0.000000,9.526262,0.060024,v2_mac_smlal,mac,mac_accumulate
qconv_1x1_op_825,1x1,825,benchmarks/campplus/features/multi__speaker_0005__98.f32,v4_fixed_4x8_intrinsics,2916,9.232737,9.215964,9.334085,0.793820,7.045161,3.741935,70.167742,1.161290,0.541935,7.432258,0.000000,9.909677,82.658065,7.045161,81.238710,1.703226,0.103226,0.000000,9.909677,7.829079,90.278176,1.892744,0.180645,0.000000,0.206452,2.167742,0.025806,4.464516,7.329032,3.741935,69.290323,0.025806,0.851613,0.154839,0.593548,0.000000,0.412903,0.258065,0.180645,0.103226,0.000000,0.103226,0.000000,9.909677,0.100060,v2_mac_smlal,mac,mac_accumulate
qconv_1x1_op_825,1x1,825,benchmarks/campplus/features/multi__speaker_0006__98.f32,v4_fixed_4x8_intrinsics,2962,9.307977,9.260521,9.560789,1.161238,6.966581,3.547558,70.282776,1.233933,0.359897,8.097686,0.000000,9.511568,82.390746,6.966581,81.876607,1.593830,0.051414,0.000000,9.511568,7.703240,90.534395,1.762365,0.077121,0.000000,0.179949,2.236504,0.000000,4.473008,8.046272,3.547558,69.151671,0.051414,1.079692,0.231362,0.488432,0.000000,0.514139,0.128535,0.077121,0.154242,0.000000,0.051414,0.000000,9.511568,0.100110,v2_mac_smlal,mac,mac_accumulate
qconv_1x1_op_582,1x1,582,benchmarks/campplus/features/multi__speaker_0000__98.f32,v4_fixed_4x8_intrinsics,2884,9.133664,9.117370,9.239091,0.481465,7.279793,4.222798,68.756477,1.424870,0.518135,7.979275,0.000000,9.818653,82.202073,7.279793,80.906736,1.943005,0.051813,0.000000,9.818653,8.077034,89.767174,2.155792,0.129534,0.025907,0.103627,2.409326,0.000000,4.611399,7.927461,4.222798,67.564767,0.103627,1.088083,0.207254,0.647668,0.000000,0.569948,0.181347,0.103627,0.233161,0.000000,0.051813,0.000000,9.818653,0.039988,v2_mac_smlal,mac,mac_accumulate
qconv_1x1_op_582,1x1,582,benchmarks/campplus/features/multi__speaker_0005__98.f32,v4_fixed_4x8_intrinsics,2905,9.199086,9.171093,9.281070,0.795542,7.453416,3.312629,69.565217,1.578675,0.491718,8.022774,0.000000,9.575569,82.401656,7.453416,80.900621,2.070393,0.000000,0.000000,9.575569,8.242702,89.467659,2.289639,0.129400,0.000000,0.207039,2.406832,0.025880,4.684265,8.022774,3.312629,68.581781,0.077640,0.905797,0.181159,0.646998,0.000000,0.750518,0.284679,0.129400,0.077640,0.000000,0.000000,0.000000,9.575569,0.130130,v2_mac_smlal,mac,mac_accumulate
qconv_1x1_op_582,1x1,582,benchmarks/campplus/features/multi__speaker_0006__98.f32,v4_fixed_4x8_intrinsics,2902,9.209273,9.165859,9.389355,1.446107,7.100285,3.213268,70.173620,1.399326,0.544182,7.229852,0.000000,10.339466,82.430682,7.100285,80.564913,1.943509,0.051827,0.000000,10.339466,7.923655,89.907461,2.168884,0.103654,0.000000,0.155481,1.995336,0.000000,4.845815,7.178025,3.213268,68.981601,0.077740,1.114278,0.259134,0.596009,0.000000,0.544182,0.207308,0.129567,0.207308,0.000000,0.051827,0.000000,10.339466,0.070098,v2_mac_smlal,mac,mac_accumulate
qconv_1x1_op_219,1x1,219,benchmarks/campplus/features/multi__speaker_0000__98.f32,v4_fixed_4x8_intrinsics,714,2.336789,2.316510,2.433026,2.137692,8.411215,2.616822,63.271028,3.271028,0.841121,6.915888,0.000000,14.672897,78.411215,8.411215,72.803738,4.112150,0.000000,0.000000,14.672897,9.857612,85.323111,4.819277,0.093458,0.000000,0.373832,4.579439,0.000000,3.364486,6.915888,2.616822,60.841121,0.093458,2.336449,0.280374,1.588785,0.000000,1.401869,0.280374,0.373832,0.186916,0.000000,0.000000,0.000000,14.672897,0.289681,v2_mac_smlal,mac,mac_accumulate
qconv_1x1_op_219,1x1,219,benchmarks/campplus/features/multi__speaker_0005__98.f32,v4_fixed_4x8_intrinsics,715,2.330995,2.321484,2.374867,1.563569,8.768657,2.611940,61.753731,1.772388,0.746269,9.048507,0.000000,15.298507,75.652985,8.768657,73.320896,2.518657,0.093284,0.000000,15.298507,10.363837,86.659316,2.976847,0.186567,0.000000,0.373134,3.824627,0.000000,4.384328,8.955224,2.611940,59.328358,0.000000,2.425373,0.186567,0.466418,0.000000,1.119403,0.373134,0.000000,0.373134,0.000000,0.093284,0.000000,15.298507,0.000000,v2_mac_smlal,mac,mac_accumulate
qconv_1x1_op_219,1x1,219,benchmarks/campplus/features/multi__speaker_0006__98.f32,v4_fixed_4x8_intrinsics,707,2.330323,2.316484,2.402060,1.735300,8.403361,3.081232,61.064426,1.867414,1.120448,7.563025,0.000000,16.900093,75.536881,8.403361,71.521942,2.987862,0.186741,0.000000,16.900093,10.135135,86.261261,3.603604,0.093371,0.093371,0.280112,3.174603,0.000000,4.761905,7.376284,3.081232,59.757236,0.000000,1.307190,0.093371,0.653595,0.000000,1.120448,0.280112,0.373483,0.466853,0.000000,0.186741,0.000000,16.900093,0.430000,v2_mac_smlal,mac,mac_accumulate
qconv_1x1_op_567,1x1,567,benchmarks/campplus/features/multi__speaker_0000__98.f32,v4_fixed_4x8_intrinsics,687,2.199971,2.171302,2.330760,3.444913,6.500542,3.575298,69.664139,1.516793,0.433369,7.475623,0.000000,10.834236,81.690141,6.500542,80.498375,1.950163,0.216685,0.000000,10.834236,7.308161,90.499391,2.192448,0.000000,0.000000,0.433369,1.733478,0.000000,4.333694,7.258938,3.575298,68.147346,0.000000,1.516793,0.325027,0.650054,0.000000,0.541712,0.216685,0.108342,0.108342,0.000000,0.216685,0.000000,10.834236,0.150000,v2_mac_smlal,mac,mac_accumulate
qconv_1x1_op_567,1x1,567,benchmarks/campplus/features/multi__speaker_0005__98.f32,v4_fixed_4x8_intrinsics,678,2.170724,2.160703,2.239663,1.335854,7.415485,4.143948,70.010905,1.090513,0.218103,7.088332,0.000000,10.032715,82.878953,7.415485,81.243184,1.308615,0.000000,0.000000,10.032715,8.242424,90.303030,1.454545,0.218103,0.000000,0.218103,2.508179,0.000000,4.471101,7.088332,4.143948,69.029444,0.000000,0.981461,0.109051,0.327154,0.000000,0.654308,0.109051,0.109051,0.000000,0.000000,0.000000,0.000000,10.032715,0.149985,v2_mac_smlal,mac,mac_accumulate
qconv_1x1_op_567,1x1,567,benchmarks/campplus/features/multi__speaker_0006__98.f32,v4_fixed_4x8_intrinsics,694,2.182042,2.161406,2.314513,3.065964,6.659389,3.930131,71.834061,0.436681,0.218341,7.532751,0.000000,9.388646,83.078603,6.659389,83.187773,0.655022,0.109170,0.000000,9.388646,7.358263,91.917973,0.723764,0.218341,0.000000,0.218341,2.620087,0.000000,3.602620,7.423581,3.930131,69.978166,0.109170,1.746725,0.218341,0.000000,0.000000,0.218341,0.218341,0.000000,0.000000,0.000000,0.109170,0.000000,9.388646,0.000000,v2_mac_smlal,mac,mac_accumulate
qconv_1x1_op_810,1x1,810,benchmarks/campplus/features/multi__speaker_0000__98.f32,v4_fixed_4x8_intrinsics,688,2.169914,2.164089,2.184986,1.263929,7.633588,2.726281,68.375136,1.199564,0.327154,10.032715,0.000000,9.705562,80.261723,7.633588,81.025082,1.526718,0.109051,0.000000,9.705562,8.464329,89.842805,1.692866,0.000000,0.109051,0.109051,1.962923,0.218103,5.234460,9.923664,2.726281,67.938931,0.000000,0.436205,0.109051,0.436205,0.000000,0.654308,0.218103,0.000000,0.109051,0.000000,0.109051,0.000000,9.705562,0.000000,v2_mac_smlal,mac,mac_accumulate
qconv_1x1_op_810,1x1,810,benchmarks/campplus/features/multi__speaker_0005__98.f32,v4_fixed_4x8_intrinsics,693,2.187836,2.165313,2.315685,3.257872,6.528836,4.787813,69.314472,0.870511,0.544070,7.725789,0.000000,10.228509,82.045702,6.528836,81.610446,1.414581,0.217628,0.000000,10.228509,7.290401,91.130012,1.579587,0.108814,0.000000,0.000000,1.632209,0.108814,4.678999,7.508161,4.787813,68.226333,0.000000,1.088139,0.000000,0.544070,0.000000,0.326442,0.108814,0.108814,0.326442,0.000000,0.217628,0.000000,10.228509,0.000000,v2_mac_smlal,mac,mac_accumulate
qconv_1x1_op_810,1x1,810,benchmarks/campplus/features/multi__speaker_0006__98.f32,v4_fixed_4x8_intrinsics,684,2.169625,2.159141,2.230127,1.442706,7.960742,3.162486,68.702290,1.635769,0.545256,8.615049,0.000000,9.378408,82.006543,7.960742,80.370774,2.181025,0.109051,0.000000,9.378408,8.795181,88.795181,2.409639,0.000000,0.000000,0.109051,2.617230,0.000000,5.234460,8.505998,3.162486,67.829880,0.000000,0.872410,0.218103,0.545256,0.000000,0.872410,0.218103,0.109051,0.218103,0.000000,0.109051,0.000000,9.378408,0.000000,v2_mac_smlal,mac,mac_accumulate
