case_name,shape,operator_id,weight_shape,profile_mean_ms,profile_share_pct,measured_mean_ms,measured_p50_ms,measured_p95_ms,measured_cv_pct,execution_paths,address_pct_of_classified,mac_pct_of_classified,requant_pct_of_classified,area_winner,detail_winner,maximum_unclassified_share_pct,all_output_hashes_match
qconv_3x3_op_2,3x3,2,32x32x3x3,525.637015,6.203995,17.222670,17.152396,17.872893,2.431513,v4_fixed_4x8_intrinsics,20.129337,74.919164,4.951498,mac,mac_accumulate,22.110040,True
qconv_3x3_op_6,3x3,6,32x32x3x3,520.753112,6.146351,16.948153,16.856068,17.510266,1.590287,v4_fixed_4x8_intrinsics,20.119943,74.679251,5.200806,mac,mac_accumulate,22.354422,True
qconv_3x3_op_12,3x3,12,32x32x3x3,520.573297,6.144229,16.921656,16.817605,17.612838,1.803084,v4_fixed_4x8_intrinsics,20.161132,74.867361,4.971507,mac,mac_accumulate,22.214557,True
qconv_3x3_op_17,3x3,17,32x32x3x3,260.947354,3.079913,8.514456,8.437943,8.888961,2.301969,v4_fixed_4x8_intrinsics,20.607248,74.476004,4.916748,mac,mac_accumulate,22.611465,True
qconv_3x3_op_21,3x3,21,32x32x3x3,257.493518,3.039148,8.830719,8.761276,9.126081,1.939497,v4_fixed_4x8_intrinsics,19.580087,75.422763,4.997150,mac,mac_accumulate,22.090686,True
qconv_1x1_op_825,1x1,825,512x1024x1,320.115988,3.778269,9.265060,9.242812,9.492519,0.911809,v4_fixed_4x8_intrinsics,7.960057,90.233000,1.806942,mac,mac_accumulate,9.909677,True
qconv_1x1_op_582,1x1,582,512x1024x1,319.502524,3.771028,9.180674,9.161589,9.350786,1.059655,v4_fixed_4x8_intrinsics,8.081680,89.713354,2.204966,mac,mac_accumulate,10.339466,True
qconv_1x1_op_219,1x1,219,256x512x1,80.040942,0.944708,2.332702,2.317370,2.432341,1.832894,v4_fixed_4x8_intrinsics,10.118168,86.078287,3.803545,mac,mac_accumulate,16.900093,True
qconv_1x1_op_567,1x1,567,128x992x1,77.430055,0.913892,2.184246,2.161927,2.309078,2.833980,v4_fixed_4x8_intrinsics,7.636364,90.909091,1.454545,mac,mac_accumulate,10.834236,True
qconv_1x1_op_810,1x1,810,128x992x1,77.384935,0.913360,2.175792,2.164115,2.278404,2.224845,v4_fixed_4x8_intrinsics,8.185484,89.919355,1.895161,mac,mac_accumulate,10.228509,True
