# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles:u'
# Event count (approx.): 591600000
#
# Overhead  Symbol                                         Source:Line                      IPC   [IPC Coverage]
# ........  .............................................  ...............................  ....................
#
    11.29%  [.] campp_reference_read_f32                   reference_kernel_utils.c:151     -      -            
    11.07%  [.] campp_reference_read_f32                   reference_kernel_utils.c:64      -      -            
     5.78%  [.] campp_reference_read_f32                   tensor_view.h:117                -      -            
     5.56%  [.] campp_reference_unravel_index              reference_kernel_utils.c:64      -      -            
     4.65%  [.] campp_reference_write_quantized            reference_kernel_utils.c:64      -      -            
     4.55%  [.] campp_reference_offset_for_linear          reference_kernel_utils.c:64      -      -            
     3.90%  [.] campp_fused_bn_relu_quant                  bn_relu_quant_conv.c:116         -      -            
     3.80%  [.] campp_reference_read_f32                   reference_kernel_utils.c:141     -      -            
     3.23%  [.] campp_reference_read_f32                   tensor_view.h:78                 -      -            
     2.54%  [.] output_hash                                campp_operator_microbench.c:339  -      -            
     2.47%  [.] campp_reference_write_quantized            tensor_view.h:117                -      -            
     2.25%  [.] campp_reference_read_f32                   reference_kernel_utils.c:62      -      -            
     2.20%  [.] campp_fused_bn_relu_quant                  bn_relu_quant_conv.c:117         -      -            
     2.20%  [.] campp_reference_offset_for_linear          tensor_view.h:117                -      -            
     2.20%  [.] campp_reference_read_f32                   tensor_view.h:79                 -      -            
     1.72%  [.] campp_fused_bn_relu_quant                  bn_relu_quant_conv.c:128         -      -            
     1.61%  [.] campp_reference_offset_for_linear          reference_kernel_utils.c:62      -      -            
     1.52%  [.] campp_fused_bn_relu_quant                  bn_relu_quant_conv.c:123         -      -            
     1.47%  [.] campp_fused_bn_relu_quant                  bn_relu_quant_conv.c:118         -      -            
     1.27%  [.] campp_reference_write_quantized            tensor_view.h:79                 -      -            
     1.01%  [.] campp_reference_read_f32                   tensor_view.h:116                -      -            
     0.88%  [.] campp_reference_read_f32                   reference_kernel_utils.c:138     -      -            
     0.86%  [.] campp_reference_read_f32                   reference_kernel_utils.c:147     -      -            
     0.86%  [.] campp_reference_write_quantized            tensor_view.h:78                 -      -            
     0.85%  [.] campp_reference_read_f32                   reference_kernel_utils.c:60      -      -            
     0.81%  [.] campp_reference_read_f32                   reference_kernel_utils.c:75      -      -            
     0.79%  [.] campp_fused_bn_relu_quant                  bn_relu_quant_conv.c:120         -      -            
     0.78%  [.] campp_reference_read_f32                   reference_kernel_utils.c:145     -      -            
     0.78%  [.] campp_reference_read_f32                   reference_kernel_utils.c:153     -      -            
     0.76%  [.] campp_reference_unravel_index              reference_kernel_utils.c:62      -      -            
     0.73%  [.] campp_reference_read_f32                   reference_kernel_utils.c:144     -      -            
     0.71%  [.] campp_fused_bn_relu_quant                  bn_relu_quant_conv.c:122         -      -            
     0.69%  [.] campp_reference_read_f32                   reference_kernel_utils.c:142     -      -            
     0.68%  [.] campp_reference_write_quantized            reference_kernel_utils.c:208     -      -            
     0.66%  [.] campp_reference_write_quantized            reference_kernel_utils.c:214     -      -            
     0.66%  [.] output_hash                                campp_operator_microbench.c:340  -      -            
     0.64%  [.] campp_fused_bn_relu_quant                  bn_relu_quant_conv.c:102         -      -            
     0.63%  [.] campp_fused_bn_relu_quant                  bn_relu_quant_conv.c:119         -      -            
     0.63%  [.] output_hash                                campp_operator_microbench.c:372  -      -            
     0.61%  [.] 0x00000000000a3194                         libc.so.6[a3194]                 -      -            
     0.57%  [.] campp_fused_bn_relu_quant                  bn_relu_quant_conv.c:121         -      -            
     0.51%  [.] campp_reference_offset_for_linear          tensor_view.h:116                -      -            
     0.44%  [.] campp_fused_bn_relu_quant                  bn_relu_quant_conv.c:113         -      -            
     0.41%  [.] campp_fused_bn_relu_quant                  bn_relu_quant_conv.c:107         -      -            
     0.41%  [.] campp_reference_write_quantized            reference_kernel_utils.c:60      -      -            
     0.37%  [.] campp_reference_write_quantized            reference_kernel_utils.c:205     -      -            
     0.37%  [.] campp_reference_write_quantized            tensor_view.h:116                -      -            
     0.35%  [.] output_hash                                campp_operator_microbench.c:338  -      -            
     0.35%  [.] output_hash                                campp_operator_microbench.c:371  -      -            
     0.30%  [.] campp_fused_bn_relu_quant                  bn_relu_quant_conv.c:109         -      -            
     0.29%  [.] campp_fused_bn_relu_quant                  bn_relu_quant_conv.c:111         -      -            
     0.29%  [.] campp_fused_bn_relu_quant                  bn_relu_quant_conv.c:112         -      -            
     0.29%  [.] campp_reference_write_quantized            reference_kernel_utils.c:62      -      -            
     0.27%  [.] campp_fused_bn_relu_quant                  bn_relu_quant_conv.c:108         -      -            
     0.27%  [.] campp_reference_write_quantized            reference_kernel_utils.c:213     -      -            
     0.25%  [.] campp_fused_bn_relu_quant                  bn_relu_quant_conv.c:104         -      -            
     0.25%  [.] campp_fused_bn_relu_quant                  bn_relu_quant_conv.c:105         -      -            
     0.25%  [.] campp_fused_bn_relu_quant                  bn_relu_quant_conv.c:130         -      -            
     0.25%  [.] campp_reference_offset_for_linear          reference_kernel_utils.c:60      -      -            
     0.24%  [.] campp_fused_bn_relu_quant                  bn_relu_quant_conv.c:110         -      -            
     0.24%  [.] campp_fused_bn_relu_quant                  bn_relu_quant_conv.c:114         -      -            
     0.22%  [.] output_hash                                campp_operator_microbench.c:373  -      -            
     0.20%  [.] campp_fused_bn_relu_quant                  bn_relu_quant_conv.c:106         -      -            
     0.20%  [.] campp_reference_write_quantized            reference_kernel_utils.c:210     -      -            
