# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9K of event 'cycles:u'
# Event count (approx.): 930000000
#
# Overhead  Symbol                                        Source:Line                      IPC   [IPC Coverage]
# ........  ............................................  ...............................  ....................
#
    20.99%  [.] campp_reference_offset_for_linear         reference_kernel_utils.c:64      -      -            
    10.42%  [.] campp_reference_read_quantized            reference_kernel_utils.c:64      -      -            
     9.22%  [.] campp_reference_offset_for_linear         tensor_view.h:117                -      -            
     5.23%  [.] campp_reference_offset_for_linear         reference_kernel_utils.c:62      -      -            
     4.72%  [.] campp_reference_read_quantized            tensor_view.h:117                -      -            
     4.70%  [.] campp_reference_read_quantized            reference_kernel_utils.c:179     -      -            
     4.52%  [.] output_hash                               campp_operator_microbench.c:363  -      -            
     4.40%  [.] output_hash                               campp_operator_microbench.c:362  -      -            
     3.33%  [.] campp_reference_read_quantized            tensor_view.h:79                 -      -            
     2.61%  [.] output_hash                               campp_operator_microbench.c:361  -      -            
     2.58%  [.] campp_reference_dequantize_linear         quantization_operators.c:215     -      -            
     2.40%  [.] campp_reference_read_quantized            tensor_view.h:78                 -      -            
     2.20%  [.] campp_reference_dequantize_linear         quantization_operators.c:219     -      -            
     1.84%  [.] campp_reference_offset_for_linear         tensor_view.h:116                -      -            
     1.83%  [.] campp_reference_read_quantized            reference_kernel_utils.c:197     -      -            
     1.25%  [.] campp_reference_read_f32                  reference_kernel_utils.c:141     -      -            
     1.14%  [.] campp_reference_read_quantized            reference_kernel_utils.c:184     -      -            
     1.10%  [.] campp_reference_dequantize_linear         quantization_operators.c:218     -      -            
     1.08%  [.] output_hash                               campp_operator_microbench.c:395  -      -            
     1.04%  [.] campp_reference_read_quantized            reference_kernel_utils.c:62      -      -            
     0.88%  [.] campp_reference_dequantize_linear         quantization_operators.c:208     -      -            
     0.88%  [.] campp_reference_read_quantized            reference_kernel_utils.c:185     -      -            
     0.84%  [.] campp_reference_dequantize_linear         quantization_operators.c:214     -      -            
     0.83%  [.] campp_reference_read_f32                  tensor_view.h:78                 -      -            
     0.81%  [.] campp_reference_read_quantized            tensor_view.h:116                -      -            
     0.69%  [.] campp_reference_dequantize_linear         quantization_operators.c:210     -      -            
     0.60%  [.] campp_reference_read_quantized            reference_kernel_utils.c:60      -      -            
     0.56%  [.] campp_reference_offset_for_linear         reference_kernel_utils.c:77      -      -            
     0.52%  [.] campp_reference_read_quantized            reference_kernel_utils.c:201     -      -            
     0.49%  [.] campp_reference_offset_for_linear         reference_kernel_utils.c:60      -      -            
     0.49%  [.] campp_reference_offset_for_linear         reference_kernel_utils.c:75      -      -            
     0.48%  [.] campp_reference_read_f32                  reference_kernel_utils.c:151     -      -            
     0.47%  [.] campp_reference_dequantize_linear         quantization_operators.c:206     -      -            
     0.46%  [.] campp_reference_dequantize_linear         quantization_operators.c:90      -      -            
     0.42%  [.] output_hash                               campp_operator_microbench.c:394  -      -            
     0.40%  [.] campp_reference_read_quantized            reference_kernel_utils.c:176     -      -            
     0.34%  [.] campp_reference_dequantize_linear         quantization_operators.c:212     -      -            
     0.33%  [.] output_hash                               campp_operator_microbench.c:396  -      -            
     0.32%  [.] campp_reference_dequantize_linear         quantization_operators.c:198     -      -            
     0.32%  [.] campp_reference_read_f32                  reference_kernel_utils.c:142     -      -            
     0.30%  [.] campp_reference_dequantize_linear         quantization_operators.c:209     -      -            
     0.27%  [.] campp_reference_read_quantized            reference_kernel_utils.c:186     -      -            
     0.27%  [.] 0x00000000000a40bc                        libc.so.6[a40bc]                 -      -            
     0.26%  [.] 0x00000000000a3188                        libc.so.6[a3188]                 -      -            
     0.24%  [.] campp_reference_read_f32                  reference_kernel_utils.c:145     -      -            
     0.24%  [.] output_hash                               campp_operator_microbench.c:392  -      -            
     0.22%  [.] campp_reference_read_f32                  reference_kernel_utils.c:144     -      -            
     0.17%  [.] campp_reference_offset_for_linear         reference_kernel_utils.c:71      -      -            
     0.04%  [k] 0xffffc8aca7646b64                        ??:0                             -      -            
     0.04%  [.] 0x00000000000a40b0                        libc.so.6[a40b0]                 -      -            
     0.04%  [.] 0x00000000000a40b4                        libc.so.6[a40b4]                 -      -            
     0.01%  [.] __kernel_clock_gettime                    __kernel_clock_gettime+192       -      -            
     0.01%  [.] campp_optimization_probe_begin_iteration  stage_probe.c:53                 -      -            
