# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9K of event 'cycles:u'
# Event count (approx.): 931700000
#
# Overhead  Symbol                                      Source:Line                      IPC   [IPC Coverage]
# ........  ..........................................  ...............................  ....................
#
    21.00%  [.] campp_reference_offset_for_linear       reference_kernel_utils.c:64      -      -            
    10.55%  [.] campp_reference_read_quantized          reference_kernel_utils.c:64      -      -            
     8.93%  [.] campp_reference_offset_for_linear       tensor_view.h:117                -      -            
     4.93%  [.] campp_reference_offset_for_linear       reference_kernel_utils.c:62      -      -            
     4.89%  [.] campp_reference_read_quantized          reference_kernel_utils.c:179     -      -            
     4.87%  [.] campp_reference_read_quantized          tensor_view.h:117                -      -            
     4.54%  [.] output_hash                             campp_operator_microbench.c:362  -      -            
     4.42%  [.] output_hash                             campp_operator_microbench.c:363  -      -            
     3.32%  [.] campp_reference_read_quantized          tensor_view.h:79                 -      -            
     2.39%  [.] campp_reference_dequantize_linear       quantization_operators.c:215     -      -            
     2.31%  [.] campp_reference_dequantize_linear       quantization_operators.c:219     -      -            
     2.26%  [.] output_hash                             campp_operator_microbench.c:361  -      -            
     2.20%  [.] campp_reference_read_quantized          tensor_view.h:78                 -      -            
     1.93%  [.] campp_reference_read_quantized          reference_kernel_utils.c:197     -      -            
     1.63%  [.] campp_reference_offset_for_linear       tensor_view.h:116                -      -            
     1.34%  [.] campp_reference_read_quantized          reference_kernel_utils.c:184     -      -            
     1.21%  [.] output_hash                             campp_operator_microbench.c:395  -      -            
     1.05%  [.] campp_reference_dequantize_linear       quantization_operators.c:218     -      -            
     1.00%  [.] campp_reference_read_f32                reference_kernel_utils.c:141     -      -            
     0.97%  [.] campp_reference_read_quantized          reference_kernel_utils.c:62      -      -            
     0.90%  [.] campp_reference_read_quantized          reference_kernel_utils.c:185     -      -            
     0.88%  [.] campp_reference_dequantize_linear       quantization_operators.c:214     -      -            
     0.85%  [.] campp_reference_read_quantized          tensor_view.h:116                -      -            
     0.84%  [.] campp_reference_dequantize_linear       quantization_operators.c:208     -      -            
     0.83%  [.] campp_reference_dequantize_linear       quantization_operators.c:210     -      -            
     0.79%  [.] campp_reference_read_f32                tensor_view.h:78                 -      -            
     0.61%  [.] campp_reference_offset_for_linear       reference_kernel_utils.c:60      -      -            
     0.57%  [.] campp_reference_offset_for_linear       reference_kernel_utils.c:75      -      -            
     0.56%  [.] campp_reference_offset_for_linear       reference_kernel_utils.c:77      -      -            
     0.55%  [.] campp_reference_read_f32                reference_kernel_utils.c:151     -      -            
     0.54%  [.] campp_reference_dequantize_linear       quantization_operators.c:206     -      -            
     0.54%  [.] campp_reference_dequantize_linear       quantization_operators.c:90      -      -            
     0.49%  [.] campp_reference_read_quantized          reference_kernel_utils.c:60      -      -            
     0.49%  [.] output_hash                             campp_operator_microbench.c:394  -      -            
     0.48%  [.] campp_reference_read_quantized          reference_kernel_utils.c:201     -      -            
     0.47%  [.] campp_reference_read_quantized          reference_kernel_utils.c:176     -      -            
     0.36%  [.] campp_reference_dequantize_linear       quantization_operators.c:198     -      -            
     0.34%  [.] campp_reference_read_f32                reference_kernel_utils.c:144     -      -            
     0.33%  [.] campp_reference_dequantize_linear       quantization_operators.c:212     -      -            
     0.33%  [.] output_hash                             campp_operator_microbench.c:396  -      -            
     0.31%  [.] campp_reference_dequantize_linear       quantization_operators.c:209     -      -            
     0.31%  [.] campp_reference_read_quantized          reference_kernel_utils.c:186     -      -            
     0.29%  [.] 0x00000000000a40bc                      libc.so.6[a40bc]                 -      -            
     0.28%  [.] campp_reference_offset_for_linear       reference_kernel_utils.c:71      -      -            
     0.26%  [.] campp_reference_read_f32                reference_kernel_utils.c:142     -      -            
     0.25%  [.] campp_reference_read_f32                reference_kernel_utils.c:145     -      -            
     0.25%  [.] output_hash                             campp_operator_microbench.c:392  -      -            
     0.21%  [.] 0x00000000000a3188                      libc.so.6[a3188]                 -      -            
     0.06%  [.] 0x00000000000a40b4                      libc.so.6[a40b4]                 -      -            
     0.03%  [.] 0x00000000000a318c                      libc.so.6[a318c]                 -      -            
     0.03%  [.] 0x00000000000a3194                      libc.so.6[a3194]                 -      -            
     0.03%  [.] 0x00000000000a319c                      libc.so.6[a319c]                 -      -            
     0.02%  [.] campp_reference_read_f32                reference_kernel_utils.c:147     -      -            
     0.02%  [k] 0xffffc8aca7646b64                      ??:0                             -      -            
     0.01%  [.] campp_reference_read_f32                reference_kernel_utils.c:152     -      -            
     0.01%  [.] campp_reference_read_f32                reference_kernel_utils.c:153     -      -            
     0.01%  [.] campp_validate_quantization_parameters  quantization_operators.c:46      -      -            
     0.01%  [.] clock_gettime                           clock_gettime+0                  -      -            
     0.01%  [.] memcpy@plt                              memcpy@plt+8                     -      -            
     0.01%  [.] run_target_kernel                       campp_operator_microbench.c:323  -      -            
     0.01%  [.] run_target_kernel                       campp_operator_microbench.c:327  -      -            
     0.01%  [.] 0x00000000000825e8                      libc.so.6[825e8]                 -      -            
     0.01%  [.] 0x00000000000a3184                      libc.so.6[a3184]                 -      -            
     0.01%  [.] 0x00000000000a4060                      libc.so.6[a4060]                 -      -            
     0.01%  [.] 0x00000000000a40b0                      libc.so.6[a40b0]                 -      -            


#
# (Tip: To trace only single function with Processor Trace use perf record --filter 'filter func @ program' -e intel_pt//u ./program ; perf script --insn-trace)
#
