# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9K of event 'cycles:u'
# Event count (approx.): 934400000
#
# Overhead  Symbol                                 Source:Line                      IPC   [IPC Coverage]
# ........  .....................................  ...............................  ....................
#
    20.80%  [.] campp_reference_offset_for_linear  reference_kernel_utils.c:64      -      -            
    10.40%  [.] campp_reference_read_quantized     reference_kernel_utils.c:64      -      -            
     9.43%  [.] campp_reference_offset_for_linear  tensor_view.h:117                -      -            
     4.78%  [.] output_hash                        campp_operator_microbench.c:362  -      -            
     4.77%  [.] campp_reference_offset_for_linear  reference_kernel_utils.c:62      -      -            
     4.76%  [.] output_hash                        campp_operator_microbench.c:363  -      -            
     4.55%  [.] campp_reference_read_quantized     reference_kernel_utils.c:179     -      -            
     4.47%  [.] campp_reference_read_quantized     tensor_view.h:117                -      -            
     3.29%  [.] campp_reference_read_quantized     tensor_view.h:79                 -      -            
     2.76%  [.] campp_reference_dequantize_linear  quantization_operators.c:215     -      -            
     2.58%  [.] output_hash                        campp_operator_microbench.c:361  -      -            
     2.39%  [.] campp_reference_read_quantized     tensor_view.h:78                 -      -            
     1.99%  [.] campp_reference_dequantize_linear  quantization_operators.c:219     -      -            
     1.81%  [.] campp_reference_read_quantized     reference_kernel_utils.c:197     -      -            
     1.71%  [.] campp_reference_offset_for_linear  tensor_view.h:116                -      -            
     1.29%  [.] campp_reference_read_quantized     reference_kernel_utils.c:184     -      -            
     1.13%  [.] campp_reference_read_quantized     reference_kernel_utils.c:62      -      -            
     1.07%  [.] campp_reference_read_f32           reference_kernel_utils.c:141     -      -            
     1.01%  [.] campp_reference_dequantize_linear  quantization_operators.c:218     -      -            
     0.98%  [.] campp_reference_read_f32           tensor_view.h:78                 -      -            
     0.96%  [.] output_hash                        campp_operator_microbench.c:395  -      -            
     0.86%  [.] campp_reference_dequantize_linear  quantization_operators.c:208     -      -            
     0.85%  [.] campp_reference_dequantize_linear  quantization_operators.c:214     -      -            
     0.82%  [.] campp_reference_read_quantized     tensor_view.h:116                -      -            
     0.80%  [.] campp_reference_dequantize_linear  quantization_operators.c:210     -      -            
     0.67%  [.] campp_reference_offset_for_linear  reference_kernel_utils.c:77      -      -            
     0.66%  [.] campp_reference_read_quantized     reference_kernel_utils.c:176     -      -            
     0.63%  [.] campp_reference_offset_for_linear  reference_kernel_utils.c:75      -      -            
     0.60%  [.] campp_reference_offset_for_linear  reference_kernel_utils.c:60      -      -            
     0.57%  [.] campp_reference_dequantize_linear  quantization_operators.c:90      -      -            
     0.57%  [.] campp_reference_read_quantized     reference_kernel_utils.c:185     -      -            
     0.56%  [.] campp_reference_dequantize_linear  quantization_operators.c:206     -      -            
     0.56%  [.] campp_reference_read_quantized     reference_kernel_utils.c:60      -      -            
     0.51%  [.] output_hash                        campp_operator_microbench.c:394  -      -            
     0.48%  [.] campp_reference_read_quantized     reference_kernel_utils.c:201     -      -            
     0.46%  [.] campp_reference_read_f32           reference_kernel_utils.c:151     -      -            
     0.35%  [.] campp_reference_dequantize_linear  quantization_operators.c:209     -      -            
     0.33%  [.] output_hash                        campp_operator_microbench.c:392  -      -            
     0.31%  [.] 0x00000000000a40bc                 libc.so.6[a40bc]                 -      -            
     0.28%  [.] 0x00000000000a3188                 libc.so.6[a3188]                 -      -            
     0.26%  [.] campp_reference_offset_for_linear  reference_kernel_utils.c:71      -      -            
     0.26%  [.] campp_reference_read_f32           reference_kernel_utils.c:145     -      -            
     0.25%  [.] campp_reference_dequantize_linear  quantization_operators.c:198     -      -            
     0.25%  [.] campp_reference_dequantize_linear  quantization_operators.c:212     -      -            
     0.25%  [.] campp_reference_read_f32           reference_kernel_utils.c:142     -      -            
     0.24%  [.] campp_reference_read_f32           reference_kernel_utils.c:144     -      -            
     0.24%  [.] campp_reference_read_quantized     reference_kernel_utils.c:186     -      -            
     0.24%  [.] output_hash                        campp_operator_microbench.c:396  -      -            
     0.03%  [.] 0x00000000000a40b0                 libc.so.6[a40b0]                 -      -            
     0.02%  [.] 0x00000000000a3180                 libc.so.6[a3180]                 -      -            
     0.02%  [.] 0x00000000000a318c                 libc.so.6[a318c]                 -      -            
     0.02%  [.] 0x00000000000a3194                 libc.so.6[a3194]                 -      -            
     0.01%  [.] campp_reference_read_f32           reference_kernel_utils.c:147     -      -            
     0.01%  [.] campp_reference_read_f32           reference_kernel_utils.c:152     -      -            
     0.01%  [.] campp_reference_read_f32           reference_kernel_utils.c:153     -      -            
     0.01%  [.] clock_gettime                      clock_gettime+0                  -      -            
     0.01%  [.] clock_gettime@plt                  clock_gettime@plt+0              -      -            
     0.01%  [.] main                               campp_operator_microbench.c:786  -      -            
     0.01%  [.] memcpy@plt                         memcpy@plt+8                     -      -            
     0.01%  [.] run_target_kernel                  campp_operator_microbench.c:323  -      -            
     0.01%  [k] 0xffffc8aca7646b64                 ??:0                             -      -            
     0.01%  [.] 0x00000000000a3184                 libc.so.6[a3184]                 -      -            
     0.01%  [.] 0x00000000000a40b4                 libc.so.6[a40b4]                 -      -            


#
# (Tip: Skip collecting build-id when recording: perf record -B)
#
