# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 33K of event 'cycles:u'
# Event count (approx.): 3399500000
#
# Overhead  Symbol                                              Source:Line                      IPC   [IPC Coverage]
# ........  ..................................................  ...............................  ....................
#
     7.92%  [.] campp_aarch64_qlinear_conv_o4i4                 arm_neon.h:6981                  -      -            
     7.22%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:310   -      -            
     6.93%  [.] campp_aarch64_qlinear_conv_o4i4                 tensor_view.h:117                -      -            
     5.78%  [.] campp_reference_offset_for_linear               reference_kernel_utils.c:64      -      -            
     5.42%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:342   -      -            
     4.85%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:43    -      -            
     4.34%  [.] campp_aarch64_qlinear_conv_o4i4                 arm_neon.h:5031                  -      -            
     3.34%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:320   -      -            
     2.76%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:314   -      -            
     2.69%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:323   -      -            
     2.54%  [.] campp_reference_offset_for_linear               tensor_view.h:117                -      -            
     2.30%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:48    -      -            
     2.30%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:78    -      -            
     2.07%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:331   -      -            
     2.05%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:326   -      -            
     2.02%  [.] campp_aarch64_qlinear_conv_o4i4                 tensor_view.h:116                -      -            
     2.00%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:292   -      -            
     1.87%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:308   -      -            
     1.76%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:79    -      -            
     1.39%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:287   -      -            
     1.38%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:309   -      -            
     1.36%  [.] campp_reference_offset_for_linear               reference_kernel_utils.c:62      -      -            
     1.35%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:312   -      -            
     1.35%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:340   -      -            
     1.32%  [.] campp_aarch64_qlinear_conv_o4i4                 arm_neon.h:12257                 -      -            
     1.31%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:313   -      -            
     1.30%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:307   -      -            
     1.24%  [.] campp_aarch64_qconv_requantize_store4           requantization_neon.c:148        -      -            
     1.02%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:295   -      -            
     0.83%  [.] output_hash                                     campp_operator_microbench.c:372  -      -            
     0.66%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:285   -      -            
     0.66%  [.] campp_aarch64_qlinear_conv_o4i4                 tensor_view.h:110                -      -            
     0.65%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:355   -      -            
     0.64%  [.] output_hash                                     campp_operator_microbench.c:405  -      -            
     0.59%  [.] output_hash                                     campp_operator_microbench.c:373  -      -            
     0.56%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:303   -      -            
     0.47%  [.] campp_reference_offset_for_linear               tensor_view.h:116                -      -            
     0.47%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:362   -      -            
     0.47%  [.] output_hash                                     campp_operator_microbench.c:371  -      -            
     0.41%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:336   -      -            
     0.37%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:335   -      -            
     0.36%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:300   -      -            
     0.33%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:42    -      -            
     0.31%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:329   -      -            
     0.30%  [.] campp_aarch64_qconv_requantize_store4           requantization_neon.c:153        -      -            
     0.30%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:269   -      -            
     0.29%  [.] campp_aarch64_qconv_requantize_store4           requantization_neon.c:142        -      -            
     0.29%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:328   -      -            
     0.29%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:352   -      -            
     0.28%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:319   -      -            
     0.26%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:330   -      -            
     0.26%  [.] output_hash                                     campp_operator_microbench.c:404  -      -            
     0.24%  [.] campp_aarch64_qconv_requantize_store4           requantization_neon.c:215        -      -            
     0.21%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:354   -      -            
     0.21%  [.] campp_aarch64_qconv_requantize_store4           requantization_neon.c:198        -      -            
     0.21%  [.] campp_aarch64_qconv_requantize_store4           requantization_neon.c:137        -      -            
     0.20%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:360   -      -            
     0.19%  [.] output_hash                                     campp_operator_microbench.c:402  -      -            
     0.17%  [.] campp_aarch64_qconv_requantize_store4           arm_neon.h:996                   -      -            
     0.17%  [.] campp_aarch64_qconv_requantize_store4           arm_neon.h:10805                 -      -            
     0.17%  [.] campp_aarch64_qconv_requantize_store4           arm_neon.h:16333                 -      -            
     0.17%  [.] campp_aarch64_qconv_requantize_store4           requantization_neon.c:108        -      -            
     0.17%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:277   -      -            
     0.16%  [.] campp_reference_offset_for_linear               reference_kernel_utils.c:60      -      -            
     0.16%  [.] output_hash                                     campp_operator_microbench.c:406  -      -            
     0.15%  [.] campp_aarch64_qconv_requantize_store4           requantization_neon.c:114        -      -            
     0.14%  [.] campp_aarch64_qconv_requantize_store4           requantization_neon.c:99         -      -            
     0.14%  [.] campp_reference_offset_for_linear               reference_kernel_utils.c:75      -      -            
     0.13%  [.] campp_aarch64_qconv_requantize_store4           arm_neon.h:10568                 -      -            
     0.13%  [.] campp_aarch64_qconv_requantize_store4           requantization_neon.c:144        -      -            
     0.13%  [.] campp_aarch64_qconv_requantize_store4           arm_neon.h:2720                  -      -            
     0.13%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:255   -      -            
     0.12%  [.] campp_aarch64_qconv_requantize_store4           requantization_neon.c:130        -      -            
     0.12%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:290   -      -            
     0.11%  [.] 0x00000000000a30d0                              libc.so.6[a30d0]                 -      -            
     0.11%  [.] campp_aarch64_qconv_requantize_store4           requantization_neon.c:169        -      -            
     0.10%  [.] campp_reference_offset_for_linear               reference_kernel_utils.c:77      -      -            
     0.10%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:263   -      -            
     0.09%  [.] campp_aarch64_qconv_requantize_store4           arm_neon.h:3280                  -      -            
     0.09%  [.] campp_aarch64_qconv_requantize_store4           requantization_neon.c:140        -      -            
     0.08%  [.] campp_aarch64_qconv_requantize_store4           arm_neon.h:324                   -      -            
     0.08%  [.] campp_aarch64_qconv_requantize_store4           requantization_neon.c:116        -      -            
     0.08%  [.] campp_aarch64_qconv_requantize_store4           requantization_neon.c:110        -      -            
     0.08%  [.] campp_aarch64_qconv_requantize_store4           requantization_neon.c:95         -      -            
     0.08%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:270   -      -            
     0.08%  [.] campp_aarch64_qconv_requantize_store4           arm_neon.h:10238                 -      -            
     0.08%  [.] campp_aarch64_qconv_requantize_store4           arm_neon.h:15594                 -      -            
     0.08%  [.] campp_aarch64_qconv_requantize_store4           requantization_neon.c:145        -      -            
     0.07%  [.] campp_aarch64_qconv_requantize_store4           requantization_neon.c:64         -      -            
     0.07%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:273   -      -            
     0.06%  [.] campp_aarch64_qconv_requantize_store4           arm_neon.h:12531                 -      -            
     0.06%  [.] campp_aarch64_qconv_requantize_store4           requantization_neon.c:139        -      -            
     0.06%  [.] 0x00000000000a30dc                              libc.so.6[a30dc]                 -      -            
     0.06%  [.] 0x00000000000a30e0                              libc.so.6[a30e0]                 -      -            
     0.06%  [.] campp_aarch64_qconv_requantize_store4           requantization_neon.c:194        -      -            
     0.06%  [.] 0x00000000000a3090                              libc.so.6[a3090]                 -      -            
     0.05%  [.] campp_aarch64_qconv_requantize_store4           requantization_neon.c:100        -      -            
     0.05%  [.] campp_aarch64_qconv_requantize_store4           requantization_neon.c:65         -      -            
     0.05%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:265   -      -            
     0.05%  [.] campp_aarch64_qlinear_conv_o4i4                 qlinear_convolution_neon.c:278   -      -            
