# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles:u'
# Event count (approx.): 1167900000
#
# Overhead  Symbol                                                 Source:Line                      IPC   [IPC Coverage]
# ........  .....................................................  ...............................  ....................
#
    13.47%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:3969                  -      -            
     8.18%  [.] campp_reference_offset_for_linear                  reference_kernel_utils.c:64      -      -            
     5.37%  [.] campp_qconv_mac_neon_half_tile_v2                  arm_neon.h:3969                  -      -            
     3.64%  [.] campp_reference_offset_for_linear                  tensor_view.h:117                -      -            
     3.54%  [.] campp_qconv_address_input_base                     tensor_view.h:117                -      -            
     3.36%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:1605                  -      -            
     2.36%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:80      -      -            
     2.12%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:4632                  -      -            
     2.07%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:82      -      -            
     2.07%  [.] campp_reference_offset_for_linear                  reference_kernel_utils.c:62      -      -            
     1.83%  [.] campp_aarch64_qconv_requantize_store4              requantization_neon.c:148        -      -            
     1.80%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:4653                  -      -            
     1.74%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:23756                 -      -            
     1.64%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:12569                 -      -            
     1.63%  [.] campp_qconv_mac_4x8_intrinsics_raw                 qconv_mac_4x8_intrinsics.c:98    -      -            
     1.61%  [.] campp_qconv_mac_4x8_intrinsics_raw                 qconv_mac_4x8_intrinsics.c:14    -      -            
     1.36%  [.] campp_qconv_address_input_base                     tensor_view.h:116                -      -            
     1.34%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:24037                 -      -            
     1.14%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:83      -      -            
     1.07%  [.] output_hash                                        campp_operator_microbench.c:372  -      -            
     1.07%  [.] output_hash                                        campp_operator_microbench.c:373  -      -            
     1.06%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:428             -      -            
     0.99%  [.] output_hash                                        campp_operator_microbench.c:405  -      -            
     0.97%  [.] 0x00000000000a3194                                 libc.so.6[a3194]                 -      -            
     0.96%  [.] campp_fused_input_quantize_neon                    fused_input_quant_neon.c:93      -      -            
     0.95%  [.] campp_qconv_candidate_run_v2.constprop.1           qconv_candidate.c:595            -      -            
     0.90%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:78      -      -            
     0.85%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:99      -      -            
     0.82%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:23767                 -      -            
     0.73%  [.] campp_fused_input_quantize_neon                    arm_neon.h:16333                 -      -            
     0.72%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:79      -      -            
     0.69%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:98      -      -            
     0.68%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:435             -      -            
     0.64%  [.] campp_reference_offset_for_linear                  tensor_view.h:116                -      -            
     0.63%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:436             -      -            
     0.63%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:437             -      -            
     0.62%  [.] output_hash                                        campp_operator_microbench.c:371  -      -            
     0.57%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:86      -      -            
     0.55%  [.] campp_qconv_mac_4x8_try_tile                       qconv_mac_4x8.c:128              -      -            
     0.52%  [.] campp_qconv_mac_neon_half_tile_v2                  arm_neon.h:4653                  -      -            
     0.50%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:77      -      -            
     0.46%  [.] campp_aarch64_qconv_requantize_store4              requantization_neon.c:153        -      -            
     0.46%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:423             -      -            
     0.45%  [.] campp_qconv_neon_weight_columns                    arm_neon.h:24026                 -      -            
     0.41%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:3181                  -      -            
