# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 280K of event 'cycles:u'
# Event count (approx.): 28073500000
#
# Overhead  Symbol                                        Source:Line                      IPC   [IPC Coverage]
# ........  ............................................  ...............................  ....................
#
    26.50%  [.] campp_aarch64_qlinear_conv_o4i4           tensor_view.h:117                -      -            
     6.78%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:43    -      -            
     6.29%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:330   -      -            
     5.18%  [.] campp_aarch64_qlinear_conv_o4i4           arm_neon.h:6981                  -      -            
     4.96%  [.] campp_aarch64_qlinear_conv_o4i4           tensor_view.h:116                -      -            
     4.23%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:340   -      -            
     3.38%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:362   -      -            
     2.82%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:343   -      -            
     2.78%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:361   -      -            
     2.49%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:348   -      -            
     2.16%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:48    -      -            
     2.09%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:351   -      -            
     1.93%  [.] campp_aarch64_qlinear_conv_o4i4           arm_neon.h:5031                  -      -            
     1.78%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:346   -      -            
     1.67%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:334   -      -            
     1.66%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:360   -      -            
     1.64%  [.] campp_aarch64_qlinear_conv_o4i4           tensor_view.h:110                -      -            
     1.64%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:350   -      -            
     1.63%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:355   -      -            
     1.49%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:78    -      -            
     1.40%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:312   -      -            
     1.26%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:329   -      -            
     1.24%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:328   -      -            
     0.89%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:315   -      -            
     0.89%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:42    -      -            
     0.87%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:307   -      -            
     0.85%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:332   -      -            
     0.85%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:79    -      -            
     0.84%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:333   -      -            
     0.83%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:356   -      -            
     0.82%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:349   -      -            
     0.79%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:327   -      -            
     0.50%  [.] campp_aarch64_qlinear_conv_o4i4           arm_neon.h:12257                 -      -            
     0.49%  [.] campp_reference_write_quantized           reference_kernel_utils.c:64      -      -            
     0.46%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:305   -      -            
     0.42%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:339   -      -            
     0.37%  [.] campp_reference_offset_for_linear         reference_kernel_utils.c:64      -      -            
     0.22%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:316   -      -            
     0.22%  [.] campp_reference_write_quantized           tensor_view.h:117                -      -            
     0.21%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:323   -      -            
     0.15%  [.] campp_reference_offset_for_linear         tensor_view.h:117                -      -            
     0.15%  [.] campp_reference_write_quantized           tensor_view.h:79                 -      -            
     0.12%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:89    -      -            
     0.11%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:385   -      -            
     0.11%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:310   -      -            
     0.09%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:297   -      -            
     0.08%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:101   -      -            
     0.08%  [.] campp_reference_offset_for_linear         reference_kernel_utils.c:62      -      -            
     0.08%  [.] campp_reference_write_quantized           reference_kernel_utils.c:208     -      -            
     0.06%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:94    -      -            
     0.06%  [.] campp_reference_write_quantized           tensor_view.h:78                 -      -            
     0.06%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:99    -      -            
     0.06%  [.] output_hash                               campp_operator_microbench.c:312  -      -            
     0.05%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:298   -      -            
     0.05%  [.] campp_reference_write_quantized           reference_kernel_utils.c:62      -      -            
     0.05%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:373   -      -            
     0.04%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:320   -      -            
     0.04%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:381   -      -            
     0.04%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:347   -      -            
     0.04%  [.] output_hash                               campp_operator_microbench.c:345  -      -            
     0.04%  [.] campp_reference_write_quantized           reference_kernel_utils.c:214     -      -            
     0.04%  [.] campp_reference_write_quantized           tensor_view.h:116                -      -            
     0.04%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:93    -      -            
     0.03%  [.] output_hash                               campp_operator_microbench.c:313  -      -            
     0.03%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:90    -      -            
     0.03%  [.] campp_reference_read_quantized            reference_kernel_utils.c:64      -      -            
     0.03%  [.] output_hash                               campp_operator_microbench.c:311  -      -            
     0.03%  [.] campp_reference_offset_for_linear         tensor_view.h:116                -      -            
     0.03%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:374   -      -            
     0.03%  [.] campp_reference_write_quantized           reference_kernel_utils.c:205     -      -            
     0.02%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:289   -      -            
     0.02%  [.] campp_reference_write_quantized           reference_kernel_utils.c:213     -      -            
     0.02%  [.] 0x00000000000a3194                        libc.so.6[a3194]                 -      -            
     0.02%  [.] output_hash                               campp_operator_microbench.c:344  -      -            
     0.02%  [.] campp_reference_write_quantized           reference_kernel_utils.c:216     -      -            
     0.02%  [.] campp_reference_write_quantized           reference_kernel_utils.c:60      -      -            
     0.02%  [k] 0xffffc8aca7646b64                        ??:0                             -      -            
     0.02%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:378   -      -            
     0.02%  [.] campp_reference_read_quantized            tensor_view.h:117                -      -            
     0.02%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:382   -      -            
     0.02%  [.] campp_reference_read_quantized            tensor_view.h:79                 -      -            
     0.01%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:97    -      -            
     0.01%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:95    -      -            
     0.01%  [.] campp_reference_write_quantized           reference_kernel_utils.c:210     -      -            
     0.01%  [.] campp_fused_dequant_relu_quant            conv_relu_requant.c:68           -      -            
     0.01%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:76    -      -            
     0.01%  [.] campp_fused_dequant_relu_quant            conv_relu_requant.c:46           -      -            
     0.01%  [.] campp_tensor_arena_validate_layout        tensor_arena.c:12                -      -            
     0.01%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:290   -      -            
     0.01%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:283   -      -            
     0.01%  [.] campp_reference_offset_for_linear         reference_kernel_utils.c:60      -      -            
     0.01%  [.] campp_reference_write_quantized           reference_kernel_utils.c:221     -      -            
     0.01%  [.] output_hash                               campp_operator_microbench.c:346  -      -            
     0.01%  [.] campp_tensor_arena_validate_layout        tensor_arena.c:129               -      -            
     0.01%  [.] campp_fused_dequant_relu_quant            tensor_view.h:79                 -      -            
     0.01%  [.] campp_reference_write_quantized           reference_kernel_utils.c:232     -      -            
     0.01%  [.] campp_reference_offset_for_linear         reference_kernel_utils.c:77      -      -            
     0.01%  [.] campp_tensor_arena_validate_layout        tensor_arena.c:131               -      -            
     0.01%  [.] output_hash                               campp_operator_microbench.c:342  -      -            
     0.01%  [.] campp_aarch64_qlinear_conv_o4i4           qlinear_convolution_neon.c:379   -      -            
     0.01%  [.] campp_fused_dequant_relu_quant            conv_relu_requant.c:50           -      -            
