# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles:u'
# Event count (approx.): 406700000
#
# Overhead  Symbol                                                 Source:Line                      IPC   [IPC Coverage]
# ........  .....................................................  ...............................  ....................
#
    30.64%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:3969                  -      -            
     7.99%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:1605                  -      -            
     7.38%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:4632                  -      -            
     4.70%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:12569                 -      -            
     4.25%  [.] campp_qconv_mac_4x8_intrinsics_raw                 qconv_mac_4x8_intrinsics.c:14    -      -            
     3.93%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:4653                  -      -            
     3.66%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:23756                 -      -            
     3.47%  [.] campp_reference_offset_for_linear                  reference_kernel_utils.c:64      -      -            
     2.88%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:24037                 -      -            
     2.85%  [.] campp_qconv_mac_4x8_intrinsics_raw                 qconv_mac_4x8_intrinsics.c:98    -      -            
     1.87%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:23767                 -      -            
     1.67%  [.] campp_reference_offset_for_linear                  tensor_view.h:117                -      -            
     1.35%  [.] campp_qconv_mac_neon_tile_v2                       arm_neon.h:3969                  -      -            
     1.03%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:3181                  -      -            
     1.03%  [.] campp_qconv_mac_neon_tile_v2                       qconv_mac_neon.c:700             -      -            
     0.93%  [.] output_hash                                        campp_operator_microbench.c:385  -      -            
     0.86%  [.] campp_reference_offset_for_linear                  reference_kernel_utils.c:62      -      -            
     0.81%  [.] campp_qconv_mac_neon_tile_v2                       qconv_mac_neon.c:669             -      -            
     0.79%  [.] campp_qconv_mac_neon_tile_v2                       qconv_mac_neon.c:615             -      -            
     0.66%  [.] campp_aarch64_qconv_requantize_store4              requantization_neon.c:148        -      -            
     0.61%  [.] output_hash                                        campp_operator_microbench.c:418  -      -            
     0.59%  [.] output_hash                                        campp_operator_microbench.c:386  -      -            
     0.54%  [.] campp_qconv_neon_weight_columns                    arm_neon.h:24026                 -      -            
     0.49%  [.] campp_qconv_mac_neon_tile_v2                       qconv_mac_neon.c:664             -      -            
     0.47%  [.] campp_qconv_neon_weight_columns                    qconv_mac_neon.c:126             -      -            
