# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles:u'
# Event count (approx.): 1123000000
#
# Overhead  Symbol                                         Source:Line                      IPC   [IPC Coverage]
# ........  .............................................  ...............................  ....................
#
    14.06%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:3969                  -      -            
     8.99%  [.] campp_reference_offset_for_linear          reference_kernel_utils.c:64      -      -            
     5.09%  [.] campp_qconv_mac_neon_half_tile_v2          arm_neon.h:3969                  -      -            
     3.98%  [.] campp_qconv_address_input_base             tensor_view.h:117                -      -            
     3.87%  [.] campp_reference_offset_for_linear          tensor_view.h:117                -      -            
     3.44%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:1605                  -      -            
     2.85%  [.] campp_qconv_address_input_base             qconv_address_fastpath.c:80      -      -            
     2.26%  [.] campp_qconv_mac_4x8_intrinsics_raw         qconv_mac_4x8_intrinsics.c:98    -      -            
     2.25%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:4632                  -      -            
     2.22%  [.] campp_qconv_address_input_base             qconv_address_fastpath.c:82      -      -            
     1.90%  [.] campp_reference_offset_for_linear          reference_kernel_utils.c:62      -      -            
     1.81%  [.] campp_qconv_mac_4x8_intrinsics_raw         qconv_mac_4x8_intrinsics.c:14    -      -            
     1.77%  [.] campp_aarch64_qconv_requantize_store4      requantization_neon.c:148        -      -            
     1.74%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:23756                 -      -            
     1.65%  [.] campp_qconv_address_input_base             tensor_view.h:116                -      -            
     1.44%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:12569                 -      -            
     1.44%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:4653                  -      -            
     1.40%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:24037                 -      -            
     1.28%  [.] campp_qconv_address_input_base             qconv_address_fastpath.c:83      -      -            
     1.18%  [.] campp_qconv_candidate_run_v2.constprop.1   qconv_candidate.c:597            -      -            
     1.11%  [.] output_hash                                campp_operator_microbench.c:385  -      -            
     1.04%  [.] campp_qconv_address_input_base             qconv_address_fastpath.c:78      -      -            
     0.98%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:23767                 -      -            
     0.88%  [.] campp_qconv_address_input_base             qconv_address_fastpath.c:99      -      -            
     0.86%  [.] output_hash                                campp_operator_microbench.c:386  -      -            
     0.84%  [.] output_hash                                campp_operator_microbench.c:418  -      -            
     0.82%  [.] campp_qconv_address_input_base             qconv_address_fastpath.c:79      -      -            
     0.80%  [.] campp_qconv_address_input_base             qconv_address_fastpath.c:98      -      -            
     0.73%  [.] campp_qconv_mac_neon_half_tile_v2          qconv_mac_neon.c:428             -      -            
     0.68%  [.] campp_reference_offset_for_linear          tensor_view.h:116                -      -            
     0.67%  [.] campp_qconv_mac_neon_half_tile_v2          qconv_mac_neon.c:435             -      -            
     0.65%  [.] campp_qconv_mac_neon_half_tile_v2          qconv_mac_neon.c:436             -      -            
     0.64%  [.] campp_qconv_requantize_store_neon_tile     qconv_mac_neon.c:780             -      -            
     0.64%  [.] output_hash                                campp_operator_microbench.c:417  -      -            
