# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles:u'
# Event count (approx.): 1127500000
#
# Overhead  Symbol                                        Source:Line                      IPC   [IPC Coverage]
# ........  ............................................  ...............................  ....................
#
    14.52%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:3969                  -      -            
     8.63%  [.] campp_reference_offset_for_linear         reference_kernel_utils.c:64      -      -            
     5.05%  [.] campp_qconv_mac_neon_half_tile_v2         arm_neon.h:3969                  -      -            
     3.88%  [.] campp_reference_offset_for_linear         tensor_view.h:117                -      -            
     3.86%  [.] campp_qconv_address_input_base            tensor_view.h:117                -      -            
     3.33%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:1605                  -      -            
     2.73%  [.] campp_qconv_address_input_base            qconv_address_fastpath.c:80      -      -            
     2.43%  [.] campp_qconv_mac_4x8_intrinsics_raw        qconv_mac_4x8_intrinsics.c:98    -      -            
     2.10%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:4632                  -      -            
     2.07%  [.] campp_qconv_address_input_base            qconv_address_fastpath.c:82      -      -            
     1.90%  [.] campp_reference_offset_for_linear         reference_kernel_utils.c:62      -      -            
     1.87%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:23756                 -      -            
     1.80%  [.] campp_aarch64_qconv_requantize_store4     requantization_neon.c:148        -      -            
     1.76%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:4653                  -      -            
     1.58%  [.] campp_qconv_mac_4x8_intrinsics_raw        qconv_mac_4x8_intrinsics.c:14    -      -            
     1.57%  [.] campp_qconv_address_input_base            tensor_view.h:116                -      -            
     1.53%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:24037                 -      -            
     1.26%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:12569                 -      -            
     1.17%  [.] campp_qconv_address_input_base            qconv_address_fastpath.c:83      -      -            
     1.13%  [.] campp_qconv_address_input_base            qconv_address_fastpath.c:78      -      -            
     1.08%  [.] output_hash                               campp_operator_microbench.c:418  -      -            
     1.07%  [.] campp_qconv_candidate_run_v2.constprop.1  qconv_candidate.c:597            -      -            
     0.98%  [.] output_hash                               campp_operator_microbench.c:385  -      -            
     0.86%  [.] output_hash                               campp_operator_microbench.c:386  -      -            
     0.80%  [.] campp_qconv_address_input_base            qconv_address_fastpath.c:98      -      -            
     0.80%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:23767                 -      -            
     0.80%  [.] campp_qconv_mac_neon_half_tile_v2         qconv_mac_neon.c:428             -      -            
     0.78%  [.] campp_qconv_address_input_base            qconv_address_fastpath.c:79      -      -            
     0.75%  [.] campp_qconv_address_input_base            qconv_address_fastpath.c:99      -      -            
     0.70%  [.] output_hash                               campp_operator_microbench.c:384  -      -            
     0.64%  [.] campp_reference_offset_for_linear         tensor_view.h:116                -      -            
     0.62%  [.] campp_qconv_mac_neon_half_tile_v2         qconv_mac_neon.c:436             -      -            
     0.59%  [.] campp_qconv_mac_neon_half_tile_v2         qconv_mac_neon.c:435             -      -            
     0.58%  [.] campp_qconv_mac_neon_half_tile_v2         qconv_mac_neon.c:101             -      -            
