# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9K of event 'cycles:u'
# Event count (approx.): 987300000
#
# Overhead  Symbol                                                 Source:Line                      IPC   [IPC Coverage]
# ........  .....................................................  ...............................  ....................
#
    36.37%  [.] campp_qconv_mac_neon_half_tile_v2                  arm_neon.h:3969                  -      -            
     5.17%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:427             -      -            
     4.18%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:436             -      -            
     3.91%  [.] campp_qconv_neon_weight_columns                    qconv_mac_neon.c:125             -      -            
     3.79%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:435             -      -            
     3.50%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:434             -      -            
     3.18%  [.] campp_qconv_mac_neon_half_tile_v2                  arm_neon.h:4653                  -      -            
     2.90%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:422             -      -            
     2.88%  [.] campp_qconv_neon_weight_columns                    arm_neon.h:24026                 -      -            
     2.17%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:433             -      -            
     1.93%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:100             -      -            
     1.86%  [.] campp_qconv_neon_weight_columns                    qconv_mac_neon.c:155             -      -            
     1.79%  [.] campp_qconv_neon_weight_columns                    qconv_mac_neon.c:151             -      -            
     1.77%  [.] campp_qconv_neon_weight_columns                    arm_neon.h:1605                  -      -            
     1.74%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:91              -      -            
     1.69%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:101             -      -            
     1.58%  [.] campp_qconv_neon_weight_columns                    arm_neon.h:3181                  -      -            
     1.53%  [.] campp_qconv_neon_weight_columns                    arm_neon.h:4632                  -      -            
     1.46%  [.] campp_qconv_neon_weight_columns                    arm_neon.h:12597                 -      -            
     1.39%  [.] campp_reference_offset_for_linear                  reference_kernel_utils.c:64      -      -            
     1.26%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:341             -      -            
     0.94%  [.] campp_qconv_neon_weight_columns                    qconv_mac_neon.c:157             -      -            
     0.91%  [.] campp_qconv_neon_weight_columns                    arm_neon.h:23767                 -      -            
     0.85%  [.] campp_qconv_neon_weight_columns                    qconv_mac_neon.c:113             -      -            
     0.78%  [.] campp_qconv_neon_weight_columns                    arm_neon.h:24037                 -      -            
     0.74%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:425             -      -            
     0.65%  [.] campp_qconv_mac_neon_half_tile_v2                  arm_neon.h:1605                  -      -            
     0.63%  [.] campp_reference_offset_for_linear                  tensor_view.h:117                -      -            
     0.61%  [.] campp_qconv_mac_neon_half_tile_v2                  qconv_mac_neon.c:92              -      -            
     0.57%  [.] campp_qconv_mac_neon_tile_v2                       qconv_mac_neon.c:699             -      -            
     0.49%  [.] campp_qconv_mac_neon_tile_v2                       arm_neon.h:3969                  -      -            
     0.47%  [.] output_hash                                        campp_operator_microbench.c:339  -      -            
     0.43%  [.] campp_reference_offset_for_linear                  reference_kernel_utils.c:62      -      -            
     0.36%  [.] campp_qconv_mac_neon_tile_v2                       qconv_mac_neon.c:614             -      -            
