# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 108300000
#
# Overhead  Symbol                                    Source:Line                      IPC   [IPC Coverage]
# ........  ........................................  ...............................  ....................
#
    31.30%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:3969                  -      -            
     7.02%  [.] campp_reference_offset_for_linear     reference_kernel_utils.c:64      -      -            
     6.09%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:1605                  -      -            
     5.08%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:4632                  -      -            
     4.25%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:4653                  -      -            
     3.51%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:24037                 -      -            
     3.42%  [.] campp_qconv_mac_4x8_intrinsics_raw    qconv_mac_4x8_intrinsics.c:14    -      -            
     3.14%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:23756                 -      -            
     2.86%  [.] campp_reference_offset_for_linear     tensor_view.h:117                -      -            
     2.77%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:12569                 -      -            
     2.12%  [.] campp_qconv_mac_4x8_intrinsics_raw    qconv_mac_4x8_intrinsics.c:98    -      -            
     1.66%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:23767                 -      -            
     1.66%  [.] campp_reference_offset_for_linear     reference_kernel_utils.c:62      -      -            
     1.39%  [.] output_hash                           campp_operator_microbench.c:385  -      -            
     1.20%  [.] campp_reference_offset_for_linear     tensor_view.h:116                -      -            
     1.11%  [.] campp_qconv_mac_neon_tile_v2          arm_neon.h:3969                  -      -            
     1.11%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:700             -      -            
     0.92%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:3181                  -      -            
     0.92%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:615             -      -            
     0.74%  [.] campp_qconv_mac_4x8_try_tile          qconv_mac_4x8.c:128              -      -            
     0.74%  [.] output_hash                           campp_operator_microbench.c:384  -      -            
     0.74%  [.] output_hash                           campp_operator_microbench.c:418  -      -            
     0.55%  [.] campp_qconv_neon_weight_columns       arm_neon.h:1605                  -      -            
     0.55%  [.] campp_reference_offset_for_linear     reference_kernel_utils.c:75      -      -            
     0.46%  [.] campp_qconv_mac_4x8_try_tile          qconv_mac_4x8.c:133              -      -            
     0.46%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:669             -      -            
     0.46%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:677             -      -            
     0.46%  [.] campp_qconv_neon_weight_columns       arm_neon.h:12597                 -      -            
     0.46%  [.] campp_qconv_neon_weight_columns       arm_neon.h:24026                 -      -            
     0.46%  [.] campp_qconv_v4_run                    qconv_v4_dispatch.c:154          -      -            
     0.46%  [.] output_hash                           campp_operator_microbench.c:386  -      -            
     0.37%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:22148                 -      -            
     0.37%  [.] campp_qconv_mac_4x8_try_tile          qconv_mac_4x8.c:130              -      -            
     0.37%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:687             -      -            
     0.37%  [.] campp_qconv_neon_weight_columns       arm_neon.h:4632                  -      -            
     0.37%  [.] campp_qconv_neon_weight_columns       qconv_mac_neon.c:126             -      -            
     0.37%  [.] campp_reference_offset_for_linear     reference_kernel_utils.c:77      -      -            
     0.37%  [.] output_hash                           campp_operator_microbench.c:417  -      -            
     0.37%  [.] output_hash                           campp_operator_microbench.c:419  -      -            
     0.28%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:102             -      -            
     0.28%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:664             -      -            
     0.28%  [.] campp_qconv_neon_weight_columns       arm_neon.h:23767                 -      -            
     0.28%  [.] campp_qconv_neon_weight_columns       qconv_mac_neon.c:152             -      -            
     0.28%  [.] campp_qconv_v4_requantize8_validated  qconv_requant_neon8.c:67         -      -            
     0.28%  [.] campp_qconv_v4_run                    qconv_v4_dispatch.c:152          -      -            
     0.28%  [.] campp_qconv_v4_store_channel_packed   qconv_store_channel_packed.c:59  -      -            
     0.28%  [.] campp_qconv_v4_tile_plan_create       qconv_v4_tile_plan.c:9           -      -            
     0.28%  [.] 0x00000000000a4098                    libc.so.6[a4098]                 -      -            
     0.18%  [.] campp_qconv_mac_4x8_try_tile          qconv_mac_4x8.c:129              -      -            
     0.18%  [.] campp_qconv_mac_4x8_try_tile          qconv_mac_4x8.c:61               -      -            
     0.18%  [.] campp_qconv_mac_neon_tile_v2          arm_neon.h:4653                  -      -            
     0.18%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:675             -      -            
     0.18%  [.] campp_qconv_neon_weight_columns       arm_neon.h:3181                  -      -            
     0.18%  [.] campp_qconv_neon_weight_columns       qconv_mac_neon.c:114             -      -            
     0.18%  [.] campp_qconv_neon_weight_columns       qconv_mac_neon.c:156             -      -            
     0.18%  [.] campp_qconv_v4_requantize8_validated  arm_neon.h:10568                 -      -            
     0.18%  [.] campp_qconv_v4_run                    qconv_v4_dispatch.c:42           -      -            
     0.18%  [.] 0x00000000000a318c                    libc.so.6[a318c]                 -      -            
     0.09%  [.] campp_qconv_address_input_base        qconv_address_fastpath.c:80      -      -            
     0.09%  [.] campp_qconv_address_output_tile       qconv_address_fastpath.c:46      -      -            
     0.09%  [.] campp_qconv_address_output_tile       qconv_address_fastpath.c:47      -      -            
     0.09%  [.] campp_qconv_mac_4x8_intrinsics_raw    qconv_mac_4x8_intrinsics.c:75    -      -            
     0.09%  [.] campp_qconv_mac_4x8_intrinsics_raw    qconv_mac_4x8_intrinsics.c:83    -      -            
     0.09%  [.] campp_qconv_mac_4x8_try_tile          qconv_mac_4x8.c:121              -      -            
     0.09%  [.] campp_qconv_mac_4x8_try_tile          qconv_mac_4x8.c:55               -      -            
     0.09%  [.] campp_qconv_mac_4x8_try_tile          qconv_mac_4x8.c:68               -      -            
     0.09%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:101             -      -            
     0.09%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:581             -      -            
     0.09%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:583             -      -            
     0.09%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:609             -      -            
     0.09%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:612             -      -            
     0.09%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:667             -      -            
     0.09%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:678             -      -            
     0.09%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:683             -      -            
     0.09%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:98              -      -            
     0.09%  [.] campp_qconv_neon_weight_columns       arm_neon.h:24037                 -      -            
     0.09%  [.] campp_qconv_neon_weight_columns       qconv_mac_neon.c:158             -      -            
     0.09%  [.] campp_qconv_v4_parameters_load        qconv_v4_parameters.c:39         -      -            
     0.09%  [.] campp_qconv_v4_parameters_load        qconv_v4_parameters.c:42         -      -            
     0.09%  [.] campp_qconv_v4_parameters_load        qconv_v4_parameters.c:47         -      -            
     0.09%  [.] campp_qconv_v4_requantize8_validated  arm_neon.h:10238                 -      -            
     0.09%  [.] campp_qconv_v4_requantize8_validated  arm_neon.h:18408                 -      -            
     0.09%  [.] campp_qconv_v4_requantize8_validated  arm_neon.h:18480                 -      -            
     0.09%  [.] campp_qconv_v4_run                    qconv_v4_dispatch.c:100          -      -            
     0.09%  [.] campp_qconv_v4_run                    qconv_v4_dispatch.c:103          -      -            
     0.09%  [.] campp_qconv_v4_run                    qconv_v4_dispatch.c:157          -      -            
     0.09%  [.] campp_qconv_v4_run                    qconv_v4_dispatch.c:162          -      -            
     0.09%  [.] campp_qconv_v4_run                    qconv_v4_dispatch.c:172          -      -            
     0.09%  [.] campp_qconv_v4_store_channel_packed   qconv_store_channel_packed.c:68  -      -            
     0.09%  [.] campp_qconv_v4_store_channel_packed   qconv_store_channel_packed.c:80  -      -            
     0.09%  [.] campp_qconv_v4_store_channel_packed   qconv_store_channel_packed.c:81  -      -            
     0.09%  [.] campp_qconv_v4_store_channel_packed   qconv_store_channel_packed.c:85  -      -            
     0.09%  [.] campp_qconv_v4_store_channel_packed   qconv_store_channel_packed.c:87  -      -            
     0.09%  [.] campp_qconv_v4_store_channel_packed   qconv_store_channel_packed.c:88  -      -            
     0.09%  [.] campp_qconv_v4_tile_plan_create       qconv_v4_tile_plan.c:110         -      -            
     0.09%  [.] campp_qconv_v4_tile_plan_create       qconv_v4_tile_plan.c:25          -      -            
     0.09%  [.] campp_qconv_v4_tile_plan_create       qconv_v4_tile_plan.c:32          -      -            
     0.09%  [.] campp_qconv_v4_tile_plan_create       qconv_v4_tile_plan.c:37          -      -            
     0.09%  [.] campp_reference_read_f32              reference_kernel_utils.c:62      -      -            
     0.09%  [.] campp_reference_read_f32              reference_kernel_utils.c:64      -      -            
     0.09%  [.] campp_reference_read_f32              tensor_view.h:116                -      -            
     0.09%  [.] campp_reference_read_quantized        reference_kernel_utils.c:179     -      -            
     0.09%  [.] campp_reference_read_quantized        tensor_view.h:117                -      -            
     0.09%  [.] campp_runtime_model_attribute_ints    compiled_model_loader.c:605      -      -            
