# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 933  of event 'cycles:u'
# Event count (approx.): 93300000
#
# Overhead  Symbol                                    Source:Line                      IPC   [IPC Coverage]
# ........  ........................................  ...............................  ....................
#
    31.73%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:3969                  -      -            
     8.25%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:4632                  -      -            
     8.04%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:1605                  -      -            
     4.82%  [.] campp_qconv_mac_4x8_intrinsics_raw    qconv_mac_4x8_intrinsics.c:14    -      -            
     4.72%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:12569                 -      -            
     4.29%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:4653                  -      -            
     4.07%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:23756                 -      -            
     2.79%  [.] campp_reference_offset_for_linear     reference_kernel_utils.c:64      -      -            
     2.47%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:24037                 -      -            
     2.14%  [.] campp_qconv_mac_4x8_intrinsics_raw    qconv_mac_4x8_intrinsics.c:98    -      -            
     1.71%  [.] campp_qconv_mac_neon_tile_v2          arm_neon.h:3969                  -      -            
     1.61%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:23767                 -      -            
     1.61%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:700             -      -            
     1.39%  [.] campp_reference_offset_for_linear     reference_kernel_utils.c:62      -      -            
     1.39%  [.] campp_reference_offset_for_linear     tensor_view.h:117                -      -            
     0.86%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:3181                  -      -            
     0.86%  [.] output_hash                           campp_operator_microbench.c:417  -      -            
     0.75%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:669             -      -            
     0.75%  [.] output_hash                           campp_operator_microbench.c:386  -      -            
     0.75%  [.] output_hash                           campp_operator_microbench.c:418  -      -            
     0.64%  [.] campp_qconv_neon_weight_columns       arm_neon.h:1605                  -      -            
     0.64%  [.] campp_qconv_neon_weight_columns       arm_neon.h:24026                 -      -            
     0.54%  [.] campp_qconv_mac_neon_tile_v2          arm_neon.h:4653                  -      -            
     0.54%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:664             -      -            
     0.54%  [.] output_hash                           campp_operator_microbench.c:385  -      -            
     0.43%  [.] campp_qconv_mac_4x8_try_tile          qconv_mac_4x8.c:128              -      -            
     0.43%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:687             -      -            
     0.43%  [.] campp_qconv_neon_weight_columns       arm_neon.h:3181                  -      -            
     0.43%  [.] campp_reference_offset_for_linear     tensor_view.h:116                -      -            
     0.43%  [.] output_hash                           campp_operator_microbench.c:419  -      -            
     0.32%  [.] campp_qconv_mac_4x8_try_tile          qconv_mac_4x8.c:130              -      -            
     0.32%  [.] campp_qconv_mac_4x8_try_tile          qconv_mac_4x8.c:133              -      -            
     0.32%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:98              -      -            
     0.32%  [.] campp_qconv_neon_weight_columns       qconv_mac_neon.c:126             -      -            
     0.32%  [.] campp_qconv_neon_weight_columns       qconv_mac_neon.c:158             -      -            
     0.32%  [.] campp_reference_offset_for_linear     reference_kernel_utils.c:75      -      -            
     0.32%  [.] output_hash                           campp_operator_microbench.c:384  -      -            
     0.21%  [.] campp_optimization_pmu_begin          linux_pmu.c:151                  -      -            
     0.21%  [.] campp_qconv_mac_4x8_intrinsics_raw    qconv_mac_4x8_intrinsics.c:83    -      -            
     0.21%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:615             -      -            
     0.21%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:678             -      -            
     0.21%  [.] campp_qconv_neon_weight_columns       arm_neon.h:12597                 -      -            
     0.21%  [.] campp_qconv_neon_weight_columns       arm_neon.h:24037                 -      -            
     0.21%  [.] campp_qconv_neon_weight_columns       qconv_mac_neon.c:156             -      -            
     0.21%  [.] campp_qconv_v4_requantize8_validated  arm_neon.h:10805                 -      -            
     0.21%  [.] campp_qconv_v4_store_channel_packed   qconv_store_channel_packed.c:60  -      -            
     0.21%  [.] output_hash                           campp_operator_microbench.c:415  -      -            
     0.21%  [.] 0x00000000000a3188                    libc.so.6[a3188]                 -      -            
     0.11%  [.] campp_qconv_address_output_tile       qconv_address_fastpath.c:47      -      -            
     0.11%  [.] campp_qconv_address_plan_create       qconv_address_fastpath.c:19      -      -            
     0.11%  [.] campp_qconv_mac_4x8_intrinsics_raw    qconv_mac_4x8_intrinsics.c:75    -      -            
     0.11%  [.] campp_qconv_mac_4x8_intrinsics_raw    qconv_mac_4x8_intrinsics.c:95    -      -            
     0.11%  [.] campp_qconv_mac_4x8_try_tile          qconv_mac_4x8.c:110              -      -            
     0.11%  [.] campp_qconv_mac_4x8_try_tile          qconv_mac_4x8.c:112              -      -            
     0.11%  [.] campp_qconv_mac_4x8_try_tile          qconv_mac_4x8.c:115              -      -            
     0.11%  [.] campp_qconv_mac_4x8_try_tile          qconv_mac_4x8.c:61               -      -            
     0.11%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:101             -      -            
     0.11%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:102             -      -            
     0.11%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:667             -      -            
