# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 922  of event 'cycles:u'
# Event count (approx.): 92200000
#
# Overhead  Symbol                                         Source:Line                      IPC   [IPC Coverage]
# ........  .............................................  ...............................  ....................
#
    33.41%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:3969                  -      -            
     9.44%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:1605                  -      -            
     7.27%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:4632                  -      -            
     4.66%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:23756                 -      -            
     4.34%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:12569                 -      -            
     3.80%  [.] campp_reference_offset_for_linear          reference_kernel_utils.c:64      -      -            
     3.69%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:4653                  -      -            
     3.15%  [.] campp_qconv_mac_4x8_intrinsics_raw         qconv_mac_4x8_intrinsics.c:14    -      -            
     2.71%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:24037                 -      -            
     2.06%  [.] campp_reference_offset_for_linear          tensor_view.h:117                -      -            
     1.95%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:23767                 -      -            
     1.95%  [.] campp_qconv_mac_4x8_intrinsics_raw         qconv_mac_4x8_intrinsics.c:98    -      -            
     1.52%  [.] campp_qconv_mac_neon_tile_v2               qconv_mac_neon.c:700             -      -            
     1.30%  [.] campp_reference_offset_for_linear          reference_kernel_utils.c:62      -      -            
     1.08%  [.] campp_qconv_mac_neon_tile_v2               qconv_mac_neon.c:669             -      -            
     0.98%  [.] campp_qconv_mac_neon_tile_v2               arm_neon.h:3969                  -      -            
     0.76%  [.] output_hash                                campp_operator_microbench.c:385  -      -            
     0.65%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:3181                  -      -            
     0.65%  [.] campp_qconv_mac_neon_tile_v2               qconv_mac_neon.c:615             -      -            
     0.65%  [.] campp_qconv_mac_neon_tile_v2               qconv_mac_neon.c:664             -      -            
     0.65%  [.] campp_qconv_neon_weight_columns            arm_neon.h:24026                 -      -            
     0.54%  [.] campp_qconv_neon_weight_columns            arm_neon.h:12597                 -      -            
     0.54%  [.] campp_qconv_neon_weight_columns            qconv_mac_neon.c:158             -      -            
     0.43%  [.] campp_qconv_mac_neon_tile_v2               qconv_mac_neon.c:677             -      -            
     0.43%  [.] campp_qconv_neon_weight_columns            qconv_mac_neon.c:126             -      -            
     0.43%  [.] output_hash                                campp_operator_microbench.c:384  -      -            
     0.43%  [.] output_hash                                campp_operator_microbench.c:386  -      -            
     0.33%  [.] campp_qconv_mac_neon_tile_v2               qconv_mac_neon.c:687             -      -            
     0.33%  [.] campp_qconv_neon_weight_columns            arm_neon.h:1605                  -      -            
     0.33%  [.] campp_qconv_neon_weight_columns            qconv_mac_neon.c:152             -      -            
     0.33%  [.] campp_reference_offset_for_linear          reference_kernel_utils.c:60      -      -            
     0.33%  [.] output_hash                                campp_operator_microbench.c:417  -      -            
     0.33%  [.] 0x00000000000a4098                         libc.so.6[a4098]                 -      -            
     0.22%  [.] campp_qconv_address_output_tile            qconv_address_fastpath.c:45      -      -            
     0.22%  [.] campp_qconv_mac_4x8_try_tile               qconv_mac_4x8.c:129              -      -            
     0.22%  [.] campp_qconv_mac_4x8_try_tile               qconv_mac_4x8.c:133              -      -            
     0.22%  [.] campp_qconv_mac_neon_tile_v2               qconv_mac_neon.c:689             -      -            
     0.22%  [.] campp_qconv_mac_neon_tile_v2               qconv_mac_neon.c:98              -      -            
     0.22%  [.] campp_qconv_neon_weight_columns            arm_neon.h:4632                  -      -            
     0.22%  [.] campp_qconv_neon_weight_columns            qconv_mac_neon.c:156             -      -            
     0.22%  [.] campp_qconv_v4_requantize8_validated       arm_neon.h:22062                 -      -            
     0.22%  [.] campp_qconv_v4_requantize8_validated       arm_neon.h:324                   -      -            
     0.22%  [.] campp_qconv_v4_run                         qconv_v4_dispatch.c:154          -      -            
     0.22%  [.] campp_reference_offset_for_linear          reference_kernel_utils.c:77      -      -            
     0.22%  [.] campp_reference_read_f32                   reference_kernel_utils.c:141     -      -            
     0.22%  [.] output_hash                                campp_operator_microbench.c:415  -      -            
     0.22%  [.] 0x00000000000a3194                         libc.so.6[a3194]                 -      -            
     0.11%  [.] campp_optimization_probe_finish_iteration  stage_probe.c:81                 -      -            
     0.11%  [.] campp_qconv_address_output_tile            qconv_address_fastpath.c:46      -      -            
     0.11%  [.] campp_qconv_mac_4x8_intrinsics_raw         qconv_mac_4x8_intrinsics.c:81    -      -            
     0.11%  [.] campp_qconv_mac_4x8_intrinsics_raw         qconv_mac_4x8_intrinsics.c:94    -      -            
     0.11%  [.] campp_qconv_mac_4x8_try_tile               qconv_mac_4x8.c:125              -      -            
     0.11%  [.] campp_qconv_mac_4x8_try_tile               qconv_mac_4x8.c:128              -      -            
     0.11%  [.] campp_qconv_mac_4x8_try_tile               qconv_mac_4x8.c:130              -      -            
     0.11%  [.] campp_qconv_mac_4x8_try_tile               qconv_mac_4x8.c:68               -      -            
     0.11%  [.] campp_qconv_mac_4x8_try_tile               qconv_mac_4x8.c:86               -      -            
     0.11%  [.] campp_qconv_mac_neon_tile_v2               arm_neon.h:4653                  -      -            
     0.11%  [.] campp_qconv_mac_neon_tile_v2               qconv_mac_neon.c:101             -      -            
     0.11%  [.] campp_qconv_mac_neon_tile_v2               qconv_mac_neon.c:102             -      -            
     0.11%  [.] campp_qconv_mac_neon_tile_v2               qconv_mac_neon.c:683             -      -            
     0.11%  [.] campp_qconv_mac_neon_tile_v2               qconv_mac_neon.c:694             -      -            
     0.11%  [.] campp_qconv_mac_neon_tile_v2               qconv_mac_neon.c:721             -      -            
     0.11%  [.] campp_qconv_neon_weight_columns            arm_neon.h:24037                 -      -            
     0.11%  [.] campp_qconv_neon_weight_columns            arm_neon.h:3181                  -      -            
     0.11%  [.] campp_qconv_v4_parameters_load             qconv_v4_parameters.c:17         -      -            
     0.11%  [.] campp_qconv_v4_parameters_load             qconv_v4_parameters.c:42         -      -            
     0.11%  [.] campp_qconv_v4_parameters_load             qconv_v4_parameters.c:47         -      -            
     0.11%  [.] campp_qconv_v4_parameters_load             qconv_v4_parameters.c:57         -      -            
     0.11%  [.] campp_qconv_v4_requantize8_validated       arm_neon.h:10805                 -      -            
     0.11%  [.] campp_qconv_v4_requantize8_validated       arm_neon.h:10856                 -      -            
     0.11%  [.] campp_qconv_v4_requantize8_validated       arm_neon.h:18408                 -      -            
     0.11%  [.] campp_qconv_v4_requantize8_validated       arm_neon.h:18480                 -      -            
     0.11%  [.] campp_qconv_v4_requantize8_validated       qconv_requant_neon8.c:51         -      -            
     0.11%  [.] campp_qconv_v4_run                         qconv_v4_dispatch.c:129          -      -            
     0.11%  [.] campp_qconv_v4_run                         qconv_v4_dispatch.c:152          -      -            
     0.11%  [.] campp_qconv_v4_run                         qconv_v4_dispatch.c:162          -      -            
     0.11%  [.] campp_qconv_v4_run                         qconv_v4_dispatch.c:98           -      -            
     0.11%  [.] campp_qconv_v4_store_channel_packed        qconv_store_channel_packed.c:59  -      -            
     0.11%  [.] campp_qconv_v4_store_channel_packed        qconv_store_channel_packed.c:67  -      -            
     0.11%  [.] campp_qconv_v4_store_channel_packed        qconv_store_channel_packed.c:80  -      -            
     0.11%  [.] campp_qconv_v4_store_channel_packed        qconv_store_channel_packed.c:81  -      -            
     0.11%  [.] campp_qconv_v4_store_channel_packed        qconv_store_channel_packed.c:87  -      -            
     0.11%  [.] campp_qconv_v4_tile_plan_create            qconv_v4_tile_plan.c:136         -      -            
     0.11%  [.] campp_qconv_v4_tile_plan_create            qconv_v4_tile_plan.c:9           -      -            
     0.11%  [.] campp_reference_offset_for_linear          tensor_view.h:116                -      -            
     0.11%  [.] campp_reference_read_quantized             reference_kernel_utils.c:64      -      -            
     0.11%  [.] campp_reference_read_quantized             tensor_view.h:78                 -      -            
     0.11%  [.] campp_span_read_i64                        binary_section_reader.c:91       -      -            
     0.11%  [.] memset@plt                                 memset@plt+8                     -      -            
     0.11%  [.] output_hash                                campp_operator_microbench.c:418  -      -            
     0.11%  [.] output_hash                                campp_operator_microbench.c:419  -      -            
     0.11%  [.] output_hash                                tensor_view.h:78                 -      -            
     0.11%  [.] 0x00000000000a3090                         libc.so.6[a3090]                 -      -            
     0.11%  [.] 0x00000000000a3184                         libc.so.6[a3184]                 -      -            
     0.11%  [.] 0x00000000000a3188                         libc.so.6[a3188]                 -      -            
     0.11%  [.] 0x00000000000a318c                         libc.so.6[a318c]                 -      -            
     0.11%  [.] 0x00000000000a3fec                         libc.so.6[a3fec]                 -      -            
     0.11%  [.] 0x00000000000a4040                         libc.so.6[a4040]                 -      -            


#
# (Tip: To set sampling period of individual events use perf record -e cpu/cpu-cycles,period=100001/,cpu/branches,period=10001/ ...)
#
