# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:u'
# Event count (approx.): 387400000
#
# Overhead  Symbol                                         Source:Line                      IPC   [IPC Coverage]
# ........  .............................................  ...............................  ....................
#
    34.05%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:3969                  -      -            
     8.16%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:1605                  -      -            
     7.56%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:4632                  -      -            
     4.10%  [.] campp_qconv_mac_4x8_intrinsics_raw         qconv_mac_4x8_intrinsics.c:14    -      -            
     3.82%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:12569                 -      -            
     3.77%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:23756                 -      -            
     3.77%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:4653                  -      -            
     3.56%  [.] campp_reference_offset_for_linear          reference_kernel_utils.c:64      -      -            
     3.30%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:24037                 -      -            
     2.50%  [.] campp_qconv_mac_4x8_intrinsics_raw         qconv_mac_4x8_intrinsics.c:98    -      -            
     2.01%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:23767                 -      -            
     1.91%  [.] campp_reference_offset_for_linear          tensor_view.h:117                -      -            
     1.60%  [.] campp_qconv_mac_neon_tile_v2               arm_neon.h:3969                  -      -            
     1.47%  [.] campp_qconv_mac_neon_tile_v2               qconv_mac_neon.c:700             -      -            
     1.34%  [.] output_hash                                campp_operator_microbench.c:385  -      -            
     0.88%  [.] campp_reference_offset_for_linear          reference_kernel_utils.c:62      -      -            
     0.75%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:3181                  -      -            
     0.67%  [.] campp_qconv_neon_weight_columns            arm_neon.h:24026                 -      -            
     0.62%  [.] output_hash                                campp_operator_microbench.c:418  -      -            
     0.59%  [.] campp_qconv_mac_neon_tile_v2               qconv_mac_neon.c:615             -      -            
     0.52%  [.] campp_qconv_mac_neon_tile_v2               qconv_mac_neon.c:687             -      -            
     0.46%  [.] campp_qconv_mac_neon_tile_v2               qconv_mac_neon.c:669             -      -            
     0.46%  [.] campp_qconv_neon_weight_columns            qconv_mac_neon.c:152             -      -            
     0.44%  [.] output_hash                                campp_operator_microbench.c:384  -      -            
     0.39%  [.] campp_qconv_neon_weight_columns            arm_neon.h:4632                  -      -            
     0.39%  [.] campp_reference_offset_for_linear          tensor_view.h:116                -      -            
     0.36%  [.] campp_qconv_mac_4x8_try_tile               qconv_mac_4x8.c:128              -      -            
     0.34%  [.] campp_qconv_mac_neon_tile_v2               qconv_mac_neon.c:664             -      -            
     0.34%  [.] output_hash                                campp_operator_microbench.c:386  -      -            
     0.31%  [.] campp_qconv_mac_4x8_try_tile               qconv_mac_4x8.c:130              -      -            
     0.31%  [.] campp_qconv_neon_weight_columns            arm_neon.h:1605                  -      -            
     0.28%  [.] campp_qconv_neon_weight_columns            qconv_mac_neon.c:156             -      -            
     0.28%  [.] campp_reference_read_f32                   reference_kernel_utils.c:151     -      -            
     0.26%  [.] campp_qconv_mac_neon_tile_v2               qconv_mac_neon.c:677             -      -            
     0.26%  [.] campp_qconv_neon_weight_columns            arm_neon.h:3181                  -      -            
     0.26%  [.] campp_qconv_neon_weight_columns            qconv_mac_neon.c:126             -      -            
     0.23%  [.] campp_qconv_mac_neon_tile_v2               qconv_mac_neon.c:98              -      -            
     0.23%  [.] campp_qconv_neon_weight_columns            arm_neon.h:12597                 -      -            
     0.23%  [.] campp_qconv_neon_weight_columns            qconv_mac_neon.c:114             -      -            
     0.23%  [.] campp_reference_offset_for_linear          reference_kernel_utils.c:75      -      -            
     0.21%  [.] campp_qconv_mac_neon_tile_v2               qconv_mac_neon.c:675             -      -            
     0.21%  [.] campp_qconv_neon_weight_columns            qconv_mac_neon.c:158             -      -            
     0.21%  [.] campp_qconv_v4_run                         qconv_v4_dispatch.c:42           -      -            
     0.18%  [.] campp_qconv_mac_neon_tile_v2               qconv_mac_neon.c:694             -      -            
     0.15%  [.] campp_qconv_neon_weight_columns            arm_neon.h:24037                 -      -            
     0.15%  [.] campp_qconv_v4_run                         qconv_v4_dispatch.c:154          -      -            
     0.15%  [.] campp_reference_read_quantized             reference_kernel_utils.c:186     -      -            
     0.15%  [.] output_hash                                campp_operator_microbench.c:419  -      -            
     0.13%  [.] campp_qconv_mac_4x8_try_tile               qconv_mac_4x8.c:129              -      -            
     0.13%  [.] campp_qconv_mac_neon_tile_v2               arm_neon.h:4653                  -      -            
     0.13%  [.] campp_qconv_neon_weight_columns            arm_neon.h:23767                 -      -            
     0.13%  [.] campp_qconv_v4_requantize8_validated       arm_neon.h:10805                 -      -            
     0.13%  [.] campp_qconv_v4_requantize8_validated       qconv_requant_neon8.c:67         -      -            
     0.13%  [.] campp_qconv_v4_store_channel_packed        qconv_store_channel_packed.c:87  -      -            
     0.13%  [.] campp_reference_offset_for_linear          reference_kernel_utils.c:60      -      -            
     0.13%  [.] output_hash                                campp_operator_microbench.c:417  -      -            
     0.10%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:22148                 -      -            
     0.10%  [.] campp_qconv_mac_4x8_intrinsics_raw         qconv_mac_4x8_intrinsics.c:94    -      -            
     0.10%  [.] campp_qconv_mac_4x8_try_tile               qconv_mac_4x8.c:133              -      -            
     0.10%  [.] campp_qconv_mac_neon_tile_v2               qconv_mac_neon.c:101             -      -            
     0.10%  [.] campp_qconv_v4_requantize8_validated       arm_neon.h:10238                 -      -            
     0.10%  [.] campp_qconv_v4_store_channel_packed        qconv_store_channel_packed.c:59  -      -            
     0.10%  [.] output_hash                                campp_operator_microbench.c:415  -      -            
     0.08%  [.] campp_qconv_mac_4x8_intrinsics_raw         qconv_mac_4x8_intrinsics.c:83    -      -            
     0.08%  [.] campp_qconv_mac_4x8_try_tile               qconv_mac_4x8.c:125              -      -            
