# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:u'
# Event count (approx.): 388500000
#
# Overhead  Symbol                                        Source:Line                      IPC   [IPC Coverage]
# ........  ............................................  ...............................  ....................
#
    31.63%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:3969                  -      -            
     9.09%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:1605                  -      -            
     8.16%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:4632                  -      -            
     4.27%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:4653                  -      -            
     4.22%  [.] campp_qconv_mac_4x8_intrinsics_raw        qconv_mac_4x8_intrinsics.c:14    -      -            
     4.12%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:12569                 -      -            
     3.84%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:23756                 -      -            
     3.73%  [.] campp_reference_offset_for_linear         reference_kernel_utils.c:64      -      -            
     3.58%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:24037                 -      -            
     2.27%  [.] campp_qconv_mac_4x8_intrinsics_raw        qconv_mac_4x8_intrinsics.c:98    -      -            
     1.80%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:23767                 -      -            
     1.65%  [.] campp_qconv_mac_neon_tile_v2              arm_neon.h:3969                  -      -            
     1.52%  [.] campp_reference_offset_for_linear         tensor_view.h:117                -      -            
     1.44%  [.] output_hash                               campp_operator_microbench.c:385  -      -            
     1.16%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:700             -      -            
     1.03%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:3181                  -      -            
     0.88%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:615             -      -            
     0.82%  [.] campp_reference_offset_for_linear         reference_kernel_utils.c:62      -      -            
     0.54%  [.] campp_qconv_mac_4x8_try_tile              qconv_mac_4x8.c:128              -      -            
     0.54%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:669             -      -            
     0.54%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:687             -      -            
     0.54%  [.] output_hash                               campp_operator_microbench.c:386  -      -            
     0.54%  [.] output_hash                               campp_operator_microbench.c:418  -      -            
     0.49%  [.] campp_qconv_neon_weight_columns           arm_neon.h:24026                 -      -            
     0.49%  [.] campp_qconv_neon_weight_columns           arm_neon.h:3181                  -      -            
     0.41%  [.] output_hash                               campp_operator_microbench.c:384  -      -            
     0.39%  [.] campp_qconv_neon_weight_columns           arm_neon.h:4632                  -      -            
     0.39%  [.] campp_qconv_neon_weight_columns           qconv_mac_neon.c:126             -      -            
     0.36%  [.] campp_reference_offset_for_linear         tensor_view.h:116                -      -            
     0.33%  [.] campp_qconv_neon_weight_columns           qconv_mac_neon.c:152             -      -            
     0.31%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:664             -      -            
     0.31%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:98              -      -            
     0.31%  [.] output_hash                               campp_operator_microbench.c:417  -      -            
     0.28%  [.] campp_qconv_mac_4x8_try_tile              qconv_mac_4x8.c:130              -      -            
     0.28%  [.] campp_reference_read_f32                  reference_kernel_utils.c:151     -      -            
     0.26%  [.] campp_qconv_neon_weight_columns           arm_neon.h:1605                  -      -            
     0.26%  [.] campp_qconv_neon_weight_columns           arm_neon.h:23767                 -      -            
     0.21%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:677             -      -            
     0.21%  [.] campp_qconv_neon_weight_columns           arm_neon.h:12597                 -      -            
     0.21%  [.] output_hash                               campp_operator_microbench.c:415  -      -            
     0.21%  [.] 0x00000000000a3188                        libc.so.6[a3188]                 -      -            
     0.18%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:694             -      -            
     0.18%  [.] campp_qconv_neon_weight_columns           qconv_mac_neon.c:114             -      -            
     0.18%  [.] campp_reference_offset_for_linear         reference_kernel_utils.c:75      -      -            
     0.15%  [.] campp_qconv_mac_neon_tile_v2              arm_neon.h:4653                  -      -            
     0.15%  [.] campp_qconv_neon_weight_columns           qconv_mac_neon.c:156             -      -            
     0.13%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:22148                 -      -            
     0.13%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:101             -      -            
     0.13%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:102             -      -            
     0.13%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:678             -      -            
     0.13%  [.] campp_qconv_neon_weight_columns           arm_neon.h:24037                 -      -            
     0.13%  [.] campp_qconv_v4_run                        qconv_v4_dispatch.c:154          -      -            
     0.13%  [.] output_hash                               campp_operator_microbench.c:419  -      -            
