# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 928  of event 'cycles:u'
# Event count (approx.): 92800000
#
# Overhead  Symbol                                        Source:Line                        IPC   [IPC Coverage]
# ........  ............................................  .................................  ....................
#
    32.22%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:3969                    -      -            
     7.33%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:1605                    -      -            
     6.57%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:4632                    -      -            
     5.06%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:4653                    -      -            
     4.42%  [.] campp_qconv_mac_4x8_intrinsics_raw        qconv_mac_4x8_intrinsics.c:14      -      -            
     4.31%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:23756                   -      -            
     4.09%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:12569                   -      -            
     4.09%  [.] campp_reference_offset_for_linear         reference_kernel_utils.c:64        -      -            
     3.12%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:24037                   -      -            
     2.48%  [.] campp_qconv_mac_4x8_intrinsics_raw        qconv_mac_4x8_intrinsics.c:98      -      -            
     2.16%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:23767                   -      -            
     1.72%  [.] campp_reference_offset_for_linear         tensor_view.h:117                  -      -            
     1.62%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:700               -      -            
     0.97%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:3181                    -      -            
     0.97%  [.] campp_qconv_mac_neon_tile_v2              arm_neon.h:3969                    -      -            
     0.97%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:615               -      -            
     0.75%  [.] campp_qconv_mac_4x8_try_tile              qconv_mac_4x8.c:128                -      -            
     0.75%  [.] campp_qconv_neon_weight_columns           qconv_mac_neon.c:152               -      -            
     0.75%  [.] campp_reference_offset_for_linear         tensor_view.h:116                  -      -            
     0.65%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:664               -      -            
     0.65%  [.] campp_qconv_neon_weight_columns           arm_neon.h:1605                    -      -            
     0.65%  [.] campp_reference_offset_for_linear         reference_kernel_utils.c:62        -      -            
     0.65%  [.] output_hash                               campp_operator_microbench.c:386    -      -            
     0.54%  [.] campp_qconv_neon_weight_columns           qconv_mac_neon.c:126               -      -            
     0.54%  [.] output_hash                               campp_operator_microbench.c:385    -      -            
     0.43%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:687               -      -            
     0.43%  [.] campp_qconv_neon_weight_columns           arm_neon.h:3181                    -      -            
     0.43%  [.] campp_qconv_neon_weight_columns           arm_neon.h:4632                    -      -            
     0.43%  [.] campp_qconv_neon_weight_columns           qconv_mac_neon.c:156               -      -            
     0.43%  [.] output_hash                               campp_operator_microbench.c:384    -      -            
     0.43%  [.] output_hash                               campp_operator_microbench.c:418    -      -            
     0.32%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:101               -      -            
     0.32%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:98                -      -            
     0.32%  [.] campp_qconv_neon_weight_columns           arm_neon.h:24026                   -      -            
     0.32%  [.] output_hash                               campp_operator_microbench.c:417    -      -            
     0.32%  [.] output_hash                               campp_operator_microbench.c:419    -      -            
     0.32%  [.] 0x00000000000a4094                        libc.so.6[a4094]                   -      -            
     0.22%  [.] campp_qconv_mac_4x8_try_tile              qconv_mac_4x8.c:130                -      -            
     0.22%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:675               -      -            
     0.22%  [.] campp_qconv_neon_weight_columns           arm_neon.h:12597                   -      -            
     0.22%  [.] campp_qconv_v4_requantize8_validated      arm_neon.h:10238                   -      -            
     0.22%  [.] campp_qconv_v4_requantize8_validated      arm_neon.h:16333                   -      -            
     0.22%  [.] campp_qconv_v4_run                        qconv_v4_dispatch.c:154            -      -            
     0.22%  [.] campp_qconv_v4_tile_plan_create           qconv_v4_tile_plan.c:136           -      -            
     0.22%  [.] campp_reference_offset_for_linear         reference_kernel_utils.c:60        -      -            
     0.22%  [.] 0x00000000000a4098                        libc.so.6[a4098]                   -      -            
     0.11%  [.] campp_optimization_probe_begin_iteration  stage_probe.c:53                   -      -            
     0.11%  [.] campp_qconv_address_input_base            qconv_address_fastpath.c:88        -      -            
     0.11%  [.] campp_qconv_address_output_tile           qconv_address_fastpath.c:46        -      -            
     0.11%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:10747                   -      -            
     0.11%  [.] campp_qconv_mac_4x8_intrinsics_raw        qconv_mac_4x8_intrinsics.c:83      -      -            
     0.11%  [.] campp_qconv_mac_4x8_intrinsics_raw        qconv_mac_4x8_intrinsics.c:94      -      -            
     0.11%  [.] campp_qconv_mac_4x8_try_tile              qconv_mac_4x8.c:112                -      -            
     0.11%  [.] campp_qconv_mac_4x8_try_tile              qconv_mac_4x8.c:125                -      -            
     0.11%  [.] campp_qconv_mac_4x8_try_tile              qconv_mac_4x8.c:129                -      -            
     0.11%  [.] campp_qconv_mac_4x8_try_tile              qconv_mac_4x8.c:56                 -      -            
     0.11%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:667               -      -            
     0.11%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:669               -      -            
     0.11%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:677               -      -            
     0.11%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:678               -      -            
     0.11%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:683               -      -            
     0.11%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:689               -      -            
     0.11%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:729               -      -            
     0.11%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:737               -      -            
     0.11%  [.] campp_qconv_neon_weight_columns           arm_neon.h:23767                   -      -            
     0.11%  [.] campp_qconv_neon_weight_columns           arm_neon.h:24037                   -      -            
     0.11%  [.] campp_qconv_v4_mac_1x1_8x8                qconv_mac_1x1_8x8_intrinsics.c:12  -      -            
     0.11%  [.] campp_qconv_v4_parameters_load            qconv_v4_parameters.c:29           -      -            
     0.11%  [.] campp_qconv_v4_requantize8_validated      arm_neon.h:10568                   -      -            
     0.11%  [.] campp_qconv_v4_requantize8_validated      arm_neon.h:10805                   -      -            
     0.11%  [.] campp_qconv_v4_requantize8_validated      arm_neon.h:12583                   -      -            
     0.11%  [.] campp_qconv_v4_requantize8_validated      arm_neon.h:18408                   -      -            
     0.11%  [.] campp_qconv_v4_requantize8_validated      qconv_requant_neon8.c:50           -      -            
     0.11%  [.] campp_qconv_v4_requantize8_validated      qconv_requant_neon8.c:67           -      -            
     0.11%  [.] campp_qconv_v4_run                        qconv_v4_dispatch.c:152            -      -            
     0.11%  [.] campp_qconv_v4_run                        qconv_v4_dispatch.c:157            -      -            
     0.11%  [.] campp_qconv_v4_run                        qconv_v4_dispatch.c:77             -      -            
     0.11%  [.] campp_qconv_v4_store_channel_packed       qconv_store_channel_packed.c:60    -      -            
     0.11%  [.] campp_qconv_v4_store_channel_packed       qconv_store_channel_packed.c:61    -      -            
     0.11%  [.] campp_qconv_v4_tile_plan_create           qconv_v4_tile_plan.c:28            -      -            
     0.11%  [.] campp_qconv_v4_tile_plan_create           qconv_v4_tile_plan.c:32            -      -            
     0.11%  [.] campp_reference_read_f32                  reference_kernel_utils.c:138       -      -            
     0.11%  [.] campp_reference_read_f32                  reference_kernel_utils.c:151       -      -            
     0.11%  [.] campp_reference_read_quantized            reference_kernel_utils.c:186       -      -            
     0.11%  [.] campp_reference_read_quantized            reference_kernel_utils.c:60        -      -            
     0.11%  [.] campp_reference_read_quantized            reference_kernel_utils.c:64        -      -            
     0.11%  [.] campp_runtime_model_attribute_ints        compiled_model_loader.c:622        -      -            
     0.11%  [.] campp_span_read_u32                       binary_section_reader.c:87         -      -            
     0.11%  [.] memcpy@plt                                memcpy@plt+0                       -      -            
     0.11%  [.] 0x00000000000a3080                        libc.so.6[a3080]                   -      -            
     0.11%  [.] 0x00000000000a3088                        libc.so.6[a3088]                   -      -            
     0.11%  [.] 0x00000000000a30a0                        libc.so.6[a30a0]                   -      -            
     0.11%  [.] 0x00000000000a30c8                        libc.so.6[a30c8]                   -      -            
     0.11%  [.] 0x00000000000a3160                        libc.so.6[a3160]                   -      -            
     0.11%  [.] 0x00000000000a3188                        libc.so.6[a3188]                   -      -            
     0.11%  [.] 0x00000000000a3194                        libc.so.6[a3194]                   -      -            
     0.11%  [.] 0x00000000000a4084                        libc.so.6[a4084]                   -      -            


#
# (Tip: Skip collecting build-id when recording: perf record -B)
#
