# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 923  of event 'cycles:u'
# Event count (approx.): 92300000
#
# Overhead  Symbol                                    Source:Line                        IPC   [IPC Coverage]
# ........  ........................................  .................................  ....................
#
    31.96%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:3969                    -      -            
     9.10%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:1605                    -      -            
     7.58%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:4632                    -      -            
     5.31%  [.] campp_qconv_mac_4x8_intrinsics_raw    qconv_mac_4x8_intrinsics.c:14      -      -            
     4.12%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:23756                   -      -            
     4.12%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:4653                    -      -            
     4.12%  [.] campp_reference_offset_for_linear     reference_kernel_utils.c:64        -      -            
     3.36%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:24037                   -      -            
     2.82%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:23767                   -      -            
     2.49%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:12569                   -      -            
     2.06%  [.] campp_qconv_mac_4x8_intrinsics_raw    qconv_mac_4x8_intrinsics.c:98      -      -            
     1.52%  [.] campp_reference_offset_for_linear     tensor_view.h:117                  -      -            
     1.41%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:700               -      -            
     1.30%  [.] campp_qconv_mac_neon_tile_v2          arm_neon.h:3969                    -      -            
     1.08%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:3181                    -      -            
     0.76%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:615               -      -            
     0.76%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:669               -      -            
     0.76%  [.] output_hash                           campp_operator_microbench.c:418    -      -            
     0.65%  [.] campp_qconv_neon_weight_columns       arm_neon.h:24026                   -      -            
     0.65%  [.] campp_reference_offset_for_linear     reference_kernel_utils.c:62        -      -            
     0.54%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:687               -      -            
     0.43%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:22148                   -      -            
     0.43%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:664               -      -            
     0.43%  [.] campp_qconv_neon_weight_columns       arm_neon.h:4632                    -      -            
     0.43%  [.] output_hash                           campp_operator_microbench.c:385    -      -            
     0.43%  [.] output_hash                           campp_operator_microbench.c:386    -      -            
     0.43%  [.] output_hash                           campp_operator_microbench.c:415    -      -            
     0.43%  [.] output_hash                           campp_operator_microbench.c:417    -      -            
     0.33%  [.] campp_qconv_mac_4x8_try_tile          qconv_mac_4x8.c:133                -      -            
     0.33%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:675               -      -            
     0.33%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:677               -      -            
     0.33%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:98                -      -            
     0.33%  [.] campp_qconv_neon_weight_columns       arm_neon.h:12597                   -      -            
