# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:u'
# Event count (approx.): 388900000
#
# Overhead  Symbol                                    Source:Line                        IPC   [IPC Coverage]
# ........  ........................................  .................................  ....................
#
    32.73%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:3969                    -      -            
     8.05%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:4632                    -      -            
     7.95%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:1605                    -      -            
     4.47%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:12569                   -      -            
     4.24%  [.] campp_qconv_mac_4x8_intrinsics_raw    qconv_mac_4x8_intrinsics.c:14      -      -            
     3.88%  [.] campp_reference_offset_for_linear     reference_kernel_utils.c:64        -      -            
     3.83%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:23756                   -      -            
     3.78%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:4653                    -      -            
     3.24%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:24037                   -      -            
     2.13%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:23767                   -      -            
     2.13%  [.] campp_qconv_mac_4x8_intrinsics_raw    qconv_mac_4x8_intrinsics.c:98      -      -            
     1.67%  [.] campp_reference_offset_for_linear     tensor_view.h:117                  -      -            
     1.34%  [.] campp_qconv_mac_neon_tile_v2          arm_neon.h:3969                    -      -            
     1.23%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:700               -      -            
     1.16%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:3181                    -      -            
     1.11%  [.] campp_reference_offset_for_linear     reference_kernel_utils.c:62        -      -            
     1.03%  [.] output_hash                           campp_operator_microbench.c:385    -      -            
     0.82%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:615               -      -            
     0.72%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:669               -      -            
     0.64%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:664               -      -            
     0.59%  [.] output_hash                           campp_operator_microbench.c:386    -      -            
     0.54%  [.] campp_qconv_neon_weight_columns       qconv_mac_neon.c:126               -      -            
     0.49%  [.] campp_qconv_neon_weight_columns       arm_neon.h:1605                    -      -            
     0.44%  [.] campp_qconv_mac_4x8_try_tile          qconv_mac_4x8.c:128                -      -            
     0.41%  [.] campp_qconv_mac_neon_tile_v2          qconv_mac_neon.c:687               -      -            
     0.41%  [.] output_hash                           campp_operator_microbench.c:418    -      -            
     0.39%  [.] campp_qconv_neon_weight_columns       qconv_mac_neon.c:156               -      -            
     0.36%  [.] campp_qconv_neon_weight_columns       arm_neon.h:24026                   -      -            
     0.36%  [.] output_hash                           campp_operator_microbench.c:384    -      -            
     0.33%  [.] campp_qconv_neon_weight_columns       arm_neon.h:4632                    -      -            
