# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles:u'
# Event count (approx.): 888100000
#
# Overhead  Symbol                                         Source:Line                                 IPC   [IPC Coverage]
# ........  .............................................  ..........................................  ....................
#
    18.27%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:3969                             -      -            
    11.02%  [.] campp_reference_offset_for_linear          reference_kernel_utils.c:64                 -      -            
     6.01%  [.] campp_qconv_mac_neon_half_tile_v2          arm_neon.h:3969                             -      -            
     4.79%  [.] campp_reference_offset_for_linear          tensor_view.h:117                           -      -            
     4.52%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:1605                             -      -            
     3.25%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:4632                             -      -            
     3.07%  [.] campp_qconv_mac_4x8_intrinsics_raw         qconv_mac_4x8_intrinsics.c:98               -      -            
     2.45%  [.] campp_qconv_mac_4x8_intrinsics_raw         qconv_mac_4x8_intrinsics.c:14               -      -            
     2.44%  [.] campp_reference_offset_for_linear          reference_kernel_utils.c:62                 -      -            
     2.25%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:23756                            -      -            
     2.00%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:4653                             -      -            
     1.93%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:12569                            -      -            
     1.64%  [.] output_hash                                campp_operator_microbench.c:385             -      -            
     1.61%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:24037                            -      -            
     1.20%  [.] output_hash                                campp_operator_microbench.c:418             -      -            
     1.13%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:23767                            -      -            
     1.08%  [.] campp_qconv_mac_neon_half_tile_v2          qconv_mac_neon.c:428                        -      -            
     1.05%  [.] output_hash                                campp_operator_microbench.c:386             -      -            
     0.99%  [.] campp_qconv_v4_tile_plan_create            qconv_v4_tile_plan.c:96                     -      -            
     0.93%  [.] campp_reference_offset_for_linear          tensor_view.h:116                           -      -            
     0.91%  [.] campp_qconv_v4_tile_plan_create            qconv_v4_tile_plan.c:9                      -      -            
     0.77%  [.] output_hash                                campp_operator_microbench.c:384             -      -            
     0.74%  [.] campp_qconv_mac_neon_half_tile_v2          qconv_mac_neon.c:435                        -      -            
     0.73%  [.] campp_qconv_mac_neon_half_tile_v2          qconv_mac_neon.c:101                        -      -            
     0.70%  [.] campp_qconv_mac_neon_half_tile_v2          qconv_mac_neon.c:437                        -      -            
     0.69%  [.] campp_qconv_mac_neon_half_tile_v2          qconv_mac_neon.c:436                        -      -            
     0.65%  [.] campp_qconv_v4_tile_plan_create            qconv_v4_tile_plan.c:83                     -      -            
     0.64%  [.] output_hash                                campp_operator_microbench.c:417             -      -            
     0.62%  [.] campp_qconv_mac_4x8_try_tile               qconv_mac_4x8.c:128                         -      -            
     0.57%  [.] campp_qconv_mac_neon_half_tile_v2          arm_neon.h:4653                             -      -            
     0.55%  [.] campp_qconv_mac_4x8_try_tile               qconv_mac_4x8.c:130                         -      -            
     0.53%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:3181                             -      -            
     0.52%  [.] campp_qconv_v4_run                         qconv_v4_dispatch.c:42                      -      -            
     0.48%  [.] campp_qconv_mac_4x8_try_tile               qconv_mac_4x8.c:68                          -      -            
     0.48%  [.] campp_qconv_v4_tile_plan_create            qconv_v4_tile_plan.c:80                     -      -            
     0.47%  [.] campp_qconv_address_input_base             qconv_address_fastpath.c:80                 -      -            
     0.47%  [.] campp_qconv_mac_neon_half_tile_v2          qconv_mac_neon.c:423                        -      -            
     0.47%  [.] 0x00000000000a3194                         libc.so.6[a3194]                            -      -            
     0.43%  [.] campp_qconv_neon_weight_columns            arm_neon.h:1605                             -      -            
     0.43%  [.] campp_qconv_neon_weight_columns            arm_neon.h:24026                            -      -            
     0.42%  [.] campp_qconv_mac_neon_half_tile_v2          qconv_mac_neon.c:92                         -      -            
     0.42%  [.] campp_qconv_neon_weight_columns            qconv_mac_neon.c:126                        -      -            
     0.41%  [.] output_hash                                campp_operator_microbench.c:419             -      -            
     0.39%  [.] campp_qconv_neon_weight_columns            arm_neon.h:3181                             -      -            
     0.35%  [.] campp_qconv_mac_neon_half_tile_v2          qconv_mac_neon.c:102                        -      -            
     0.33%  [.] output_hash                                campp_operator_microbench.c:415             -      -            
     0.32%  [.] campp_qconv_mac_neon_half_tile_v2          qconv_mac_neon.c:434                        -      -            
     0.32%  [.] campp_qconv_v4_store_channel_packed        qconv_store_channel_packed.c:59             -      -            
     0.30%  [.] campp_qconv_neon_weight_columns            qconv_mac_neon.c:152                        -      -            
     0.29%  [.] campp_qconv_neon_weight_columns            arm_neon.h:4632                             -      -            
     0.27%  [.] campp_qconv_address_input_base             qconv_address_fastpath.c:83                 -      -            
     0.27%  [.] campp_reference_offset_for_linear          reference_kernel_utils.c:77                 -      -            
     0.25%  [.] campp_qconv_mac_4x8_try_tile               qconv_mac_4x8.c:129                         -      -            
     0.24%  [.] campp_qconv_mac_4x8_try_tile               qconv_mac_4x8.c:133                         -      -            
     0.24%  [.] campp_qconv_neon_weight_columns            qconv_mac_neon.c:156                        -      -            
     0.24%  [.] campp_qconv_neon_weight_columns            qconv_mac_neon.c:158                        -      -            
     0.24%  [.] campp_qconv_v4_run                         qconv_v4_dispatch.c:154                     -      -            
     0.24%  [.] campp_reference_offset_for_linear          reference_kernel_utils.c:75                 -      -            
     0.23%  [.] campp_qconv_address_input_base             qconv_address_fastpath.c:82                 -      -            
     0.23%  [.] campp_qconv_mac_neon_half_tile_v2          qconv_mac_neon.c:339                        -      -            
     0.21%  [.] campp_qconv_mac_4x8_intrinsics_raw         qconv_mac_4x8_intrinsics.c:94               -      -            
     0.21%  [.] campp_qconv_mac_4x8_try_tile               qconv_mac_4x8.c:61                          -      -            
     0.21%  [.] campp_qconv_mac_neon_half_tile_v2          qconv_mac_neon.c:342                        -      -            
     0.20%  [.] campp_qconv_v4_requantize8_validated       arm_neon.h:10238                            -      -            
     0.20%  [.] campp_qconv_v4_requantize8_validated       arm_neon.h:16333                            -      -            
     0.19%  [.] campp_qconv_neon_weight_columns            arm_neon.h:24037                            -      -            
     0.19%  [.] campp_reference_offset_for_linear          reference_kernel_utils.c:60                 -      -            
