# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles:u'
# Event count (approx.): 452800000
#
# Overhead  Symbol                                    Source:Line                                 IPC   [IPC Coverage]
# ........  ........................................  ..........................................  ....................
#
    16.30%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:3969                             -      -            
    11.09%  [.] campp_reference_offset_for_linear     reference_kernel_utils.c:64                 -      -            
     8.57%  [.] campp_qconv_mac_neon_half_tile_v2     arm_neon.h:3969                             -      -            
     4.59%  [.] campp_reference_offset_for_linear     tensor_view.h:117                           -      -            
     3.67%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:1605                             -      -            
     2.98%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:4632                             -      -            
     2.23%  [.] campp_qconv_mac_4x8_intrinsics_raw    qconv_mac_4x8_intrinsics.c:14               -      -            
     2.05%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:23756                            -      -            
     1.99%  [.] campp_reference_offset_for_linear     reference_kernel_utils.c:62                 -      -            
     1.94%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:4653                             -      -            
     1.79%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:12569                            -      -            
     1.59%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:24037                            -      -            
     1.48%  [.] campp_qconv_mac_neon_half_tile_v2     qconv_mac_neon.c:428                        -      -            
     1.35%  [.] output_hash                           campp_operator_microbench.c:385             -      -            
     1.35%  [.] output_hash                           campp_operator_microbench.c:418             -      -            
     1.24%  [.] campp_qconv_mac_4x8_intrinsics_raw    qconv_mac_4x8_intrinsics.c:98               -      -            
     1.04%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:23767                            -      -            
     0.99%  [.] campp_qconv_mac_neon_half_tile_v2     qconv_mac_neon.c:436                        -      -            
     0.99%  [.] campp_qconv_mac_neon_half_tile_v2     qconv_mac_neon.c:437                        -      -            
     0.99%  [.] campp_qconv_v4_tile_plan_create       qconv_v4_tile_plan.c:9                      -      -            
     0.99%  [.] output_hash                           campp_operator_microbench.c:386             -      -            
     0.95%  [.] campp_qconv_mac_neon_half_tile_v2     qconv_mac_neon.c:423                        -      -            
     0.95%  [.] campp_qconv_mac_neon_half_tile_v2     qconv_mac_neon.c:435                        -      -            
     0.93%  [.] campp_qconv_mac_neon_half_tile_v2     arm_neon.h:4653                             -      -            
     0.86%  [.] output_hash                           campp_operator_microbench.c:384             -      -            
     0.82%  [.] campp_qconv_v4_tile_plan_create       qconv_v4_tile_plan.c:96                     -      -            
     0.82%  [.] campp_reference_offset_for_linear     tensor_view.h:116                           -      -            
     0.75%  [.] campp_qconv_address_input_base        qconv_address_fastpath.c:80                 -      -            
     0.71%  [.] campp_qconv_neon_weight_columns       arm_neon.h:24026                            -      -            
     0.60%  [.] campp_qconv_mac_4x8_try_tile          qconv_mac_4x8.c:128                         -      -            
     0.60%  [.] campp_qconv_neon_weight_columns       arm_neon.h:1605                             -      -            
     0.60%  [.] campp_qconv_v4_run                    qconv_v4_dispatch.c:42                      -      -            
     0.57%  [.] output_hash                           campp_operator_microbench.c:417             -      -            
     0.55%  [.] campp_qconv_v4_tile_plan_create       qconv_v4_tile_plan.c:83                     -      -            
     0.53%  [.] campp_qconv_neon_weight_columns       arm_neon.h:4632                             -      -            
     0.53%  [.] campp_qconv_neon_weight_columns       qconv_mac_neon.c:126                        -      -            
     0.49%  [.] campp_qconv_mac_neon_half_tile_v2     qconv_mac_neon.c:342                        -      -            
     0.49%  [.] campp_qconv_neon_weight_columns       qconv_mac_neon.c:152                        -      -            
     0.49%  [.] campp_qconv_v4_tile_plan_create       qconv_v4_tile_plan.c:80                     -      -            
     0.44%  [.] campp_qconv_mac_4x8_intrinsics_raw    arm_neon.h:3181                             -      -            
     0.44%  [.] campp_qconv_neon_weight_columns       arm_neon.h:3181                             -      -            
     0.42%  [.] campp_reference_offset_for_linear     reference_kernel_utils.c:77                 -      -            
     0.40%  [.] campp_qconv_mac_4x8_try_tile          qconv_mac_4x8.c:68                          -      -            
     0.40%  [.] campp_qconv_neon_weight_columns       qconv_mac_neon.c:156                        -      -            
     0.40%  [.] campp_qconv_v4_tile_plan_create       qconv_v4_tile_plan.c:122                    -      -            
     0.38%  [.] campp_qconv_address_input_base        qconv_address_fastpath.c:82                 -      -            
     0.38%  [.] campp_qconv_mac_4x8_try_tile          qconv_mac_4x8.c:130                         -      -            
     0.35%  [.] campp_qconv_neon_weight_columns       arm_neon.h:12597                            -      -            
     0.35%  [.] campp_qconv_neon_weight_columns       arm_neon.h:24037                            -      -            
     0.33%  [.] campp_qconv_mac_neon_half_tile_v2     qconv_mac_neon.c:102                        -      -            
     0.33%  [.] campp_qconv_mac_neon_half_tile_v2     qconv_mac_neon.c:434                        -      -            
     0.33%  [.] campp_reference_offset_for_linear     reference_kernel_utils.c:60                 -      -            
     0.33%  [.] output_hash                           campp_operator_microbench.c:415             -      -            
     0.31%  [.] campp_qconv_mac_neon_half_tile_v2     qconv_mac_neon.c:101                        -      -            
     0.31%  [.] campp_qconv_neon_weight_columns       qconv_mac_neon.c:158                        -      -            
     0.29%  [.] campp_qconv_mac_neon_half_tile_v2     qconv_mac_neon.c:92                         -      -            
     0.27%  [.] campp_qconv_neon_weight_columns       qconv_mac_neon.c:114                        -      -            
     0.27%  [.] campp_reference_offset_for_linear     reference_kernel_utils.c:75                 -      -            
     0.27%  [.] output_hash                           campp_operator_microbench.c:419             -      -            
     0.24%  [.] campp_qconv_address_input_base        qconv_address_fastpath.c:83                 -      -            
     0.24%  [.] campp_qconv_v4_tile_plan_create       qconv_v4_tile_plan.c:10                     -      -            
     0.22%  [.] campp_qconv_address_input_base        qconv_address_fastpath.c:79                 -      -            
     0.22%  [.] campp_qconv_mac_4x8_try_tile          qconv_mac_4x8.c:129                         -      -            
     0.22%  [.] campp_qconv_mac_neon_half_tile_v2     qconv_mac_neon.c:339                        -      -            
     0.22%  [.] campp_qconv_v4_requantize8_validated  arm_neon.h:324                              -      -            
     0.22%  [.] 0x00000000000a4098                    libc.so.6[a4098]                            -      -            
     0.20%  [.] campp_qconv_address_input_base        qconv_address_fastpath.c:92                 -      -            
     0.20%  [.] campp_qconv_neon_weight_columns       arm_neon.h:23767                            -      -            
     0.20%  [.] campp_qconv_v4_requantize8_validated  arm_neon.h:10238                            -      -            
     0.20%  [.] campp_qconv_v4_requantize8_validated  arm_neon.h:10805                            -      -            
     0.20%  [.] campp_qconv_v4_requantize8_validated  arm_neon.h:18408                            -      -            
     0.20%  [.] campp_qconv_v4_run                    qconv_v4_dispatch.c:154                     -      -            
     0.20%  [.] campp_qconv_v4_store_channel_packed   qconv_store_channel_packed.c:72             -      -            
     0.18%  [.] campp_qconv_mac_4x8_intrinsics_raw    qconv_mac_4x8_intrinsics.c:94               -      -            
     0.18%  [.] campp_qconv_mac_4x8_try_tile          qconv_mac_4x8.c:133                         -      -            
     0.18%  [.] campp_qconv_mac_4x8_try_tile          qconv_mac_4x8.c:61                          -      -            
     0.18%  [.] campp_qconv_mac_neon_half_tile_v2     arm_neon.h:1605                             -      -            
     0.18%  [.] campp_qconv_mac_neon_half_tile_v2     qconv_mac_neon.c:426                        -      -            
