# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 917  of event 'cycles:u'
# Event count (approx.): 91700000
#
# Overhead  Symbol                                        Source:Line                        IPC   [IPC Coverage]
# ........  ............................................  .................................  ....................
#
    32.93%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:3969                    -      -            
     8.40%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:4632                    -      -            
     6.76%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:1605                    -      -            
     4.47%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:23756                   -      -            
     4.36%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:12569                   -      -            
     4.03%  [.] campp_qconv_mac_4x8_intrinsics_raw        qconv_mac_4x8_intrinsics.c:14      -      -            
     3.93%  [.] campp_reference_offset_for_linear         reference_kernel_utils.c:64        -      -            
     3.27%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:4653                    -      -            
     2.94%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:24037                   -      -            
     2.18%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:23767                   -      -            
     2.07%  [.] campp_qconv_mac_neon_tile_v2              arm_neon.h:3969                    -      -            
     1.74%  [.] campp_qconv_mac_4x8_intrinsics_raw        qconv_mac_4x8_intrinsics.c:98      -      -            
     1.74%  [.] campp_reference_offset_for_linear         tensor_view.h:117                  -      -            
     1.64%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:3181                    -      -            
     1.09%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:700               -      -            
     1.09%  [.] campp_reference_offset_for_linear         reference_kernel_utils.c:62        -      -            
     0.87%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:615               -      -            
     0.76%  [.] campp_qconv_neon_weight_columns           arm_neon.h:24026                   -      -            
     0.76%  [.] output_hash                               campp_operator_microbench.c:385    -      -            
     0.65%  [.] campp_reference_offset_for_linear         tensor_view.h:116                  -      -            
     0.55%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:669               -      -            
     0.55%  [.] campp_qconv_neon_weight_columns           arm_neon.h:4632                    -      -            
     0.55%  [.] campp_qconv_neon_weight_columns           qconv_mac_neon.c:126               -      -            
     0.55%  [.] output_hash                               campp_operator_microbench.c:418    -      -            
     0.44%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:677               -      -            
     0.44%  [.] campp_qconv_neon_weight_columns           arm_neon.h:12597                   -      -            
     0.44%  [.] campp_qconv_neon_weight_columns           arm_neon.h:1605                    -      -            
     0.44%  [.] campp_qconv_neon_weight_columns           qconv_mac_neon.c:152               -      -            
     0.44%  [.] output_hash                               campp_operator_microbench.c:386    -      -            
     0.33%  [.] campp_qconv_mac_4x8_intrinsics_validated  qconv_mac_4x8.c:127                -      -            
     0.33%  [.] campp_qconv_mac_4x8_intrinsics_validated  qconv_mac_4x8.c:128                -      -            
     0.33%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:664               -      -            
     0.33%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:687               -      -            
     0.33%  [.] campp_qconv_neon_weight_columns           qconv_mac_neon.c:156               -      -            
     0.33%  [.] output_hash                               campp_operator_microbench.c:415    -      -            
     0.33%  [.] output_hash                               campp_operator_microbench.c:417    -      -            
     0.33%  [.] 0x00000000000a4098                        libc.so.6[a4098]                   -      -            
