# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:u'
# Event count (approx.): 386400000
#
# Overhead  Symbol                                        Source:Line                      IPC   [IPC Coverage]
# ........  ............................................  ...............................  ....................
#
    32.07%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:3969                  -      -            
     8.51%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:1605                  -      -            
     7.25%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:4632                  -      -            
     4.71%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:12569                 -      -            
     4.30%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:23756                 -      -            
     4.17%  [.] campp_qconv_mac_4x8_intrinsics_raw        qconv_mac_4x8_intrinsics.c:14    -      -            
     3.96%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:4653                  -      -            
     3.86%  [.] campp_reference_offset_for_linear         reference_kernel_utils.c:64      -      -            
     3.13%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:24037                 -      -            
     2.69%  [.] campp_qconv_mac_4x8_intrinsics_raw        qconv_mac_4x8_intrinsics.c:98    -      -            
     1.79%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:23767                 -      -            
     1.76%  [.] campp_reference_offset_for_linear         tensor_view.h:117                -      -            
     1.37%  [.] campp_qconv_mac_neon_tile_v2              arm_neon.h:3969                  -      -            
     1.37%  [.] output_hash                               campp_operator_microbench.c:385  -      -            
     1.32%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:700             -      -            
     1.24%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:3181                  -      -            
     1.01%  [.] campp_reference_offset_for_linear         reference_kernel_utils.c:62      -      -            
     0.80%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:669             -      -            
     0.65%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:615             -      -            
     0.54%  [.] output_hash                               campp_operator_microbench.c:418  -      -            
     0.49%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:664             -      -            
     0.47%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:677             -      -            
     0.47%  [.] campp_qconv_neon_weight_columns           arm_neon.h:4632                  -      -            
     0.47%  [.] campp_reference_offset_for_linear         tensor_view.h:116                -      -            
     0.39%  [.] campp_qconv_neon_weight_columns           arm_neon.h:12597                 -      -            
     0.39%  [.] campp_qconv_neon_weight_columns           qconv_mac_neon.c:158             -      -            
     0.36%  [.] campp_qconv_mac_4x8_intrinsics_validated  qconv_mac_4x8.c:126              -      -            
     0.36%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:687             -      -            
     0.36%  [.] campp_qconv_neon_weight_columns           arm_neon.h:24026                 -      -            
     0.36%  [.] campp_qconv_neon_weight_columns           qconv_mac_neon.c:126             -      -            
     0.36%  [.] output_hash                               campp_operator_microbench.c:386  -      -            
     0.31%  [.] output_hash                               campp_operator_microbench.c:384  -      -            
     0.26%  [.] campp_qconv_mac_4x8_intrinsics_validated  qconv_mac_4x8.c:128              -      -            
     0.26%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:98              -      -            
     0.26%  [.] campp_qconv_neon_weight_columns           qconv_mac_neon.c:156             -      -            
     0.26%  [.] campp_reference_read_f32                  reference_kernel_utils.c:151     -      -            
     0.21%  [.] campp_qconv_neon_weight_columns           arm_neon.h:1605                  -      -            
     0.21%  [.] campp_qconv_neon_weight_columns           arm_neon.h:24037                 -      -            
     0.21%  [.] campp_qconv_neon_weight_columns           arm_neon.h:3181                  -      -            
     0.21%  [.] campp_qconv_v4_run                        qconv_v4_dispatch.c:42           -      -            
     0.21%  [.] campp_reference_read_quantized            reference_kernel_utils.c:186     -      -            
     0.21%  [.] output_hash                               campp_operator_microbench.c:417  -      -            
     0.18%  [.] campp_qconv_neon_weight_columns           qconv_mac_neon.c:152             -      -            
     0.18%  [.] campp_qconv_v4_store_channel_packed       qconv_store_channel_packed.c:59  -      -            
     0.16%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:675             -      -            
     0.16%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:92              -      -            
     0.16%  [.] campp_qconv_neon_weight_columns           arm_neon.h:23767                 -      -            
     0.16%  [.] campp_qconv_v4_requantize8_validated      arm_neon.h:22062                 -      -            
     0.16%  [.] campp_reference_offset_for_linear         reference_kernel_utils.c:75      -      -            
     0.16%  [.] output_hash                               campp_operator_microbench.c:419  -      -            
     0.13%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:22148                 -      -            
     0.13%  [.] campp_qconv_mac_4x8_intrinsics_raw        qconv_mac_4x8_intrinsics.c:145   -      -            
     0.13%  [.] campp_qconv_mac_4x8_intrinsics_validated  qconv_mac_4x8.c:131              -      -            
     0.13%  [.] campp_qconv_mac_neon_tile_v2              arm_neon.h:4653                  -      -            
     0.13%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:689             -      -            
     0.13%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:694             -      -            
     0.13%  [.] campp_qconv_neon_weight_columns           qconv_mac_neon.c:114             -      -            
     0.13%  [.] campp_qconv_v4_store_channel_packed       qconv_store_channel_packed.c:89  -      -            
     0.13%  [.] output_hash                               campp_operator_microbench.c:415  -      -            
     0.13%  [.] 0x00000000000a3188                        libc.so.6[a3188]                 -      -            
     0.13%  [.] 0x00000000000a4098                        libc.so.6[a4098]                 -      -            
     0.10%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:102             -      -            
     0.10%  [.] campp_qconv_v4_run                        qconv_v4_dispatch.c:161          -      -            
     0.10%  [.] campp_qconv_v4_tile_plan_create           qconv_v4_tile_plan.c:136         -      -            
     0.08%  [.] campp_qconv_mac_4x8_intrinsics_validated  qconv_mac_4x8.c:123              -      -            
     0.08%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:667             -      -            
     0.08%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:678             -      -            
     0.08%  [.] campp_qconv_v4_requantize8_validated      arm_neon.h:10805                 -      -            
     0.08%  [.] campp_qconv_v4_requantize8_validated      arm_neon.h:12531                 -      -            
     0.08%  [.] campp_qconv_v4_requantize8_validated      arm_neon.h:18408                 -      -            
     0.08%  [.] campp_qconv_v4_requantize8_validated      arm_neon.h:996                   -      -            
     0.08%  [.] campp_qconv_v4_requantize8_validated      qconv_requant_neon8.c:67         -      -            
     0.08%  [.] campp_qconv_v4_store_channel_packed       qconv_store_channel_packed.c:60  -      -            
     0.08%  [.] 0x00000000000a3080                        libc.so.6[a3080]                 -      -            
     0.08%  [.] 0x00000000000a4094                        libc.so.6[a4094]                 -      -            
     0.05%  [.] campp_qconv_address_output_tile           qconv_address_fastpath.c:46      -      -            
     0.05%  [.] campp_qconv_address_output_tile           qconv_address_fastpath.c:48      -      -            
     0.05%  [.] campp_qconv_mac_4x8_intrinsics_validated  qconv_mac_4x8.c:127              -      -            
     0.05%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:612             -      -            
     0.05%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:683             -      -            
     0.05%  [.] campp_qconv_v4_parameters_load            qconv_v4_parameters.c:42         -      -            
     0.05%  [.] campp_qconv_v4_requantize8_validated      arm_neon.h:15594                 -      -            
     0.05%  [.] campp_qconv_v4_requantize8_validated      qconv_requant_neon8.c:50         -      -            
     0.05%  [.] campp_qconv_v4_requantize8_validated      qconv_requant_neon8.c:63         -      -            
