# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:u'
# Event count (approx.): 385900000
#
# Overhead  Symbol                                        Source:Line                        IPC   [IPC Coverage]
# ........  ............................................  .................................  ....................
#
    33.27%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:3969                    -      -            
     8.16%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:1605                    -      -            
     7.26%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:4632                    -      -            
     4.33%  [.] campp_qconv_mac_4x8_intrinsics_raw        qconv_mac_4x8_intrinsics.c:14      -      -            
     4.25%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:12569                   -      -            
     4.20%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:23756                   -      -            
     3.94%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:4653                    -      -            
     3.58%  [.] campp_reference_offset_for_linear         reference_kernel_utils.c:64        -      -            
     2.93%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:24037                   -      -            
     2.18%  [.] campp_qconv_mac_4x8_intrinsics_raw        qconv_mac_4x8_intrinsics.c:98      -      -            
     2.00%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:23767                   -      -            
     1.61%  [.] output_hash                               campp_operator_microbench.c:385    -      -            
     1.53%  [.] campp_qconv_mac_neon_tile_v2              arm_neon.h:3969                    -      -            
     1.45%  [.] campp_reference_offset_for_linear         tensor_view.h:117                  -      -            
     1.19%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:3181                    -      -            
     1.11%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:700               -      -            
     1.04%  [.] campp_reference_offset_for_linear         reference_kernel_utils.c:62        -      -            
     0.78%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:669               -      -            
     0.57%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:615               -      -            
     0.57%  [.] campp_qconv_neon_weight_columns           arm_neon.h:24026                   -      -            
     0.54%  [.] output_hash                               campp_operator_microbench.c:384    -      -            
     0.52%  [.] output_hash                               campp_operator_microbench.c:418    -      -            
     0.49%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:687               -      -            
     0.47%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:664               -      -            
     0.44%  [.] campp_qconv_mac_4x8_intrinsics_validated  qconv_mac_4x8.c:128                -      -            
     0.44%  [.] campp_qconv_neon_weight_columns           qconv_mac_neon.c:156               -      -            
     0.41%  [.] campp_qconv_neon_weight_columns           qconv_mac_neon.c:126               -      -            
     0.41%  [.] output_hash                               campp_operator_microbench.c:386    -      -            
     0.36%  [.] campp_qconv_neon_weight_columns           arm_neon.h:12597                   -      -            
     0.34%  [.] campp_qconv_mac_4x8_intrinsics_validated  qconv_mac_4x8.c:126                -      -            
     0.34%  [.] campp_qconv_neon_weight_columns           arm_neon.h:4632                    -      -            
     0.31%  [.] campp_reference_offset_for_linear         tensor_view.h:116                  -      -            
     0.29%  [.] 0x00000000000a3188                        libc.so.6[a3188]                   -      -            
     0.26%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:677               -      -            
     0.26%  [.] campp_reference_read_f32                  reference_kernel_utils.c:151       -      -            
     0.21%  [.] campp_qconv_mac_neon_tile_v2              arm_neon.h:4653                    -      -            
     0.21%  [.] campp_qconv_neon_weight_columns           arm_neon.h:1605                    -      -            
     0.21%  [.] campp_reference_offset_for_linear         reference_kernel_utils.c:77        -      -            
     0.18%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:694               -      -            
     0.18%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:98                -      -            
