# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 917  of event 'cycles:u'
# Event count (approx.): 91700000
#
# Overhead  Symbol                                         Source:Line                      IPC   [IPC Coverage]
# ........  .............................................  ...............................  ....................
#
    34.02%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:3969                  -      -            
     7.74%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:1605                  -      -            
     6.11%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:4632                  -      -            
     5.02%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:4653                  -      -            
     4.69%  [.] campp_qconv_mac_4x8_intrinsics_raw         qconv_mac_4x8_intrinsics.c:14    -      -            
     4.25%  [.] campp_reference_offset_for_linear          reference_kernel_utils.c:64      -      -            
     3.60%  [.] campp_qconv_mac_4x8_intrinsics_raw         qconv_mac_4x8_intrinsics.c:98    -      -            
     3.49%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:12569                 -      -            
     3.05%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:24037                 -      -            
     2.94%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:23756                 -      -            
     2.40%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:23767                 -      -            
     1.64%  [.] campp_qconv_mac_neon_tile_v2               arm_neon.h:3969                  -      -            
     1.64%  [.] campp_qconv_mac_neon_tile_v2               qconv_mac_neon.c:700             -      -            
     1.64%  [.] campp_reference_offset_for_linear          tensor_view.h:117                -      -            
     1.31%  [.] campp_qconv_mac_4x8_intrinsics_raw         arm_neon.h:3181                  -      -            
     1.31%  [.] campp_reference_offset_for_linear          reference_kernel_utils.c:62      -      -            
     0.76%  [.] campp_qconv_mac_neon_tile_v2               qconv_mac_neon.c:615             -      -            
     0.76%  [.] campp_qconv_mac_neon_tile_v2               qconv_mac_neon.c:669             -      -            
     0.76%  [.] output_hash                                campp_operator_microbench.c:386  -      -            
     0.65%  [.] campp_qconv_mac_neon_tile_v2               qconv_mac_neon.c:687             -      -            
     0.55%  [.] campp_qconv_mac_neon_tile_v2               qconv_mac_neon.c:664             -      -            
     0.55%  [.] campp_qconv_neon_weight_columns            arm_neon.h:24026                 -      -            
     0.55%  [.] campp_qconv_neon_weight_columns            qconv_mac_neon.c:126             -      -            
     0.55%  [.] output_hash                                campp_operator_microbench.c:385  -      -            
     0.44%  [.] campp_qconv_mac_neon_tile_v2               qconv_mac_neon.c:694             -      -            
     0.44%  [.] 0x00000000000a4098                         libc.so.6[a4098]                 -      -            
     0.33%  [.] campp_qconv_mac_neon_tile_v2               qconv_mac_neon.c:675             -      -            
     0.33%  [.] campp_qconv_mac_neon_tile_v2               qconv_mac_neon.c:677             -      -            
     0.33%  [.] campp_qconv_mac_neon_tile_v2               qconv_mac_neon.c:678             -      -            
     0.33%  [.] campp_qconv_mac_neon_tile_v2               qconv_mac_neon.c:98              -      -            
     0.33%  [.] campp_qconv_neon_weight_columns            arm_neon.h:1605                  -      -            
     0.33%  [.] campp_reference_offset_for_linear          tensor_view.h:116                -      -            
     0.33%  [.] output_hash                                campp_operator_microbench.c:384  -      -            
     0.33%  [.] output_hash                                campp_operator_microbench.c:418  -      -            
     0.22%  [.] campp_qconv_mac_4x8_intrinsics_validated   qconv_mac_4x8.c:126              -      -            
     0.22%  [.] campp_qconv_mac_neon_tile_v2               qconv_mac_neon.c:101             -      -            
