# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 919  of event 'cycles:u'
# Event count (approx.): 91900000
#
# Overhead  Symbol                                        Source:Line                      IPC   [IPC Coverage]
# ........  ............................................  ...............................  ....................
#
    33.51%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:3969                  -      -            
     8.60%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:1605                  -      -            
     6.75%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:4632                  -      -            
     5.01%  [.] campp_reference_offset_for_linear         reference_kernel_utils.c:64      -      -            
     4.68%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:23756                 -      -            
     4.24%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:12569                 -      -            
     3.92%  [.] campp_qconv_mac_4x8_intrinsics_raw        qconv_mac_4x8_intrinsics.c:14    -      -            
     3.16%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:4653                  -      -            
     3.16%  [.] campp_qconv_mac_4x8_intrinsics_raw        qconv_mac_4x8_intrinsics.c:98    -      -            
     3.05%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:24037                 -      -            
     1.85%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:23767                 -      -            
     1.52%  [.] campp_qconv_mac_neon_tile_v2              arm_neon.h:3969                  -      -            
     1.41%  [.] campp_reference_offset_for_linear         tensor_view.h:117                -      -            
     1.09%  [.] campp_qconv_neon_weight_columns           arm_neon.h:4632                  -      -            
     0.87%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:615             -      -            
     0.87%  [.] output_hash                               campp_operator_microbench.c:384  -      -            
     0.65%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:3181                  -      -            
     0.65%  [.] campp_qconv_neon_weight_columns           qconv_mac_neon.c:152             -      -            
     0.65%  [.] output_hash                               campp_operator_microbench.c:385  -      -            
     0.54%  [.] campp_qconv_mac_4x8_intrinsics_validated  qconv_mac_4x8.c:126              -      -            
     0.54%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:669             -      -            
     0.54%  [.] campp_qconv_neon_weight_columns           arm_neon.h:23767                 -      -            
     0.54%  [.] campp_reference_offset_for_linear         reference_kernel_utils.c:62      -      -            
     0.44%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:677             -      -            
     0.44%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:700             -      -            
     0.44%  [.] campp_qconv_neon_weight_columns           arm_neon.h:12597                 -      -            
     0.44%  [.] campp_qconv_neon_weight_columns           qconv_mac_neon.c:156             -      -            
     0.44%  [.] output_hash                               campp_operator_microbench.c:417  -      -            
     0.33%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:101             -      -            
     0.33%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:664             -      -            
     0.33%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:694             -      -            
     0.33%  [.] campp_qconv_neon_weight_columns           arm_neon.h:24026                 -      -            
     0.33%  [.] campp_qconv_neon_weight_columns           arm_neon.h:24037                 -      -            
     0.33%  [.] campp_qconv_v4_store_channel_packed       qconv_store_channel_packed.c:59  -      -            
     0.33%  [.] output_hash                               campp_operator_microbench.c:386  -      -            
     0.22%  [.] campp_qconv_mac_4x8_intrinsics_raw        qconv_mac_4x8_intrinsics.c:94    -      -            
     0.22%  [.] campp_qconv_mac_4x8_intrinsics_validated  qconv_mac_4x8.c:127              -      -            
     0.22%  [.] campp_qconv_mac_4x8_intrinsics_validated  qconv_mac_4x8.c:128              -      -            
     0.22%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:667             -      -            
     0.22%  [.] campp_qconv_mac_neon_tile_v2              qconv_mac_neon.c:675             -      -            
     0.22%  [.] campp_qconv_neon_weight_columns           arm_neon.h:1605                  -      -            
     0.22%  [.] campp_qconv_neon_weight_columns           qconv_mac_neon.c:114             -      -            
     0.22%  [.] campp_qconv_neon_weight_columns           qconv_mac_neon.c:158             -      -            
     0.22%  [.] campp_qconv_v4_run                        qconv_v4_dispatch.c:161          -      -            
     0.22%  [.] campp_reference_offset_for_linear         reference_kernel_utils.c:75      -      -            
     0.22%  [.] campp_reference_offset_for_linear         reference_kernel_utils.c:77      -      -            
     0.22%  [.] campp_reference_offset_for_linear         tensor_view.h:116                -      -            
     0.22%  [.] output_hash                               campp_operator_microbench.c:418  -      -            
     0.22%  [.] 0x00000000000a3188                        libc.so.6[a3188]                 -      -            
     0.11%  [.] campp_qconv_address_output_tile           qconv_address_fastpath.c:45      -      -            
     0.11%  [.] campp_qconv_address_plan_create           qconv_address_fastpath.c:14      -      -            
     0.11%  [.] campp_qconv_mac_4x8_intrinsics_raw        arm_neon.h:22148                 -      -            
     0.11%  [.] campp_qconv_mac_4x8_intrinsics_raw        qconv_mac_4x8_intrinsics.c:107   -      -            
     0.11%  [.] campp_qconv_mac_4x8_intrinsics_raw        qconv_mac_4x8_intrinsics.c:83    -      -            
