# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles:u'
# Event count (approx.): 881500000
#
# Overhead  Symbol                                             Source:Line                                 IPC   [IPC Coverage]
# ........  .................................................  ..........................................  ....................
#
    17.58%  [.] campp_qconv_mac_4x8_intrinsics_raw             arm_neon.h:3969                             -      -            
    11.63%  [.] campp_reference_offset_for_linear              reference_kernel_utils.c:64                 -      -            
     6.70%  [.] campp_qconv_mac_neon_half_tile_v2              arm_neon.h:3969                             -      -            
     5.05%  [.] campp_qconv_mac_4x8_intrinsics_raw             arm_neon.h:1605                             -      -            
     4.86%  [.] campp_reference_offset_for_linear              tensor_view.h:117                           -      -            
     3.14%  [.] campp_qconv_mac_4x8_intrinsics_raw             qconv_mac_4x8_intrinsics.c:98               -      -            
     2.98%  [.] campp_qconv_mac_4x8_intrinsics_raw             arm_neon.h:4632                             -      -            
     2.44%  [.] campp_reference_offset_for_linear              reference_kernel_utils.c:62                 -      -            
     2.35%  [.] campp_qconv_mac_4x8_intrinsics_raw             arm_neon.h:4653                             -      -            
     2.23%  [.] campp_qconv_mac_4x8_intrinsics_raw             arm_neon.h:23756                            -      -            
     2.20%  [.] campp_qconv_mac_4x8_intrinsics_raw             qconv_mac_4x8_intrinsics.c:14               -      -            
     1.82%  [.] campp_qconv_mac_4x8_intrinsics_raw             arm_neon.h:24037                            -      -            
     1.80%  [.] campp_qconv_mac_4x8_intrinsics_raw             arm_neon.h:12569                            -      -            
     1.54%  [.] output_hash                                    campp_operator_microbench.c:385             -      -            
     1.21%  [.] campp_qconv_mac_neon_half_tile_v2              qconv_mac_neon.c:428                        -      -            
     1.16%  [.] output_hash                                    campp_operator_microbench.c:418             -      -            
     1.06%  [.] output_hash                                    campp_operator_microbench.c:386             -      -            
     0.99%  [.] campp_qconv_mac_4x8_intrinsics_raw             arm_neon.h:23767                            -      -            
     0.99%  [.] campp_qconv_v4_tile_plan_create                qconv_v4_tile_plan.c:9                      -      -            
     0.83%  [.] campp_qconv_mac_neon_half_tile_v2              qconv_mac_neon.c:437                        -      -            
     0.81%  [.] campp_qconv_mac_neon_half_tile_v2              qconv_mac_neon.c:101                        -      -            
     0.81%  [.] output_hash                                    campp_operator_microbench.c:384             -      -            
     0.78%  [.] campp_qconv_mac_neon_half_tile_v2              qconv_mac_neon.c:436                        -      -            
     0.76%  [.] campp_qconv_v4_tile_plan_create                qconv_v4_tile_plan.c:96                     -      -            
     0.71%  [.] campp_qconv_mac_4x8_intrinsics_raw             arm_neon.h:3181                             -      -            
     0.71%  [.] campp_reference_offset_for_linear              tensor_view.h:116                           -      -            
     0.70%  [.] campp_qconv_mac_4x8_intrinsics_validated       qconv_mac_4x8.c:126                         -      -            
     0.68%  [.] campp_qconv_mac_neon_half_tile_v2              qconv_mac_neon.c:435                        -      -            
     0.62%  [.] output_hash                                    campp_operator_microbench.c:417             -      -            
     0.54%  [.] campp_qconv_mac_neon_half_tile_v2              arm_neon.h:4653                             -      -            
     0.53%  [.] campp_qconv_address_input_base                 qconv_address_fastpath.c:80                 -      -            
     0.53%  [.] campp_qconv_neon_weight_columns                arm_neon.h:24026                            -      -            
     0.53%  [.] campp_qconv_v4_tile_plan_create                qconv_v4_tile_plan.c:80                     -      -            
     0.51%  [.] campp_qconv_v4_tile_plan_create                qconv_v4_tile_plan.c:83                     -      -            
     0.50%  [.] 0x00000000000a3194                             libc.so.6[a3194]                            -      -            
     0.48%  [.] campp_qconv_mac_neon_half_tile_v2              qconv_mac_neon.c:423                        -      -            
     0.42%  [.] campp_qconv_mac_neon_half_tile_v2              qconv_mac_neon.c:102                        -      -            
     0.42%  [.] campp_qconv_v4_run                             qconv_v4_dispatch.c:42                      -      -            
     0.40%  [.] campp_qconv_mac_4x8_intrinsics_validated       qconv_mac_4x8.c:128                         -      -            
