# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 18K of event 'cycles:u'
# Event count (approx.): 1844400000
#
# Overhead  Symbol                                        Source:Line                      IPC   [IPC Coverage]
# ........  ............................................  ...............................  ....................
#
    27.82%  [.] campp_qconv_mac_neon_half_tile_v2         arm_neon.h:3969                  -      -            
     5.43%  [.] campp_reference_offset_for_linear         reference_kernel_utils.c:64      -      -            
     4.35%  [.] campp_qconv_mac_neon_half_tile_v2         qconv_mac_neon.c:100             -      -            
     4.01%  [.] campp_qconv_mac_neon_half_tile_v2         qconv_mac_neon.c:427             -      -            
     3.04%  [.] campp_qconv_mac_neon_half_tile_v2         qconv_mac_neon.c:434             -      -            
     2.96%  [.] campp_qconv_mac_neon_half_tile_v2         qconv_mac_neon.c:436             -      -            
     2.94%  [.] campp_qconv_mac_neon_half_tile_v2         qconv_mac_neon.c:435             -      -            
     2.71%  [.] campp_qconv_mac_neon_half_tile_v2         arm_neon.h:4653                  -      -            
     2.34%  [.] campp_reference_offset_for_linear         tensor_view.h:117                -      -            
     2.22%  [.] campp_qconv_address_input_base            tensor_view.h:117                -      -            
     2.11%  [.] campp_qconv_mac_neon_half_tile_v2         qconv_mac_neon.c:422             -      -            
     1.89%  [.] campp_qconv_neon_weight_columns           arm_neon.h:24026                 -      -            
     1.65%  [.] campp_qconv_address_input_base            qconv_address_fastpath.c:80      -      -            
     1.60%  [.] campp_qconv_mac_neon_half_tile_v2         qconv_mac_neon.c:433             -      -            
     1.43%  [.] campp_qconv_mac_neon_half_tile_v2         qconv_mac_neon.c:101             -      -            
     1.32%  [.] campp_qconv_neon_weight_columns           arm_neon.h:4632                  -      -            
     1.32%  [.] campp_reference_offset_for_linear         reference_kernel_utils.c:62      -      -            
     1.30%  [.] campp_qconv_neon_weight_columns           arm_neon.h:1605                  -      -            
     1.27%  [.] campp_qconv_neon_weight_columns           qconv_mac_neon.c:155             -      -            
     1.24%  [.] campp_qconv_mac_neon_half_tile_v2         qconv_mac_neon.c:91              -      -            
     1.23%  [.] campp_qconv_neon_weight_columns           arm_neon.h:3181                  -      -            
     1.13%  [.] campp_qconv_neon_weight_columns           qconv_mac_neon.c:151             -      -            
     1.10%  [.] campp_qconv_address_input_base            qconv_address_fastpath.c:82      -      -            
     1.00%  [.] campp_qconv_neon_weight_columns           qconv_mac_neon.c:125             -      -            
     0.98%  [.] campp_qconv_mac_neon_half_tile_v2         qconv_mac_neon.c:341             -      -            
     0.93%  [.] campp_qconv_address_input_base            tensor_view.h:116                -      -            
     0.84%  [.] campp_qconv_neon_weight_columns           arm_neon.h:12597                 -      -            
     0.82%  [.] campp_qconv_mac_neon_half_tile_v2         qconv_mac_neon.c:338             -      -            
     0.78%  [.] campp_qconv_address_input_base            qconv_address_fastpath.c:83      -      -            
     0.70%  [.] campp_qconv_address_input_base            qconv_address_fastpath.c:78      -      -            
     0.69%  [.] campp_qconv_neon_weight_columns           arm_neon.h:24037                 -      -            
     0.67%  [.] campp_qconv_neon_weight_columns           arm_neon.h:23767                 -      -            
     0.67%  [.] campp_qconv_candidate_run_v2.constprop.3  qconv_candidate.c:595            -      -            
     0.67%  [.] campp_qconv_mac_neon_half_tile_v2         qconv_mac_neon.c:425             -      -            
     0.66%  [.] output_hash                               campp_operator_microbench.c:371  -      -            
     0.64%  [.] campp_qconv_neon_weight_columns           qconv_mac_neon.c:157             -      -            
