# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles:u'
# Event count (approx.): 1185900000
#
# Overhead  Symbol                                                 Source:Line                      IPC   [IPC Coverage]
# ........  .....................................................  ...............................  ....................
#
     8.96%  [.] campp_qconv_mac_4x8_aarch64_raw                    qconv_mac_4x8_aarch64.S:96       -      -            
     8.74%  [.] campp_qconv_mac_4x8_aarch64_raw                    qconv_mac_4x8_aarch64.S:85       -      -            
     8.58%  [.] campp_reference_offset_for_linear                  reference_kernel_utils.c:64      -      -            
     4.87%  [.] campp_qconv_mac_neon_half_tile_v2                  arm_neon.h:3969                  -      -            
     3.68%  [.] campp_qconv_address_input_base                     tensor_view.h:117                -      -            
     3.54%  [.] campp_reference_offset_for_linear                  tensor_view.h:117                -      -            
     2.91%  [.] campp_qconv_mac_4x8_aarch64_raw                    qconv_mac_4x8_aarch64.S:75       -      -            
     2.54%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:80      -      -            
     1.91%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:82      -      -            
     1.86%  [.] campp_qconv_mac_4x8_aarch64_raw                    qconv_mac_4x8_aarch64.S:102      -      -            
     1.86%  [.] campp_reference_offset_for_linear                  reference_kernel_utils.c:62      -      -            
     1.84%  [.] campp_qconv_mac_4x8_aarch64_raw                    qconv_mac_4x8_aarch64.S:92       -      -            
     1.81%  [.] campp_qconv_mac_4x8_aarch64_raw                    qconv_mac_4x8_aarch64.S:103      -      -            
     1.75%  [.] campp_qconv_mac_4x8_aarch64_raw                    qconv_mac_4x8_aarch64.S:101      -      -            
     1.72%  [.] campp_qconv_mac_4x8_aarch64_raw                    qconv_mac_4x8_aarch64.S:91       -      -            
     1.71%  [.] campp_qconv_mac_4x8_aarch64_raw                    qconv_mac_4x8_aarch64.S:104      -      -            
     1.53%  [.] campp_qconv_mac_4x8_aarch64_raw                    qconv_mac_4x8_aarch64.S:93       -      -            
     1.52%  [.] campp_qconv_mac_4x8_aarch64_raw                    qconv_mac_4x8_aarch64.S:94       -      -            
