# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:u'
# Event count (approx.): 395100000
#
# Overhead  Symbol                                                 Source:Line                      IPC   [IPC Coverage]
# ........  .....................................................  ...............................  ....................
#
    31.54%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:3969                  -      -            
     8.35%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:1605                  -      -            
     7.29%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:4632                  -      -            
     4.78%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:12569                 -      -            
     4.07%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:4653                  -      -            
     4.02%  [.] campp_qconv_mac_4x8_intrinsics_raw                 qconv_mac_4x8_intrinsics.c:14    -      -            
     3.97%  [.] campp_reference_offset_for_linear                  reference_kernel_utils.c:64      -      -            
     3.92%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:23756                 -      -            
     3.29%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:24037                 -      -            
     2.43%  [.] campp_qconv_mac_4x8_intrinsics_raw                 qconv_mac_4x8_intrinsics.c:98    -      -            
     2.08%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:23767                 -      -            
     1.57%  [.] campp_reference_offset_for_linear                  tensor_view.h:117                -      -            
     1.34%  [.] campp_qconv_mac_neon_tile_v2                       arm_neon.h:3969                  -      -            
     1.11%  [.] campp_qconv_mac_neon_tile_v2                       qconv_mac_neon.c:699             -      -            
     1.06%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:3181                  -      -            
     0.91%  [.] output_hash                                        campp_operator_microbench.c:371  -      -            
     0.86%  [.] campp_reference_offset_for_linear                  reference_kernel_utils.c:62      -      -            
     0.76%  [.] campp_qconv_mac_neon_tile_v2                       qconv_mac_neon.c:614             -      -            
     0.76%  [.] campp_qconv_neon_weight_columns                    arm_neon.h:24026                 -      -            
     0.68%  [.] output_hash                                        campp_operator_microbench.c:372  -      -            
     0.66%  [.] campp_qconv_mac_neon_tile_v2                       qconv_mac_neon.c:668             -      -            
     0.51%  [.] campp_reference_offset_for_linear                  tensor_view.h:116                -      -            
     0.48%  [.] campp_qconv_neon_weight_columns                    arm_neon.h:4632                  -      -            
     0.46%  [.] campp_qconv_neon_weight_columns                    arm_neon.h:12597                 -      -            
     0.38%  [.] campp_qconv_mac_neon_tile_v2                       qconv_mac_neon.c:686             -      -            
     0.38%  [.] campp_reference_read_f32                           reference_kernel_utils.c:151     -      -            
     0.38%  [.] output_hash                                        campp_operator_microbench.c:370  -      -            
     0.38%  [.] output_hash                                        campp_operator_microbench.c:404  -      -            
     0.35%  [.] campp_qconv_mac_4x8_try_tile                       qconv_mac_4x8.c:128              -      -            
     0.35%  [.] campp_qconv_mac_neon_tile_v2                       qconv_mac_neon.c:663             -      -            
     0.35%  [.] campp_qconv_mac_neon_tile_v2                       qconv_mac_neon.c:676             -      -            
     0.33%  [.] campp_qconv_neon_weight_columns                    arm_neon.h:3181                  -      -            
     0.28%  [.] campp_qconv_mac_neon_tile_v2                       qconv_mac_neon.c:97              -      -            
     0.23%  [.] campp_qconv_mac_4x8_try_tile                       qconv_mac_4x8.c:130              -      -            
     0.23%  [.] campp_qconv_mac_neon_tile_v2                       qconv_mac_neon.c:674             -      -            
     0.23%  [.] campp_qconv_neon_weight_columns                    arm_neon.h:24037                 -      -            
     0.23%  [.] campp_qconv_neon_weight_columns                    qconv_mac_neon.c:113             -      -            
     0.23%  [.] campp_qconv_neon_weight_columns                    qconv_mac_neon.c:125             -      -            
     0.23%  [.] campp_qconv_requantize_store_neon_tile             qconv_mac_neon.c:863             -      -            
     0.20%  [.] campp_qconv_mac_neon_tile_v2                       arm_neon.h:4653                  -      -            
     0.20%  [.] campp_qconv_neon_weight_columns                    arm_neon.h:1605                  -      -            
     0.20%  [.] output_hash                                        campp_operator_microbench.c:403  -      -            
     0.20%  [.] output_hash                                        campp_operator_microbench.c:405  -      -            
     0.20%  [.] 0x00000000000a3188                                 libc.so.6[a3188]                 -      -            
     0.18%  [.] campp_qconv_mac_4x8_try_tile                       qconv_mac_4x8.c:133              -      -            
     0.18%  [.] campp_qconv_neon_weight_columns                    qconv_mac_neon.c:151             -      -            
     0.15%  [.] campp_qconv_mac_neon_tile_v2                       qconv_mac_neon.c:100             -      -            
     0.15%  [.] campp_qconv_mac_neon_tile_v2                       qconv_mac_neon.c:101             -      -            
     0.15%  [.] campp_qconv_mac_neon_tile_v2                       qconv_mac_neon.c:677             -      -            
     0.15%  [.] campp_qconv_neon_weight_columns                    qconv_mac_neon.c:155             -      -            
     0.15%  [.] campp_qconv_neon_weight_columns                    qconv_mac_neon.c:157             -      -            
     0.15%  [.] campp_qconv_requantize_store_neon_tile             arm_neon.h:12531                 -      -            
     0.15%  [.] campp_qconv_requantize_store_neon_tile             qconv_mac_neon.c:745             -      -            
     0.15%  [.] campp_qconv_requantize_store_neon_tile             qconv_mac_neon.c:845             -      -            
     0.13%  [.] campp_qconv_mac_neon_tile_v2                       qconv_mac_neon.c:682             -      -            
     0.13%  [.] campp_qconv_mac_neon_tile_v2                       qconv_mac_neon.c:693             -      -            
     0.13%  [.] campp_qconv_neon_weight_columns                    arm_neon.h:23767                 -      -            
     0.13%  [.] campp_qconv_requantize_store_neon_tile             qconv_mac_neon.c:755             -      -            
     0.13%  [.] campp_qconv_requantize_store_neon_tile             qconv_mac_neon.c:827             -      -            
     0.13%  [.] campp_qconv_requantize_store_neon_tile             qconv_mac_neon.c:839             -      -            
     0.13%  [.] campp_reference_offset_for_linear                  reference_kernel_utils.c:60      -      -            
     0.13%  [.] output_hash                                        campp_operator_microbench.c:401  -      -            
     0.13%  [.] 0x00000000000a4098                                 libc.so.6[a4098]                 -      -            
     0.10%  [.] campp_qconv_address_output_tile                    qconv_address_fastpath.c:46      -      -            
     0.10%  [.] campp_qconv_mac_4x8_intrinsics_raw                 arm_neon.h:22148                 -      -            
     0.10%  [.] campp_qconv_mac_4x8_intrinsics_raw                 qconv_mac_4x8_intrinsics.c:83    -      -            
     0.10%  [.] campp_qconv_mac_4x8_try_tile                       qconv_mac_4x8.c:129              -      -            
     0.10%  [.] campp_qconv_mac_neon_tile_v2                       qconv_mac_neon.c:666             -      -            
     0.10%  [.] campp_qconv_mac_neon_tile_v2                       qconv_mac_neon.c:688             -      -            
     0.10%  [.] campp_qconv_mac_neon_tile_v2                       qconv_mac_neon.c:91              -      -            
     0.10%  [.] campp_qconv_requantize_store_neon_tile             arm_neon.h:16333                 -      -            
     0.10%  [.] campp_qconv_requantize_store_neon_tile             qconv_mac_neon.c:754             -      -            
     0.10%  [.] campp_qconv_requantize_store_neon_tile             qconv_mac_neon.c:756             -      -            
     0.10%  [.] campp_reference_offset_for_linear                  reference_kernel_utils.c:77      -      -            
     0.10%  [.] 0x00000000000a4094                                 libc.so.6[a4094]                 -      -            
     0.08%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:98      -      -            
     0.08%  [.] campp_qconv_address_input_base                     tensor_view.h:116                -      -            
     0.08%  [.] campp_qconv_candidate_load_parameters.constprop.0  qconv_candidate.c:474            -      -            
     0.08%  [.] campp_qconv_candidate_run_v2.constprop.1           qconv_candidate.c:649            -      -            
     0.08%  [.] campp_qconv_mac_4x8_intrinsics_raw                 qconv_mac_4x8_intrinsics.c:145   -      -            
     0.08%  [.] campp_qconv_mac_4x8_try_tile                       qconv_mac_4x8.c:123              -      -            
     0.08%  [.] campp_qconv_mac_4x8_try_tile                       qconv_mac_4x8.c:125              -      -            
     0.08%  [.] campp_qconv_requantize_store_neon_tile             arm_neon.h:10805                 -      -            
     0.08%  [.] campp_qconv_requantize_store_neon_tile             arm_neon.h:12583                 -      -            
     0.08%  [.] campp_qconv_requantize_store_neon_tile             arm_neon.h:2720                  -      -            
     0.08%  [.] campp_qconv_requantize_store_neon_tile             arm_neon.h:324                   -      -            
     0.08%  [.] campp_qconv_requantize_store_neon_tile             arm_neon.h:3280                  -      -            
     0.08%  [.] campp_qconv_requantize_store_neon_tile             qconv_mac_neon.c:757             -      -            
     0.08%  [.] campp_qconv_requantize_store_neon_tile             qconv_mac_neon.c:829             -      -            
     0.08%  [.] campp_reference_read_quantized                     tensor_view.h:117                -      -            
     0.08%  [.] 0x00000000000a3080                                 libc.so.6[a3080]                 -      -            
     0.08%  [.] 0x00000000000a30d0                                 libc.so.6[a30d0]                 -      -            
     0.05%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:83      -      -            
     0.05%  [.] campp_qconv_address_output_tile                    qconv_address_fastpath.c:48      -      -            
     0.05%  [.] campp_qconv_candidate_load_parameters.constprop.0  qconv_candidate.c:477            -      -            
     0.05%  [.] campp_qconv_candidate_run_v2.constprop.1           qconv_candidate.c:593            -      -            
     0.05%  [.] campp_qconv_mac_4x8_intrinsics_raw                 qconv_mac_4x8_intrinsics.c:69    -      -            
     0.05%  [.] campp_qconv_requantize_store_neon_tile             arm_neon.h:10568                 -      -            
     0.05%  [.] campp_qconv_requantize_store_neon_tile             arm_neon.h:15594                 -      -            
     0.05%  [.] campp_qconv_requantize_store_neon_tile             qconv_mac_neon.c:828             -      -            
     0.05%  [.] campp_qconv_requantize_store_neon_tile             qconv_mac_neon.c:831             -      -            
     0.05%  [.] campp_reference_offset_for_linear                  reference_kernel_utils.c:75      -      -            
     0.05%  [.] campp_reference_read_f32                           tensor_view.h:117                -      -            
     0.05%  [.] campp_reference_read_quantized                     reference_kernel_utils.c:191     -      -            
     0.05%  [.] campp_reference_read_quantized                     reference_kernel_utils.c:198     -      -            
     0.05%  [.] 0x00000000000a3084                                 libc.so.6[a3084]                 -      -            
     0.05%  [.] 0x00000000000a308c                                 libc.so.6[a308c]                 -      -            
     0.05%  [.] 0x00000000000a4090                                 libc.so.6[a4090]                 -      -            
     0.03%  [.] campp_optimization_pmu_begin                       linux_pmu.c:151                  -      -            
     0.03%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:78      -      -            
     0.03%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:80      -      -            
     0.03%  [.] campp_qconv_address_input_base                     qconv_address_fastpath.c:99      -      -            
     0.03%  [.] campp_qconv_address_input_base                     tensor_view.h:117                -      -            
     0.03%  [.] campp_qconv_address_plan_create                    qconv_address_fastpath.c:14      -      -            
     0.03%  [.] campp_qconv_candidate_load_parameters.constprop.0  qconv_candidate.c:455            -      -            
     0.03%  [.] campp_qconv_candidate_load_parameters.constprop.0  qconv_candidate.c:473            -      -            
     0.03%  [.] campp_qconv_candidate_prepare                      qconv_candidate.c:130            -      -            
     0.03%  [.] campp_qconv_candidate_run_v2.constprop.1           qconv_candidate.c:538            -      -            
     0.03%  [.] campp_qconv_candidate_run_v2.constprop.1           qconv_candidate.c:550            -      -            
     0.03%  [.] campp_qconv_candidate_run_v2.constprop.1           qconv_candidate.c:578            -      -            
     0.03%  [.] campp_qconv_candidate_run_v2.constprop.1           qconv_candidate.c:583            -      -            
     0.03%  [.] campp_qconv_candidate_run_v2.constprop.1           qconv_candidate.c:595            -      -            
     0.03%  [.] campp_qconv_candidate_run_v2.constprop.1           qconv_candidate.c:64             -      -            
     0.03%  [.] campp_qconv_mac_4x8_intrinsics_raw                 qconv_mac_4x8_intrinsics.c:107   -      -            
     0.03%  [.] campp_qconv_mac_4x8_intrinsics_raw                 qconv_mac_4x8_intrinsics.c:136   -      -            
     0.03%  [.] campp_qconv_mac_4x8_intrinsics_raw                 qconv_mac_4x8_intrinsics.c:142   -      -            
     0.03%  [.] campp_qconv_mac_4x8_intrinsics_raw                 qconv_mac_4x8_intrinsics.c:143   -      -            
     0.03%  [.] campp_qconv_mac_4x8_intrinsics_raw                 qconv_mac_4x8_intrinsics.c:81    -      -            
     0.03%  [.] campp_qconv_mac_4x8_intrinsics_raw                 qconv_mac_4x8_intrinsics.c:94    -      -            
     0.03%  [.] campp_qconv_mac_4x8_try_tile                       qconv_mac_4x8.c:110              -      -            
     0.03%  [.] campp_qconv_mac_4x8_try_tile                       qconv_mac_4x8.c:112              -      -            
